Pagina;Extenso;Submit;Acessos;Data;Mes;Ano
/adversario;20230803;21;27;03/08/2023;8;2023
/adversario;20230804;28;29;04/08/2023;8;2023
/adversario;20230805;17;17;05/08/2023;8;2023
/adversario;20230806;22;24;06/08/2023;8;2023
/adversario;20230807;36;41;07/08/2023;8;2023
/adversario;20230808;26;30;08/08/2023;8;2023
/adversario;20230809;39;42;09/08/2023;8;2023
/adversario;20230810;56;62;10/08/2023;8;2023
/adversario;20230811;41;44;11/08/2023;8;2023
/adversario;20230812;21;26;12/08/2023;8;2023
/adversario;20230813;29;32;13/08/2023;8;2023
/adversario;20230814;1;2;14/08/2023;8;2023
/adversario;20230815;15;16;15/08/2023;8;2023
/adversario;20230816;6;8;16/08/2023;8;2023
/adversario;20230817;9;10;17/08/2023;8;2023
/adversario;20230818;14;18;18/08/2023;8;2023
/adversario;20230819;34;40;19/08/2023;8;2023
/adversario;20230820;11;12;20/08/2023;8;2023
/adversario;20230821;18;22;21/08/2023;8;2023
/adversario;20230822;26;33;22/08/2023;8;2023
/adversario;20230823;16;18;23/08/2023;8;2023
/adversario;20230824;38;40;24/08/2023;8;2023
/adversario;20230825;37;44;25/08/2023;8;2023
/adversario;20230826;68;75;26/08/2023;8;2023
/adversario;20230827;30;34;27/08/2023;8;2023
/adversario;20230828;24;26;28/08/2023;8;2023
/adversario;20230829;41;45;29/08/2023;8;2023
/adversario;20230830;27;29;30/08/2023;8;2023
/adversario;20230831;25;31;31/08/2023;8;2023
/adversario;20230901;45;49;01/09/2023;9;2023
/adversario;20230902;18;22;02/09/2023;9;2023
/adversario;20230903;28;35;03/09/2023;9;2023
/adversario;20230904;13;15;04/09/2023;9;2023
/adversario;20230905;32;37;05/09/2023;9;2023
/adversario;20230906;16;19;06/09/2023;9;2023
/adversario;20230907;20;22;07/09/2023;9;2023
/adversario;20230908;11;15;08/09/2023;9;2023
/adversario;20230909;24;28;09/09/2023;9;2023
/adversario;20230910;15;15;10/09/2023;9;2023
/adversario;20230911;31;33;11/09/2023;9;2023
/adversario;20230912;22;26;12/09/2023;9;2023
/adversario;20230913;49;51;13/09/2023;9;2023
/adversario;20230914;39;47;14/09/2023;9;2023
/adversario;20230915;40;51;15/09/2023;9;2023
/adversario;20230916;64;71;16/09/2023;9;2023
/adversario;20230917;10;11;17/09/2023;9;2023
/adversario;20230918;28;31;18/09/2023;9;2023
/adversario;20230919;58;66;19/09/2023;9;2023
/adversario;20230920;44;48;20/09/2023;9;2023
/adversario;20230921;51;54;21/09/2023;9;2023
/adversario;20230922;13;13;22/09/2023;9;2023
/adversario;20230923;18;20;23/09/2023;9;2023
/adversario;20230924;12;13;24/09/2023;9;2023
/adversario;20230925;25;34;25/09/2023;9;2023
/adversario;20230926;30;35;26/09/2023;9;2023
/adversario;20230927;33;37;27/09/2023;9;2023
/adversario;20230928;27;32;28/09/2023;9;2023
/adversario;20230929;23;29;29/09/2023;9;2023
/adversario;20230930;14;16;30/09/2023;9;2023
/adversario;20231001;10;11;01/10/2023;10;2023
/adversario;20231002;17;18;02/10/2023;10;2023
/adversario;20231003;17;18;03/10/2023;10;2023
/adversario;20231004;22;27;04/10/2023;10;2023
/adversario;20231005;58;61;05/10/2023;10;2023
/adversario;20231006;46;53;06/10/2023;10;2023
/adversario;20231007;15;21;07/10/2023;10;2023
/adversario;20231008;40;43;08/10/2023;10;2023
/adversario;20231009;26;28;09/10/2023;10;2023
/adversario;20231010;22;24;10/10/2023;10;2023
/adversario;20231011;11;15;11/10/2023;10;2023
/adversario;20231012;7;7;12/10/2023;10;2023
/adversario;20231013;3;4;13/10/2023;10;2023
/adversario;20231014;7;7;14/10/2023;10;2023
/adversario;20231015;6;6;15/10/2023;10;2023
/adversario;20231016;14;15;16/10/2023;10;2023
/adversario;20231017;13;18;17/10/2023;10;2023
/adversario;20231018;16;17;18/10/2023;10;2023
/adversario;20231019;19;21;19/10/2023;10;2023
/adversario;20231020;20;21;20/10/2023;10;2023
/adversario;20231021;18;21;21/10/2023;10;2023
/adversario;20231022;19;25;22/10/2023;10;2023
/adversario;20231023;16;19;23/10/2023;10;2023
/adversario;20231024;19;19;24/10/2023;10;2023
/adversario;20231025;44;51;25/10/2023;10;2023
/adversario;20231026;33;35;26/10/2023;10;2023
/adversario;20231027;60;64;27/10/2023;10;2023
/adversario;20231028;19;22;28/10/2023;10;2023
/adversario;20231029;11;14;29/10/2023;10;2023
/adversario;20231030;16;18;30/10/2023;10;2023
/adversario;20231031;22;25;31/10/2023;10;2023
/adversario;20231101;19;22;01/11/2023;11;2023
/adversario;20231102;6;8;02/11/2023;11;2023
/adversario;20231103;10;14;03/11/2023;11;2023
/adversario;20231104;20;24;04/11/2023;11;2023
/adversario;20231105;31;36;05/11/2023;11;2023
/adversario;20231106;25;29;06/11/2023;11;2023
/adversario;20231107;18;19;07/11/2023;11;2023
/adversario;20231108;44;51;08/11/2023;11;2023
/adversario;20231109;36;39;09/11/2023;11;2023
/adversario;20231110;20;25;10/11/2023;11;2023
/adversario;20231111;30;33;11/11/2023;11;2023
/adversario;20231112;12;12;12/11/2023;11;2023
/adversario;20231113;9;10;13/11/2023;11;2023
/adversario;20231114;9;10;14/11/2023;11;2023
/adversario;20231115;10;15;15/11/2023;11;2023
/adversario;20231116;7;8;16/11/2023;11;2023
/adversario;20231117;9;11;17/11/2023;11;2023
/adversario;20231118;13;17;18/11/2023;11;2023
/adversario;20231119;15;20;19/11/2023;11;2023
/adversario;20231120;10;10;20/11/2023;11;2023
/adversario;20231121;11;14;21/11/2023;11;2023
/adversario;20231122;28;34;22/11/2023;11;2023
/adversario;20231123;40;45;23/11/2023;11;2023
/adversario;20231124;28;32;24/11/2023;11;2023
/adversario;20231125;49;53;25/11/2023;11;2023
/adversario;20231126;27;28;26/11/2023;11;2023
/adversario;20231127;30;33;27/11/2023;11;2023
/adversario;20231128;22;24;28/11/2023;11;2023
/adversario;20231129;65;72;29/11/2023;11;2023
/adversario;20231130;44;47;30/11/2023;11;2023
/adversario;20231201;28;35;01/12/2023;12;2023
/adversario;20231202;13;16;02/12/2023;12;2023
/adversario;20231203;19;24;03/12/2023;12;2023
/adversario;20231204;10;10;04/12/2023;12;2023
/adversario;20231205;21;23;05/12/2023;12;2023
/adversario;20231206;44;49;06/12/2023;12;2023
/adversario;20231207;26;29;07/12/2023;12;2023
/adversario;20231208;31;34;08/12/2023;12;2023
/adversario;20231209;13;16;09/12/2023;12;2023
/adversario;20231210;10;12;10/12/2023;12;2023
/adversario;20231211;4;6;11/12/2023;12;2023
/adversario;20231212;6;6;12/12/2023;12;2023
/adversario;20231213;18;20;13/12/2023;12;2023
/adversario;20231214;23;27;14/12/2023;12;2023
/adversario;20231215;51;56;15/12/2023;12;2023
/adversario;20231216;12;15;16/12/2023;12;2023
/adversario;20231217;24;29;17/12/2023;12;2023
/adversario;20231218;41;48;18/12/2023;12;2023
/adversario;20231219;48;53;19/12/2023;12;2023
/adversario;20231220;25;28;20/12/2023;12;2023
/adversario;20231221;17;21;21/12/2023;12;2023
/adversario;20231222;16;19;22/12/2023;12;2023
/adversario;20231223;11;12;23/12/2023;12;2023
/adversario;20231224;2;2;24/12/2023;12;2023
/adversario;20231225;8;8;25/12/2023;12;2023
/adversario;20231226;4;4;26/12/2023;12;2023
/adversario;20231227;7;9;27/12/2023;12;2023
/adversario;20231228;5;5;28/12/2023;12;2023
/adversario;20231229;4;4;29/12/2023;12;2023
/adversario;20231230;2;4;30/12/2023;12;2023
/adversario;20231231;1;7;31/12/2023;12;2023
/adversario;20240101;4;4;01/01/2024;1;2024
/adversario;20240102;9;12;02/01/2024;1;2024
/adversario;20240103;2;3;03/01/2024;1;2024
/adversario;20240104;12;15;04/01/2024;1;2024
/adversario;20240105;3;5;05/01/2024;1;2024
/adversario;20240106;8;10;06/01/2024;1;2024
/adversario;20240107;11;17;07/01/2024;1;2024
/adversario;20240108;12;14;08/01/2024;1;2024
/adversario;20240109;14;15;09/01/2024;1;2024
/adversario;20240110;9;10;10/01/2024;1;2024
/adversario;20240111;16;19;11/01/2024;1;2024
/adversario;20240112;6;7;12/01/2024;1;2024
/adversario;20240113;17;20;13/01/2024;1;2024
/adversario;20240114;5;5;14/01/2024;1;2024
/adversario;20240115;15;18;15/01/2024;1;2024
/adversario;20240116;20;23;16/01/2024;1;2024
/adversario;20240117;30;40;17/01/2024;1;2024
/adversario;20240118;23;27;18/01/2024;1;2024
/adversario;20240119;9;12;19/01/2024;1;2024
/adversario;20240120;13;14;20/01/2024;1;2024
/adversario;20240121;37;42;21/01/2024;1;2024
/adversario;20240122;17;18;22/01/2024;1;2024
/adversario;20240123;8;8;23/01/2024;1;2024
/adversario;20240124;13;17;24/01/2024;1;2024
/adversario;20240125;19;24;25/01/2024;1;2024
/adversario;20240126;21;24;26/01/2024;1;2024
/adversario;20240127;6;6;27/01/2024;1;2024
/adversario;20240128;6;7;28/01/2024;1;2024
/adversario;20240129;3;2;29/01/2024;1;2024
/adversario;20240130;20;25;30/01/2024;1;2024
/adversario;20240131;19;21;31/01/2024;1;2024
/adversario;20240201;22;30;01/02/2024;2;2024
/adversario;20240202;27;29;02/02/2024;2;2024
/adversario;20240203;7;11;03/02/2024;2;2024
/adversario;20240204;22;27;04/02/2024;2;2024
/adversario;20240205;38;48;05/02/2024;2;2024
/adversario;20240206;19;27;06/02/2024;2;2024
/adversario;20240207;13;18;07/02/2024;2;2024
/adversario;20240208;25;32;08/02/2024;2;2024
/adversario;20240209;29;40;09/02/2024;2;2024
/adversario;20240210;25;36;10/02/2024;2;2024
/adversario;20240211;4;18;11/02/2024;2;2024
/adversario;20240212;2;10;12/02/2024;2;2024
/adversario;20240213;12;20;13/02/2024;2;2024
/adversario;20240214;12;15;14/02/2024;2;2024
/adversario;20240215;14;18;15/02/2024;2;2024
/adversario;20240216;34;35;16/02/2024;2;2024
/adversario;20240217;18;19;17/02/2024;2;2024
/adversario;20240218;8;12;18/02/2024;2;2024
/adversario;20240219;18;20;19/02/2024;2;2024
/adversario;20240220;11;16;20/02/2024;2;2024
/adversario;20240221;19;28;21/02/2024;2;2024
/adversario;20240222;31;59;22/02/2024;2;2024
/adversario;20240223;18;41;23/02/2024;2;2024
/adversario;20240224;10;10;24/02/2024;2;2024
/adversario;20240225;21;22;25/02/2024;2;2024
/adversario;20240226;13;18;26/02/2024;2;2024
/adversario;20240227;26;35;27/02/2024;2;2024
/adversario;20240228;22;26;28/02/2024;2;2024
/adversario;20240229;13;16;29/02/2024;2;2024
/adversario;20240301;27;35;01/03/2024;3;2024
/adversario;20240302;20;23;02/03/2024;3;2024
/adversario;20240303;25;27;03/03/2024;3;2024
/adversario;20240304;32;36;04/03/2024;3;2024
/adversario;20240305;8;8;05/03/2024;3;2024
/adversario;20240306;19;21;06/03/2024;3;2024
/adversario;20240307;8;9;07/03/2024;3;2024
/adversario;20240308;13;14;08/03/2024;3;2024
/adversario;20240309;16;17;09/03/2024;3;2024
/adversario;20240310;15;19;10/03/2024;3;2024
/adversario;20240311;6;7;11/03/2024;3;2024
/adversario;20240312;8;11;12/03/2024;3;2024
/adversario;20240313;9;11;13/03/2024;3;2024
/adversario;20240314;9;13;14/03/2024;3;2024
/adversario;20240315;5;7;15/03/2024;3;2024
/adversario;20240316;5;5;16/03/2024;3;2024
/adversario;20240317;16;16;17/03/2024;3;2024
/adversario;20240318;80;89;18/03/2024;3;2024
/adversario;20240319;91;98;19/03/2024;3;2024
/adversario;20240320;43;46;20/03/2024;3;2024
/adversario;20240321;6;6;21/03/2024;3;2024
/adversario;20240322;7;11;22/03/2024;3;2024
/adversario;20240323;4;4;23/03/2024;3;2024
/adversario;20240324;6;6;24/03/2024;3;2024
/arbitro;20230803;11;11;03/08/2023;8;2023
/arbitro;20230804;4;6;04/08/2023;8;2023
/arbitro;20230805;10;13;05/08/2023;8;2023
/arbitro;20230806;2;3;06/08/2023;8;2023
/arbitro;20230807;5;6;07/08/2023;8;2023
/arbitro;20230808;3;4;08/08/2023;8;2023
/arbitro;20230809;1;1;09/08/2023;8;2023
/arbitro;20230810;5;6;10/08/2023;8;2023
/arbitro;20230811;4;4;11/08/2023;8;2023
/arbitro;20230812;0;1;12/08/2023;8;2023
/arbitro;20230813;6;7;13/08/2023;8;2023
/arbitro;20230814;2;3;14/08/2023;8;2023
/arbitro;20230815;2;3;15/08/2023;8;2023
/arbitro;20230817;3;3;17/08/2023;8;2023
/arbitro;20230818;6;8;18/08/2023;8;2023
/arbitro;20230819;2;4;19/08/2023;8;2023
/arbitro;20230820;3;4;20/08/2023;8;2023
/arbitro;20230821;2;4;21/08/2023;8;2023
/arbitro;20230822;0;1;22/08/2023;8;2023
/arbitro;20230823;2;3;23/08/2023;8;2023
/arbitro;20230824;4;7;24/08/2023;8;2023
/arbitro;20230825;3;5;25/08/2023;8;2023
/arbitro;20230826;10;31;26/08/2023;8;2023
/arbitro;20230827;10;12;27/08/2023;8;2023
/arbitro;20230828;4;7;28/08/2023;8;2023
/arbitro;20230829;1;2;29/08/2023;8;2023
/arbitro;20230830;5;5;30/08/2023;8;2023
/arbitro;20230831;5;13;31/08/2023;8;2023
/arbitro;20230901;2;4;01/09/2023;9;2023
/arbitro;20230902;3;3;02/09/2023;9;2023
/arbitro;20230903;4;9;03/09/2023;9;2023
/arbitro;20230905;6;8;05/09/2023;9;2023
/arbitro;20230906;10;10;06/09/2023;9;2023
/arbitro;20230907;0;1;07/09/2023;9;2023
/arbitro;20230908;0;3;08/09/2023;9;2023
/arbitro;20230909;3;4;09/09/2023;9;2023
/arbitro;20230910;1;2;10/09/2023;9;2023
/arbitro;20230911;1;2;11/09/2023;9;2023
/arbitro;20230912;3;3;12/09/2023;9;2023
/arbitro;20230913;0;1;13/09/2023;9;2023
/arbitro;20230914;0;3;14/09/2023;9;2023
/arbitro;20230915;5;6;15/09/2023;9;2023
/arbitro;20230916;17;23;16/09/2023;9;2023
/arbitro;20230917;12;13;17/09/2023;9;2023
/arbitro;20230918;9;16;18/09/2023;9;2023
/arbitro;20230919;10;13;19/09/2023;9;2023
/arbitro;20230920;1;6;20/09/2023;9;2023
/arbitro;20230921;4;5;21/09/2023;9;2023
/arbitro;20230922;19;20;22/09/2023;9;2023
/arbitro;20230923;2;4;23/09/2023;9;2023
/arbitro;20230924;1;2;24/09/2023;9;2023
/arbitro;20230925;1;3;25/09/2023;9;2023
/arbitro;20230926;4;5;26/09/2023;9;2023
/arbitro;20230927;4;5;27/09/2023;9;2023
/arbitro;20230928;2;4;28/09/2023;9;2023
/arbitro;20230929;15;19;29/09/2023;9;2023
/arbitro;20230930;4;4;30/09/2023;9;2023
/arbitro;20231002;2;3;02/10/2023;10;2023
/arbitro;20231003;2;6;03/10/2023;10;2023
/arbitro;20231004;6;7;04/10/2023;10;2023
/arbitro;20231005;3;4;05/10/2023;10;2023
/arbitro;20231006;3;5;06/10/2023;10;2023
/arbitro;20231007;6;6;07/10/2023;10;2023
/arbitro;20231008;3;3;08/10/2023;10;2023
/arbitro;20231009;1;2;09/10/2023;10;2023
/arbitro;20231010;5;6;10/10/2023;10;2023
/arbitro;20231011;1;2;11/10/2023;10;2023
/arbitro;20231012;2;3;12/10/2023;10;2023
/arbitro;20231014;4;4;14/10/2023;10;2023
/arbitro;20231017;16;19;17/10/2023;10;2023
/arbitro;20231018;13;13;18/10/2023;10;2023
/arbitro;20231019;14;16;19/10/2023;10;2023
/arbitro;20231020;24;27;20/10/2023;10;2023
/arbitro;20231021;7;9;21/10/2023;10;2023
/arbitro;20231022;6;8;22/10/2023;10;2023
/arbitro;20231023;13;13;23/10/2023;10;2023
/arbitro;20231024;8;9;24/10/2023;10;2023
/arbitro;20231025;83;92;25/10/2023;10;2023
/arbitro;20231026;8;10;26/10/2023;10;2023
/arbitro;20231027;10;12;27/10/2023;10;2023
/arbitro;20231028;14;15;28/10/2023;10;2023
/arbitro;20231029;5;6;29/10/2023;10;2023
/arbitro;20231030;2;4;30/10/2023;10;2023
/arbitro;20231031;5;7;31/10/2023;10;2023
/arbitro;20231101;3;3;01/11/2023;11;2023
/arbitro;20231102;1;2;02/11/2023;11;2023
/arbitro;20231104;3;4;04/11/2023;11;2023
/arbitro;20231105;2;3;05/11/2023;11;2023
/arbitro;20231106;1;2;06/11/2023;11;2023
/arbitro;20231107;3;5;07/11/2023;11;2023
/arbitro;20231108;4;6;08/11/2023;11;2023
/arbitro;20231109;1;2;09/11/2023;11;2023
/arbitro;20231110;9;11;10/11/2023;11;2023
/arbitro;20231111;10;15;11/11/2023;11;2023
/arbitro;20231112;0;1;12/11/2023;11;2023
/arbitro;20231113;5;5;13/11/2023;11;2023
/arbitro;20231115;0;1;15/11/2023;11;2023
/arbitro;20231116;2;3;16/11/2023;11;2023
/arbitro;20231118;1;1;18/11/2023;11;2023
/arbitro;20231120;1;1;20/11/2023;11;2023
/arbitro;20231121;3;3;21/11/2023;11;2023
/arbitro;20231122;7;12;22/11/2023;11;2023
/arbitro;20231123;1;1;23/11/2023;11;2023
/arbitro;20231124;7;8;24/11/2023;11;2023
/arbitro;20231125;3;4;25/11/2023;11;2023
/arbitro;20231126;2;3;26/11/2023;11;2023
/arbitro;20231127;5;8;27/11/2023;11;2023
/arbitro;20231128;2;2;28/11/2023;11;2023
/arbitro;20231129;3;4;29/11/2023;11;2023
/arbitro;20231130;0;3;30/11/2023;11;2023
/arbitro;20231201;1;1;01/12/2023;12;2023
/arbitro;20231202;1;1;02/12/2023;12;2023
/arbitro;20231203;2;2;03/12/2023;12;2023
/arbitro;20231204;4;5;04/12/2023;12;2023
/arbitro;20231205;2;2;05/12/2023;12;2023
/arbitro;20231206;10;12;06/12/2023;12;2023
/arbitro;20231207;7;12;07/12/2023;12;2023
/arbitro;20231208;4;5;08/12/2023;12;2023
/arbitro;20231209;2;2;09/12/2023;12;2023
/arbitro;20231210;4;6;10/12/2023;12;2023
/arbitro;20231211;1;2;11/12/2023;12;2023
/arbitro;20231213;1;1;13/12/2023;12;2023
/arbitro;20231214;1;1;14/12/2023;12;2023
/arbitro;20231215;1;2;15/12/2023;12;2023
/arbitro;20231217;1;3;17/12/2023;12;2023
/arbitro;20231218;0;3;18/12/2023;12;2023
/arbitro;20231219;3;4;19/12/2023;12;2023
/arbitro;20231220;1;2;20/12/2023;12;2023
/arbitro;20231221;2;4;21/12/2023;12;2023
/arbitro;20231222;1;1;22/12/2023;12;2023
/arbitro;20231223;1;1;23/12/2023;12;2023
/arbitro;20231225;0;1;25/12/2023;12;2023
/arbitro;20231226;1;3;26/12/2023;12;2023
/arbitro;20231227;2;2;27/12/2023;12;2023
/arbitro;20231228;0;2;28/12/2023;12;2023
/arbitro;20231230;0;1;30/12/2023;12;2023
/arbitro;20231231;1;1;31/12/2023;12;2023
/arbitro;20240101;0;1;01/01/2024;1;2024
/arbitro;20240102;0;1;02/01/2024;1;2024
/arbitro;20240104;0;1;04/01/2024;1;2024
/arbitro;20240105;0;1;05/01/2024;1;2024
/arbitro;20240107;0;1;07/01/2024;1;2024
/arbitro;20240108;1;2;08/01/2024;1;2024
/arbitro;20240110;1;1;10/01/2024;1;2024
/arbitro;20240111;0;1;11/01/2024;1;2024
/arbitro;20240112;0;1;12/01/2024;1;2024
/arbitro;20240113;1;1;13/01/2024;1;2024
/arbitro;20240114;1;2;14/01/2024;1;2024
/arbitro;20240116;4;4;16/01/2024;1;2024
/arbitro;20240117;3;4;17/01/2024;1;2024
/arbitro;20240118;1;2;18/01/2024;1;2024
/arbitro;20240119;2;3;19/01/2024;1;2024
/arbitro;20240120;3;3;20/01/2024;1;2024
/arbitro;20240121;6;9;21/01/2024;1;2024
/arbitro;20240122;3;4;22/01/2024;1;2024
/arbitro;20240123;0;4;23/01/2024;1;2024
/arbitro;20240124;2;3;24/01/2024;1;2024
/arbitro;20240125;3;4;25/01/2024;1;2024
/arbitro;20240126;0;1;26/01/2024;1;2024
/arbitro;20240127;1;2;27/01/2024;1;2024
/arbitro;20240128;2;3;28/01/2024;1;2024
/arbitro;20240130;0;2;30/01/2024;1;2024
/arbitro;20240131;3;4;31/01/2024;1;2024
/arbitro;20240201;2;4;01/02/2024;2;2024
/arbitro;20240202;1;1;02/02/2024;2;2024
/arbitro;20240204;2;5;04/02/2024;2;2024
/arbitro;20240206;8;11;06/02/2024;2;2024
/arbitro;20240207;4;4;07/02/2024;2;2024
/arbitro;20240208;1;1;08/02/2024;2;2024
/arbitro;20240209;2;4;09/02/2024;2;2024
/arbitro;20240210;1;1;10/02/2024;2;2024
/arbitro;20240212;2;2;12/02/2024;2;2024
/arbitro;20240213;1;1;13/02/2024;2;2024
/arbitro;20240214;6;6;14/02/2024;2;2024
/arbitro;20240215;10;24;15/02/2024;2;2024
/arbitro;20240216;7;39;16/02/2024;2;2024
/arbitro;20240217;2;3;17/02/2024;2;2024
/arbitro;20240219;2;3;19/02/2024;2;2024
/arbitro;20240220;0;1;20/02/2024;2;2024
/arbitro;20240221;10;108;21/02/2024;2;2024
/arbitro;20240222;3;10;22/02/2024;2;2024
/arbitro;20240223;32;56;23/02/2024;2;2024
/arbitro;20240224;15;21;24/02/2024;2;2024
/arbitro;20240225;3;5;25/02/2024;2;2024
/arbitro;20240226;4;9;26/02/2024;2;2024
/arbitro;20240227;1;8;27/02/2024;2;2024
/arbitro;20240228;2;9;28/02/2024;2;2024
/arbitro;20240229;10;10;29/02/2024;2;2024
/arbitro;20240301;3;8;01/03/2024;3;2024
/arbitro;20240302;0;1;02/03/2024;3;2024
/arbitro;20240303;5;8;03/03/2024;3;2024
/arbitro;20240304;3;4;04/03/2024;3;2024
/arbitro;20240305;0;1;05/03/2024;3;2024
/arbitro;20240306;0;1;06/03/2024;3;2024
/arbitro;20240307;3;3;07/03/2024;3;2024
/arbitro;20240308;4;4;08/03/2024;3;2024
/arbitro;20240309;9;11;09/03/2024;3;2024
/arbitro;20240310;1;1;10/03/2024;3;2024
/arbitro;20240311;0;1;11/03/2024;3;2024
/arbitro;20240312;0;4;12/03/2024;3;2024
/arbitro;20240313;3;3;13/03/2024;3;2024
/arbitro;20240314;8;8;14/03/2024;3;2024
/arbitro;20240315;7;8;15/03/2024;3;2024
/arbitro;20240316;3;3;16/03/2024;3;2024
/arbitro;20240318;0;3;18/03/2024;3;2024
/arbitro;20240319;3;6;19/03/2024;3;2024
/arbitro;20240320;4;5;20/03/2024;3;2024
/arbitro;20240323;1;1;23/03/2024;3;2024
/campeonato;20230803;14;19;03/08/2023;8;2023
/campeonato;20230804;5;6;04/08/2023;8;2023
/campeonato;20230805;2;2;05/08/2023;8;2023
/campeonato;20230806;33;37;06/08/2023;8;2023
/campeonato;20230807;19;22;07/08/2023;8;2023
/campeonato;20230808;8;12;08/08/2023;8;2023
/campeonato;20230809;17;18;09/08/2023;8;2023
/campeonato;20230810;13;16;10/08/2023;8;2023
/campeonato;20230811;6;6;11/08/2023;8;2023
/campeonato;20230812;11;12;12/08/2023;8;2023
/campeonato;20230813;4;5;13/08/2023;8;2023
/campeonato;20230814;17;22;14/08/2023;8;2023
/campeonato;20230815;8;9;15/08/2023;8;2023
/campeonato;20230816;6;9;16/08/2023;8;2023
/campeonato;20230817;7;8;17/08/2023;8;2023
/campeonato;20230818;2;2;18/08/2023;8;2023
/campeonato;20230820;8;11;20/08/2023;8;2023
/campeonato;20230821;21;22;21/08/2023;8;2023
/campeonato;20230822;7;7;22/08/2023;8;2023
/campeonato;20230823;12;12;23/08/2023;8;2023
/campeonato;20230824;14;18;24/08/2023;8;2023
/campeonato;20230825;34;36;25/08/2023;8;2023
/campeonato;20230826;28;33;26/08/2023;8;2023
/campeonato;20230827;15;21;27/08/2023;8;2023
/campeonato;20230828;5;11;28/08/2023;8;2023
/campeonato;20230829;11;14;29/08/2023;8;2023
/campeonato;20230830;19;21;30/08/2023;8;2023
/campeonato;20230831;17;17;31/08/2023;8;2023
/campeonato;20230901;19;22;01/09/2023;9;2023
/campeonato;20230902;5;6;02/09/2023;9;2023
/campeonato;20230903;3;8;03/09/2023;9;2023
/campeonato;20230904;7;10;04/09/2023;9;2023
/campeonato;20230905;9;13;05/09/2023;9;2023
/campeonato;20230906;16;19;06/09/2023;9;2023
/campeonato;20230907;7;9;07/09/2023;9;2023
/campeonato;20230908;5;7;08/09/2023;9;2023
/campeonato;20230909;8;8;09/09/2023;9;2023
/campeonato;20230910;1;1;10/09/2023;9;2023
/campeonato;20230911;13;16;11/09/2023;9;2023
/campeonato;20230912;3;5;12/09/2023;9;2023
/campeonato;20230913;1;2;13/09/2023;9;2023
/campeonato;20230914;6;9;14/09/2023;9;2023
/campeonato;20230915;3;5;15/09/2023;9;2023
/campeonato;20230916;7;9;16/09/2023;9;2023
/campeonato;20230917;3;3;17/09/2023;9;2023
/campeonato;20230918;5;6;18/09/2023;9;2023
/campeonato;20230919;5;5;19/09/2023;9;2023
/campeonato;20230920;5;6;20/09/2023;9;2023
/campeonato;20230921;3;4;21/09/2023;9;2023
/campeonato;20230922;3;4;22/09/2023;9;2023
/campeonato;20230923;10;11;23/09/2023;9;2023
/campeonato;20230924;11;15;24/09/2023;9;2023
/campeonato;20230925;11;15;25/09/2023;9;2023
/campeonato;20230926;12;14;26/09/2023;9;2023
/campeonato;20230927;7;13;27/09/2023;9;2023
/campeonato;20230928;16;18;28/09/2023;9;2023
/campeonato;20230929;12;18;29/09/2023;9;2023
/campeonato;20230930;16;17;30/09/2023;9;2023
/campeonato;20231001;22;22;01/10/2023;10;2023
/campeonato;20231002;4;4;02/10/2023;10;2023
/campeonato;20231003;13;16;03/10/2023;10;2023
/campeonato;20231004;14;15;04/10/2023;10;2023
/campeonato;20231005;15;18;05/10/2023;10;2023
