Evento;Extenso;Contagem;Usuarios;dia;mês;ano;Data
page_view;20230828;1967;94;28;8;2023;28/08/2023
page_view;20231025;1922;180;25;10;2023;25/10/2023
page_view;20230807;1903;108;7;8;2023;07/08/2023
page_view;20240121;1884;187;21;1;2024;21/01/2024
page_view;20231005;1860;164;5;10;2023;05/10/2023
page_view;20230825;1806;134;25;8;2023;25/08/2023
page_view;20230915;1802;167;15;9;2023;15/09/2023
user_engagement;20230807;1773;97;7;8;2023;07/08/2023
page_view;20230921;1728;106;21;9;2023;21/09/2023
page_view;20230901;1672;141;1;9;2023;01/09/2023
user_engagement;20240121;1651;151;21;1;2024;21/01/2024
page_view;20230930;1602;101;30;9;2023;30/09/2023
scroll;20230828;1588;86;28;8;2023;28/08/2023
page_view;20240122;1581;80;22;1;2024;22/01/2024
user_engagement;20231005;1548;153;5;10;2023;05/10/2023
user_engagement;20230828;1492;83;28;8;2023;28/08/2023
user_engagement;20230915;1481;144;15;9;2023;15/09/2023
user_engagement;20230825;1461;122;25;8;2023;25/08/2023
page_view;20240111;1457;105;11;1;2024;11/01/2024
page_view;20240125;1454;107;25;1;2024;25/01/2024
page_view;20230806;1418;101;6;8;2023;06/08/2023
page_view;20231219;1416;139;19;12;2023;19/12/2023
page_view;20231123;1400;138;23;11;2023;23/11/2023
page_view;20240117;1398;94;17;1;2024;17/01/2024
user_engagement;20240111;1398;89;11;1;2024;11/01/2024
page_view;20230914;1386;104;14;9;2023;14/09/2023
scroll;20240121;1369;145;21;1;2024;21/01/2024
scroll;20231005;1364;147;5;10;2023;05/10/2023
scroll;20240122;1361;67;22;1;2024;22/01/2024
scroll;20230807;1360;98;7;8;2023;07/08/2023
page_view;20230811;1357;110;11;8;2023;11/08/2023
user_engagement;20230901;1343;130;1;9;2023;01/09/2023
user_engagement;20230930;1340;72;30;9;2023;30/09/2023
user_engagement;20231025;1338;159;25;10;2023;25/10/2023
page_view;20230831;1336;154;31;8;2023;31/08/2023
scroll;20230825;1336;119;25;8;2023;25/08/2023
page_view;20230810;1330;144;10;8;2023;10/08/2023
scroll;20230930;1330;86;30;9;2023;30/09/2023
scroll;20231025;1329;160;25;10;2023;25/10/2023
page_view;20230830;1320;104;30;8;2023;30/08/2023
user_engagement;20240122;1314;65;22;1;2024;22/01/2024
page_view;20231210;1309;209;10;12;2023;10/12/2023
page_view;20240223;1307;405;23;2;2024;23/02/2024
page_view;20230911;1305;71;11;9;2023;11/09/2023
user_engagement;20230921;1304;98;21;9;2023;21/09/2023
page_view;20231109;1302;130;9;11;2023;09/11/2023
page_view;20230928;1299;131;28;9;2023;28/09/2023
page_view;20240202;1263;119;2;2;2024;02/02/2024
page_view;20231203;1259;114;3;12;2023;03/12/2023
scroll;20230921;1254;99;21;9;2023;21/09/2023
page_view;20240118;1251;125;18;1;2024;18/01/2024
page_view;20231115;1246;119;15;11;2023;15/11/2023
page_view;20240113;1244;90;13;1;2024;13/01/2024
user_engagement;20240117;1242;77;17;1;2024;17/01/2024
user_engagement;20231123;1240;126;23;11;2023;23/11/2023
user_engagement;20230914;1234;90;14;9;2023;14/09/2023
scroll;20230915;1228;152;15;9;2023;15/09/2023
page_view;20231126;1225;115;26;11;2023;26/11/2023
page_view;20231218;1224;153;18;12;2023;18/12/2023
page_view;20230826;1214;127;26;8;2023;26/08/2023
page_view;20230909;1211;58;9;9;2023;09/09/2023
page_view;20231207;1207;113;7;12;2023;07/12/2023
page_view;20230827;1201;100;27;8;2023;27/08/2023
scroll;20230901;1195;128;1;9;2023;01/09/2023
page_view;20230820;1186;108;20;8;2023;20/08/2023
scroll;20240111;1180;89;11;1;2024;11/01/2024
page_view;20231026;1176;129;26;10;2023;26/10/2023
page_view;20231108;1175;131;8;11;2023;08/11/2023
page_view;20231118;1165;77;18;11;2023;18/11/2023
page_view;20230809;1164;135;9;8;2023;09/08/2023
page_view;20231130;1159;131;30;11;2023;30/11/2023
page_view;20231107;1157;123;7;11;2023;07/11/2023
user_engagement;20230806;1156;87;6;8;2023;06/08/2023
user_engagement;20230811;1154;90;11;8;2023;11/08/2023
scroll;20230911;1149;69;11;9;2023;11/09/2023
page_view;20231125;1147;123;25;11;2023;25/11/2023
scroll;20240125;1143;87;25;1;2024;25/01/2024
page_view;20230813;1139;106;13;8;2023;13/08/2023
page_view;20240204;1133;114;4;2;2024;04/02/2024
page_view;20230808;1132;125;8;8;2023;08/08/2023
user_engagement;20231219;1132;111;19;12;2023;19/12/2023
user_engagement;20230911;1129;59;11;9;2023;11/09/2023
page_view;20231127;1118;117;27;11;2023;27/11/2023
page_view;20231205;1118;124;5;12;2023;05/12/2023
user_engagement;20240202;1116;106;2;2;2024;02/02/2024
page_view;20240222;1111;132;22;2;2024;22/02/2024
page_view;20231001;1110;74;1;10;2023;01/10/2023
page_view;20240114;1110;74;14;1;2024;14/01/2024
page_view;20231105;1104;157;5;11;2023;05/11/2023
page_view;20231015;1097;62;15;10;2023;15/10/2023
page_view;20230905;1096;89;5;9;2023;05/09/2023
page_view;20231208;1087;99;8;12;2023;08/12/2023
scroll;20230914;1084;96;14;9;2023;14/09/2023
user_engagement;20231109;1084;112;9;11;2023;09/11/2023
scroll;20230811;1078;95;11;8;2023;11/08/2023
page_view;20231111;1077;126;11;11;2023;11/11/2023
user_engagement;20240118;1077;93;18;1;2024;18/01/2024
page_view;20231122;1075;116;22;11;2023;22/11/2023
scroll;20230909;1075;46;9;9;2023;09/09/2023
user_engagement;20231210;1073;176;10;12;2023;10/12/2023
page_view;20240208;1070;90;8;2;2024;08/02/2024
page_view;20231117;1069;93;17;11;2023;17/11/2023
page_view;20231129;1066;145;29;11;2023;29/11/2023
page_view;20230903;1065;118;3;9;2023;03/09/2023
user_engagement;20231108;1063;112;8;11;2023;08/11/2023
user_engagement;20230909;1061;47;9;9;2023;09/09/2023
user_engagement;20230928;1057;118;28;9;2023;28/09/2023
user_engagement;20240125;1057;90;25;1;2024;25/01/2024
scroll;20230830;1056;91;30;8;2023;30/08/2023
user_engagement;20240223;1056;311;23;2;2024;23/02/2024
scroll;20231219;1052;119;19;12;2023;19/12/2023
page_view;20240112;1050;80;12;1;2024;12/01/2024
page_view;20230804;1049;86;4;8;2023;04/08/2023
user_engagement;20231218;1048;127;18;12;2023;18/12/2023
page_view;20231120;1047;89;20;11;2023;20/11/2023
user_engagement;20240204;1044;90;4;2;2024;04/02/2024
page_view;20231027;1038;104;27;10;2023;27/10/2023
user_engagement;20230830;1038;87;30;8;2023;30/08/2023
user_engagement;20230831;1037;127;31;8;2023;31/08/2023
scroll;20240113;1036;79;13;1;2024;13/01/2024
page_view;20231018;1034;85;18;10;2023;18/10/2023
user_engagement;20231207;1033;92;7;12;2023;07/12/2023
page_view;20240201;1028;129;1;2;2024;01/02/2024
page_view;20231023;1027;116;23;10;2023;23/10/2023
user_engagement;20240114;1026;56;14;1;2024;14/01/2024
user_engagement;20230810;1025;106;10;8;2023;10/08/2023
user_engagement;20230813;1015;86;13;8;2023;13/08/2023
user_engagement;20240113;1015;75;13;1;2024;13/01/2024
user_engagement;20231121;1009;69;21;11;2023;21/11/2023
user_engagement;20231126;1009;92;26;11;2023;26/11/2023
page_view;20230823;1008;105;23;8;2023;23/08/2023
page_view;20240116;998;99;16;1;2024;16/01/2024
user_engagement;20231026;995;104;26;10;2023;26/10/2023
user_engagement;20231127;993;105;27;11;2023;27/11/2023
page_view;20230824;992;136;24;8;2023;24/08/2023
scroll;20231123;986;125;23;11;2023;23/11/2023
page_view;20240104;982;117;4;1;2024;04/01/2024
page_view;20231213;979;90;13;12;2023;13/12/2023
page_view;20231221;977;113;21;12;2023;21/12/2023
scroll;20230810;977;119;10;8;2023;10/08/2023
user_engagement;20240104;975;95;4;1;2024;04/01/2024
user_engagement;20230820;972;91;20;8;2023;20/08/2023
page_view;20230821;970;88;21;8;2023;21/08/2023
user_engagement;20231115;970;104;15;11;2023;15/11/2023
page_view;20230929;969;95;29;9;2023;29/09/2023
page_view;20231121;969;84;21;11;2023;21/11/2023
page_view;20240220;967;97;20;2;2024;20/02/2024
user_engagement;20240222;965;112;22;2;2024;22/02/2024
page_view;20230916;963;137;16;9;2023;16/09/2023
page_view;20230925;959;79;25;9;2023;25/09/2023
page_view;20231119;957;88;19;11;2023;19/11/2023
user_engagement;20231120;951;82;20;11;2023;20/11/2023
page_view;20230927;949;146;27;9;2023;27/09/2023
user_engagement;20231130;949;111;30;11;2023;30/11/2023
page_view;20231201;947;110;1;12;2023;01/12/2023
page_view;20240209;947;97;9;2;2024;09/02/2024
scroll;20230831;945;131;31;8;2023;31/08/2023
user_engagement;20230826;945;112;26;8;2023;26/08/2023
scroll;20230928;942;124;28;9;2023;28/09/2023
scroll;20231118;942;66;18;11;2023;18/11/2023
user_engagement;20231015;942;52;15;10;2023;15/10/2023
user_engagement;20231023;942;96;23;10;2023;23/10/2023
page_view;20230906;940;99;6;9;2023;06/09/2023
page_view;20231223;937;93;23;12;2023;23/12/2023
page_view;20240221;936;107;21;2;2024;21/02/2024
page_view;20240130;934;87;30;1;2024;30/01/2024
user_engagement;20230827;934;84;27;8;2023;27/08/2023
page_view;20240110;932;95;10;1;2024;10/01/2024
user_engagement;20240107;927;72;7;1;2024;07/01/2024
user_engagement;20231125;925;104;25;11;2023;25/11/2023
page_view;20230814;924;68;14;8;2023;14/08/2023
page_view;20231202;924;85;2;12;2023;02/12/2023
page_view;20231222;924;280;22;12;2023;22/12/2023
scroll;20230806;920;88;6;8;2023;06/08/2023
page_view;20230926;918;96;26;9;2023;26/09/2023
user_engagement;20230809;918;119;9;8;2023;09/08/2023
scroll;20231210;912;162;10;12;2023;10/12/2023
user_engagement;20230905;912;86;5;9;2023;05/09/2023
page_view;20240109;907;133;9;1;2024;09/01/2024
page_view;20231106;904;137;6;11;2023;06/11/2023
page_view;20230917;903;77;17;9;2023;17/09/2023
user_engagement;20231122;899;102;22;11;2023;22/11/2023
page_view;20230812;897;76;12;8;2023;12/08/2023
user_engagement;20231117;897;76;17;11;2023;17/11/2023
page_view;20231006;895;122;6;10;2023;06/10/2023
scroll;20240118;895;96;18;1;2024;18/01/2024
user_engagement;20230903;895;107;3;9;2023;03/09/2023
user_engagement;20231107;895;107;7;11;2023;07/11/2023
user_engagement;20240208;894;82;8;2;2024;08/02/2024
page_view;20231110;890;128;10;11;2023;10/11/2023
page_view;20231230;888;65;30;12;2023;30/12/2023
page_view;20240107;887;86;7;1;2024;07/01/2024
page_view;20231206;884;105;6;12;2023;06/12/2023
scroll;20231115;883;105;15;11;2023;15/11/2023
