Data;Segundos
03/08/2023;24
04/08/2023;6
05/08/2023;5
06/08/2023;6
07/08/2023;8
08/08/2023;6
09/08/2023;4
10/08/2023;5
11/08/2023;5
12/08/2023;5
13/08/2023;5
14/08/2023;5
15/08/2023;7
16/08/2023;10
17/08/2023;4
18/08/2023;3
19/08/2023;7
20/08/2023;15
21/08/2023;4
22/08/2023;3
23/08/2023;4
24/08/2023;6
25/08/2023;11
26/08/2023;5
27/08/2023;5
28/08/2023;6
29/08/2023;11
30/08/2023;8
31/08/2023;7
01/09/2023;6
02/09/2023;10
03/09/2023;6
04/09/2023;9
05/09/2023;6
06/09/2023;5
07/09/2023;5
08/09/2023;7
09/09/2023;3
10/09/2023;7
11/09/2023;12
12/09/2023;6
13/09/2023;5
14/09/2023;10
15/09/2023;7
16/09/2023;6
17/09/2023;4
18/09/2023;6
19/09/2023;8
20/09/2023;7
21/09/2023;6
22/09/2023;4
23/09/2023;5
24/09/2023;5
25/09/2023;10
26/09/2023;5
27/09/2023;6
28/09/2023;5
29/09/2023;5
30/09/2023;4
01/10/2023;7
02/10/2023;4
03/10/2023;6
04/10/2023;6
05/10/2023;7
06/10/2023;7
07/10/2023;7
08/10/2023;6
09/10/2023;6
10/10/2023;6
11/10/2023;5
12/10/2023;6
13/10/2023;7
14/10/2023;5
15/10/2023;7
16/10/2023;5
17/10/2023;6
18/10/2023;5
19/10/2023;6
20/10/2023;6
21/10/2023;7
22/10/2023;4
23/10/2023;4
24/10/2023;12
25/10/2023;10
26/10/2023;6
27/10/2023;7
28/10/2023;6
29/10/2023;4
30/10/2023;3
31/10/2023;5
01/11/2023;4
02/11/2023;11
03/11/2023;7
04/11/2023;5
05/11/2023;6
06/11/2023;9
07/11/2023;7
08/11/2023;7
09/11/2023;7
10/11/2023;6
11/11/2023;5
12/11/2023;3
13/11/2023;5
14/11/2023;6
15/11/2023;13
16/11/2023;7
17/11/2023;5
18/11/2023;5
19/11/2023;8
20/11/2023;8
21/11/2023;6
22/11/2023;8
23/11/2023;7
24/11/2023;4
25/11/2023;7
26/11/2023;7
27/11/2023;6
28/11/2023;24
29/11/2023;6
30/11/2023;4
01/12/2023;5
02/12/2023;5
03/12/2023;12
04/12/2023;6
05/12/2023;5
06/12/2023;5
07/12/2023;5
08/12/2023;5
09/12/2023;4
10/12/2023;6
11/12/2023;12
12/12/2023;3
13/12/2023;5
14/12/2023;6
15/12/2023;18
16/12/2023;4
17/12/2023;7
18/12/2023;7
19/12/2023;11
20/12/2023;3
21/12/2023;6
22/12/2023;7
23/12/2023;5
24/12/2023;8
25/12/2023;7
26/12/2023;6
27/12/2023;10
28/12/2023;5
29/12/2023;4
30/12/2023;4
31/12/2023;4
01/01/2024;4
02/01/2024;5
03/01/2024;4
04/01/2024;4
05/01/2024;6
06/01/2024;4
07/01/2024;5
08/01/2024;4
09/01/2024;7
10/01/2024;6
11/01/2024;3
12/01/2024;4
13/01/2024;5
14/01/2024;10
15/01/2024;6
16/01/2024;5
17/01/2024;4
18/01/2024;7
19/01/2024;5
20/01/2024;5
21/01/2024;6
22/01/2024;6
23/01/2024;12
24/01/2024;4
25/01/2024;6
26/01/2024;5
27/01/2024;11
28/01/2024;5
29/01/2024;27
30/01/2024;22
31/01/2024;13
01/02/2024;24
02/02/2024;29
03/02/2024;23
04/02/2024;24
05/02/2024;47
06/02/2024;29
07/02/2024;36
08/02/2024;28
09/02/2024;25
10/02/2024;18
11/02/2024;21
12/02/2024;54
13/02/2024;24
14/02/2024;34
15/02/2024;56
16/02/2024;19
17/02/2024;20
18/02/2024;35
19/02/2024;14
20/02/2024;22
21/02/2024;48
22/02/2024;21
23/02/2024;48
24/02/2024;23
25/02/2024;18
26/02/2024;59
27/02/2024;64
28/02/2024;34
29/02/2024;19
01/03/2024;19
02/03/2024;9
03/03/2024;18
04/03/2024;25
05/03/2024;43
06/03/2024;20
07/03/2024;17
08/03/2024;14
09/03/2024;41
10/03/2024;17
11/03/2024;12
12/03/2024;32
13/03/2024;19
14/03/2024;17
15/03/2024;14
16/03/2024;36
17/03/2024;19
18/03/2024;15
19/03/2024;33
20/03/2024;32
21/03/2024;40
22/03/2024;23
23/03/2024;20
24/03/2024;19
25/03/2024;17
26/03/2024;15
27/03/2024;16
28/03/2024;23
29/03/2024;16
30/03/2024;15
31/03/2024;26
01/04/2024;15
02/04/2024;16
03/04/2024;15
04/04/2024;32
05/04/2024;118
06/04/2024;16
07/04/2024;15
08/04/2024;29
09/04/2024;13
10/04/2024;27
11/04/2024;14
12/04/2024;29
13/04/2024;17
14/04/2024;17
15/04/2024;24
16/04/2024;29
17/04/2024;24
18/04/2024;16
19/04/2024;15
20/04/2024;18
21/04/2024;17
22/04/2024;11
23/04/2024;14
24/04/2024;16
25/04/2024;16
26/04/2024;31
27/04/2024;34
28/04/2024;33
29/04/2024;23
30/04/2024;21
01/05/2024;18
02/05/2024;17
03/05/2024;19
04/05/2024;21
05/05/2024;11
06/05/2024;13
07/05/2024;17
08/05/2024;54
09/05/2024;23
10/05/2024;15
11/05/2024;12
12/05/2024;23
13/05/2024;22
14/05/2024;26
15/05/2024;24
16/05/2024;38
17/05/2024;28
18/05/2024;14
19/05/2024;18
20/05/2024;15
21/05/2024;24
22/05/2024;18
23/05/2024;20
24/05/2024;12
25/05/2024;15
26/05/2024;17
27/05/2024;20
28/05/2024;14
29/05/2024;21
30/05/2024;22
31/05/2024;27
01/06/2024;16
02/06/2024;22
