Perguntas;Consulta;Grupo;Subgrupo;Codigo;Pagina;Pagina2;Visualizacao;Usuario
0;Inicial;Inicial;Inicial;NAO;Inicial;N/A;0;0
0;Especial;Especial;Especial;NAO;especial;N/A;0;0
2;Adversário;Adversario;Adversario;NAO;adversario;mostra_adversario;0;0
3;Árbitro;Arbitro;Arbitro;NAO;arbitro;mostra_arbitro;0;0
4;Estádio;Estadio;Estadio;NAO;estadio;mostra_estadio;0;0
5;Campeonato;Campeonato;Campeonato;NAO;campeonato;mostra_campeonato;0;0
6;Jogador;Jogador;Jogador;NAO;jogador;mostra_jogador;0;0
7;Técnico;Tecnico;Tecnico;NAO;tecnico;mostra_tecnico;0;0
8;Jogo;Jogo;Jogo;NAO;jogo;mostra_jogo;0;0
9;Geral;Geral;Geral;NAO;geral;N/A;0;0
10;Curiosidades;Curiosidades;Curiosidades;NAO;curiosidade;N/A;0;0
11;Contato;Contato;Contato;NAO;contato;fale_conosco;0;0
12;Créditos;Creditos;Creditos;NAO;credito;N/A;0;0
14;Camisa;Camisa;Camisa;NAO;camisa;N/A;0;0
15;Todas as Camisas;Camisa;Camisa;400000000;todas_camisas;mostra_camisa;0;0
16;Camisa ano a ano;Camisa;Camisa;400001000;consulta_camisa;mostra_camisa;0;0
17;Camisa em Clássico;Camisa;Adversario;400345000;consulta_camisa;mostra_camisa;0;0
18;Camisa em campeonato;Camisa;Campeonato;400103000;consulta_camisa;mostra_camisa;0;0
19;Camisa em estádio;Camisa;Estadio;400102000;consulta_camisa;mostra_camisa;0;0
20;Camisa contra adversário;Camisa;Adversario;400100000;consulta_camisa;mostra_camisa;0;0
21;Camisa por ano;Camisa;Camisa;400106000;consulta_camisa;mostra_camisa;0;0
22;Camisa e jogador;Camisa;Jogador;400104000;consulta_camisa;mostra_camisa;0;0
23;Sequência de camisa;Camisa;Sequência;400300000;consulta_camisa;mostra_sequencia2;0;0
24;Frequência de placar por camisa;Camisa;Frequência;400500000;consulta_camisa;resultado_camisa;0;0
25;Aproveitamento de pontos por camisa;Camisa;Camisa;400600000;mostra_camisa2;N/A;0;0
26;Camisa por tipo;Camisa;Camisa;400201000;consulta_camisa;mostra_camisa;0;0
27;Camisa por fornecedor;Camisa;Camisa;400125000;consulta_fornecedor;mostra_fornecedor;0;0
28;Patrocínio;Camisa;Camisa;400130000;consulta_patrocinio;mostra.patrocinio;0;0
29;Grafico;Gráfico;Gráfico;NAO;consulta_grafico;N/A;0;0
30;Artilheiros;;;NAO;N/A;N/A;0;0
31;Maiores Artilheiros;Gráfico;Artilheiros;500;grafico_artilheiro;N/A;0;0
