Título;Extenso;Sessões;Usuários;Novos usuários;Data;Hora
Estatisticas Fluminense - Principal;2023091420;11;11;7;14/09/2023;20
Estatisticas Fluminense - Principal;2023091319;9;8;3;13/09/2023;19
Estatisticas Fluminense - Principal;2023090918;8;8;5;09/09/2023;18
Estatisticas Fluminense - Principal;2023091419;8;7;2;14/09/2023;19
Estatisticas Fluminense - Principal;2023091414;7;7;1;14/09/2023;14
Estatisticas Fluminense - Principal;2023091415;7;7;2;14/09/2023;15
Estatisticas Fluminense - Principal;2023091421;7;7;2;14/09/2023;21
Jogador;2023091211;7;7;1;12/09/2023;11
Estatisticas Fluminense - Principal;2023091210;6;6;1;12/09/2023;10
Estatisticas Fluminense - Principal;2023091211;6;6;1;12/09/2023;11
Estatisticas Fluminense - Principal;2023091216;6;6;2;12/09/2023;16
Estatisticas Fluminense - Principal;2023091217;6;6;4;12/09/2023;17
Estatisticas Fluminense - Principal;2023091310;6;6;1;13/09/2023;10
Estatisticas Fluminense - Principal;2023091417;6;5;1;14/09/2023;17
Adilson 1973;2023091211;5;5;0;12/09/2023;11
Adversarios;2023091415;5;5;0;14/09/2023;15
Estatisticas Fluminense - Principal;2023090916;5;5;3;09/09/2023;16
Estatisticas Fluminense - Principal;2023091018;5;5;3;10/09/2023;18
Estatisticas Fluminense - Principal;2023091114;5;5;2;11/09/2023;14
Estatisticas Fluminense - Principal;2023091117;5;5;1;11/09/2023;17
Estatisticas Fluminense - Principal;2023091412;5;5;2;14/09/2023;12
Estatisticas Fluminense - Principal;2023091413;5;5;1;14/09/2023;13
Estatisticas Fluminense - Principal;2023091416;5;5;2;14/09/2023;16
Estatisticas Fluminense - Principal;2023091422;5;5;3;14/09/2023;22
Adversarios;2023091316;4;3;0;13/09/2023;16
Adversarios;2023091319;4;3;0;13/09/2023;19
Adversarios;2023091414;4;4;0;14/09/2023;14
Consultas Especiais;2023091210;4;4;0;12/09/2023;10
Consultas Especiais;2023091414;4;4;0;14/09/2023;14
Estatisticas Fluminense - Principal;2023090910;4;4;1;09/09/2023;10
Estatisticas Fluminense - Principal;2023090921;4;4;3;09/09/2023;21
Estatisticas Fluminense - Principal;2023091014;4;4;0;10/09/2023;14
Estatisticas Fluminense - Principal;2023091110;4;4;0;11/09/2023;10
Estatisticas Fluminense - Principal;2023091111;4;4;1;11/09/2023;11
Estatisticas Fluminense - Principal;2023091113;4;4;2;11/09/2023;13
Estatisticas Fluminense - Principal;2023091115;4;4;0;11/09/2023;15
Estatisticas Fluminense - Principal;2023091119;4;4;0;11/09/2023;19
Estatisticas Fluminense - Principal;2023091121;4;4;1;11/09/2023;21
Estatisticas Fluminense - Principal;2023091215;4;4;1;12/09/2023;15
Estatisticas Fluminense - Principal;2023091219;4;4;1;12/09/2023;19
Estatisticas Fluminense - Principal;2023091309;4;4;2;13/09/2023;9
Estatisticas Fluminense - Principal;2023091311;4;4;1;13/09/2023;11
