url;Extenso;Sessoes;Usuarios;Novos;Tempo;Data;Tipo
/estadio;20230803;4;4;0;9;03/08/2023;
/estadio;20230804;4;4;0;6;04/08/2023;
/estadio;20230806;3;3;0;13;06/08/2023;
/estadio;20230807;4;4;0;22;07/08/2023;
/estadio;20230808;3;3;0;4;08/08/2023;
/estadio;20230809;7;5;0;8;09/08/2023;
/estadio;20230810;3;3;0;8;10/08/2023;
/estadio;20230811;10;10;0;8;11/08/2023;
/estadio;20230812;2;2;0;8;12/08/2023;
/estadio;20230813;5;5;0;33;13/08/2023;
/estadio;20230814;2;2;0;10;14/08/2023;
/estadio;20230815;1;1;0;8;15/08/2023;
/estadio;20230816;5;5;0;10;16/08/2023;
/estadio;20230817;2;2;0;13;17/08/2023;
/estadio;20230818;2;2;0;5;18/08/2023;
/estadio;20230819;3;3;0;13;19/08/2023;
/estadio;20230820;1;1;0;16;20/08/2023;
/estadio;20230821;7;6;0;13;21/08/2023;
/estadio;20230822;3;3;0;21;22/08/2023;
/estadio;20230823;6;6;0;20;23/08/2023;
/estadio;20230824;5;5;0;9;24/08/2023;
/estadio;20230825;8;8;0;9;25/08/2023;
/estadio;20230826;5;4;0;5;26/08/2023;
/estadio;20230827;9;8;0;15;27/08/2023;
/estadio;20230828;3;3;0;5;28/08/2023;
/estadio;20230829;4;4;0;15;29/08/2023;
/estadio;20230830;4;4;0;10;30/08/2023;
/estadio;20230831;11;11;0;49;31/08/2023;
/estadio;20230901;7;7;0;16;01/09/2023;
/estadio;20230902;7;7;0;9;02/09/2023;
/estadio;20230903;4;4;0;14;03/09/2023;
/estadio;20230904;4;4;0;8;04/09/2023;
/estadio;20230905;9;9;0;9;05/09/2023;
/estadio;20230906;5;5;0;27;06/09/2023;
/estadio;20230908;2;2;0;8;08/09/2023;
/estadio;20230909;4;4;0;35;09/09/2023;
/estadio;20230910;7;5;0;7;10/09/2023;
/estadio;20230911;8;7;0;15;11/09/2023;
/estadio;20230912;4;3;0;16;12/09/2023;
/estadio;20230913;7;5;0;10;13/09/2023;
/estadio;20230914;6;6;0;9;14/09/2023;
/estadio;20230915;9;9;0;16;15/09/2023;
/estadio;20230916;4;4;0;15;16/09/2023;
