,Grupo,Subgrupo,Consulta,acessos
0,Inicial,Inicial,Inicial,0
1,Especial,Especial,Especial,0
2,Camisa,Camisa,Camisa,0
3,Gráfico,Gráfico,Grafico,0
4,,,Artilheiros,0
5,Gráfico,Artilheiros,Wordcloud Artilheiros,1
6,Gráfico,Artilheiros,Multilinha Combinado de artilheiros por ano,0
7,Gráfico,Gols,Melhores média de gols sofridos,4
8,Gráfico,Gols,Gols sofridos nos campeonatos,3
9,Gráfico,Gols,Gols sofridos por adversário,4
10,Gráfico,Gols,Gols sofridos por ano,4
11,Gráfico,Adversario,Flu x Times do Nordeste,4
12,Gráfico,Adversario,Flu x Times do Sul,4
13,Gráfico,Adversario,Flu x Times do Norte,3
14,Gráfico,Adversario,Flu x Times do Centro Oeste,3
15,Gráfico,Adversario,Evolução - saldo de vitórias por adversário,0
16,Gráfico,Publico,Distribuição de público Visitante - Boxplot,3
17,Gráfico,Publico,Distribuição de público Visitante - Violinplot,3
18,Especiais,Especiais,Especiais,0
19,Especiais,Arbitro,Árbitro x Jogador,4
20,Especiais,Arbitro,Árbitro x Técnico,3
21,Especiais,Arbitro,Jogos de Árbitro por ano,3
22,Especiais,Arbitro,Árbitros por ano,2
23,Especiais,Estadio,Geolocalização dos estádios,0
24,Especiais,Estadio,Saldo de placar em estádio,0
25,Especiais,Campeonato,Var em campeonatos,2
26,Especiais,Artilheiros,Maiores artilheiros em 1 campeonato,3
27,Especiais,Artilheiros,Artiheiros contra adversário em campeonato,3
28,Especiais,Artilheiros,Artiheiros contra adversário em campeonato em estádio,1
29,Especiais,Artilheiros,Artilheiros estrangeiros em 1 temporada,0
30,Especiais,Artilheiros,Artilheiros mais novos,4
31,Especiais,Artilheiros,Artilheiros mais novos Século XX,0
32,Especiais,Artilheiros,Artilheiros mais novos Século XXI,1
33,Especiais,Artilheiros,Artilheiros mais velhos Século XX,3
34,Especiais,Artilheiros,Artilheiros mais velhos Século XXI,3
35,Especiais,Artilheiros,Maiores artilheiros no 1º tempo,4
36,Especiais,Artilheiros,Maiores artilheiros no 2º tempo,4
37,Especiais,Artilheiros,Maiores artilheiros no 1º tempo do Século XX,0
38,Especiais,Artilheiros,Maiores artilheiros no 1º tempo do Século XXI,1
39,Especiais,Artilheiros,Maiores artilheiros no 2º tempo do Século XX,1
40,Especiais,Artilheiros,Maiores artilheiros no 2º tempo do Século XXI,1
41,Especiais,Assistencia,Participações diretas em gols por ano,4
42,Especiais,Assistencia,Assistências contra adversário,0
43,Especiais,Assistencia,Participações diretas em gols contra adversário,0
44,Especiais,Assistencia,Participações diretas em gols em campeonato,2
45,Especiais,Assistencia,Penaltis e faltas por sofridos por ano,2
46,Especiais,Assistencia,Penaltis e faltas por sofridos contra adversário,0
47,Especiais,Assistencia,Penaltis e faltas por sofridos em campeonato,0
48,Especiais,Assistencia,Mais participações em gols em 1 jogo,0
49,Especiais,Presença,Mais jogos contra adversário,2
50,Especiais,Presença,Mais jogos em estádio,1
51,Especiais,Presença,Mais jogos contra adversário em campeonato,0
52,Especiais,Presença,Jogadores com mais participações em campeonatos,2
53,Especiais,Jogador,Jogador x Árbitro,3
54,Especiais,Jogador,Jogadores em campeonato - estádio,4
55,Especiais,Jogador,Jogadores mais velhos,4
56,Especiais,Jogador,Jogos de jogador com amarelo,2
57,Especiais,Jogador,Jogos de jogador com vermelho,3
58,Especiais,Jogador,Jogadores mais novos do Século XX,2
59,Especiais,Jogador,Jogadores mais novos do Século XXI,4
60,Especiais,Jogador,Jogadores mais velhos do Século XX,2
61,Especiais,Jogador,Jogadores mais velhos do Século XXI,4
62,Especiais,Jogador,Jogadores com mais empates,2
63,Especiais,Jogador,Jogadores com mais empates no século,0
64,Especiais,Jogador,Jogadores com mais derrotas no século,2
65,Especiais,Jogador,Jogadores com mais empates oficiais,0
66,Especiais,Jogador,Jogadores com mais derrotas oficiais,3
67,Especiais,Jogador,Maiores ídolos a partir de 1980,0
68,Especiais,Tecnico,Técnicos com mais participações em campeonato,4
69,Especiais,Tecnico,Quem teve mais passagens como técnico,4
70,Especiais,Tecnico,Saldo de placar com técnico,1
71,Especiais,Tecnico,Timeline de Técnicos,0
72,Especiais,Frequencia,Frequência de Placares por ano,1
73,Especiais,Frequencia,Frequência de Placares contra adversário,1
74,Especiais,Frequencia,Frequência de Placares contra adversário em estádio,2
75,Especiais,Resultado,Consulta Placar em estádio,3
76,Especiais,Gols,Gols em jogos por ano,0
77,Especiais,Resultado,Saldo de placar por ano,1
78,Especiais,Gols,Tempo que faz/leva qtd gols,0
79,Especiais,Jogo,Dia da semana - adversário,3
80,Especiais,Tecadv,Curiosidades técnico adversário,0
81,Especiais,Tecadv,Ranking Técnico Adversário Século XX,4
82,Especiais,Tecadv,Ranking Técnico Adversário em jogos oficiais Sec XX,3
83,Especiais,Jogador,Minutagem no ano,3
84,Especiais,Jogador,Minutagem por passagem de técnico,1
85,Especiais,Jogador,Minutagem em campeonato,1
86,Especiais,Jogador,Mais Substituídos por ano,0
87,Especiais,Jogador,Mais substituídos por passagem de técnico,0
88,Especiais,Jogador,Mais substituídos em campeonato,0
89,Especiais,Jogador,12º Jogador no ano,0
90,Especiais,Jogador,12º Jogador por passagem de técnico,0
91,Especiais,Jogador,12º Jogador em campeonato,0
92,Especiais,Jogador,Mais fez gols de falta no século,1
93,Especiais,Jogador,Mais fez gols de falta no período,2
94,Especiais,Jogador,Artilheiros como titular,3
95,Especiais,Jogador,Artilheiros em tempo determinado,0
96,Especiais,Jogador,Frequencia de Placar de Jogador,0
97,Especiais,Jogador,Frequencia de Placar de Jogador em campeonato,4
98,Especiais,Geral,Ranking de Anos,0
