res_flu;res_adv;cod_jogo;adversario;data;agrupado
8;0;92;Rio Football Club;19/10/1902;Fluminense 8 X 0 Rio Football Club - 
0;3;93;Paysandu Cricket;26/10/1902;Fluminense 0 X 3 Paysandu Cricket - 
3;1;94;Rio Cricket;21/05/1903;Fluminense 3 X 1 Rio Cricket - 
1;3;95;Paysandu Cricket;24/06/1903;Fluminense 1 X 3 Paysandu Cricket - 
2;1;97;Paulistano;07/09/1903;Fluminense 2 X 1 Paulistano - 
3;0;98;São Paulo Athletic;08/09/1903;Fluminense 3 X 0 São Paulo Athletic - 
2;2;99;Paysandu Cricket;18/10/1903;Fluminense 2 X 2 Paysandu Cricket - 
2;1;100;Rio Cricket;03/05/1904;Fluminense 2 X 1 Rio Cricket - 
2;1;101;Paysandu Cricket;19/06/1904;Fluminense 2 X 1 Paysandu Cricket - 
3;2;102;Rio Cricket;24/06/1904;Fluminense 3 X 2 Rio Cricket - 
4;0;103;Rio Cricket;29/06/1904;Fluminense 4 X 0 Rio Cricket - 
0;3;104;Paulistano;14/08/1904;Fluminense 0 X 3 Paulistano - 
0;2;105;Paulistano;15/08/1904;Fluminense 0 X 2 Paulistano - 
2;1;106;Rio Cricket;28/08/1904;Fluminense 2 X 1 Rio Cricket - 
3;4;107;Germânia;04/09/1904;Fluminense 3 X 4 Germânia - 
0;2;109;Paulistano;06/09/1904;Fluminense 0 X 2 Paulistano - 
0;3;111;São Paulo Athletic;08/09/1904;Fluminense 0 X 3 São Paulo Athletic - 
7;1;112;Rio Cricket;07/05/1905;Fluminense 7 X 1 Rio Cricket - 
0;0;113;São Paulo Athletic;22/06/1905;Fluminense 0 X 0 São Paulo Athletic - 
3;1;114;S. C. Internacional;24/06/1905;Fluminense 3 X 1 S. C. Internacional - 
2;2;115;Paulistano;25/06/1905;Fluminense 2 X 2 Paulistano - 
2;0;116;Paulistano;14/07/1905;Fluminense 2 X 0 Paulistano - 
2;3;117;Paulistano;16/07/1905;Fluminense 2 X 3 Paulistano - 
10;0;118;Football & Athletic;23/07/1905;Fluminense 10 X 0 Football & Athletic - 
6;0;120;Botafogo;22/10/1905;Fluminense 6 X 0 Botafogo - 
7;1;122;Paysandu Cricket;03/05/1906;Fluminense 7 X 1 Paysandu Cricket - 
8;0;123;Botafogo;13/05/1906;Fluminense 8 X 0 Botafogo - 
4;0;124;Bangu;10/06/1906;Fluminense 4 X 0 Bangu - 
7;0;125;Football & Athletic;14/07/1906;Fluminense 7 X 0 Football & Athletic - 
1;3;126;Paysandu Cricket;05/08/1906;Fluminense 1 X 3 Paysandu Cricket - 
2;1;127;Rio Cricket;12/08/1906;Fluminense 2 X 1 Rio Cricket - 
