;HTML;Links
0;adversario.html;[]
1;adversario_graf.html;[]
2;arbitro.html;[]
3;ataque.html;['link.link_jogador']
4;ataque_defesa.html;[]
5;avaliacao.html;['link.link_jogo']
6;batedores_todos.html;['link.link_adversario', 'link.link_arbitro', 'link.link_batedor', 'link.link_campeonato', 'link.link_estadio', 'link.link_jogo']
7;camisa.html;['mostra.mostra_camisa2', 'principal.consulta_camisa', 'principal.consulta_fornecedor', 'principal.consulta_patrocinio', 'principal.todas_camisas']
8;campeonato.html;[]
9;consulta_adversario.html;[]
10;consulta_camisa.html;[]
11;consulta_camisa_toda.html;['link.link_camisa']
12;consulta_cor.html;[]
13;consulta_disputa.html;[]
14;consulta_espadv.html;[]
15;consulta_especial.html;[]
16;consulta_fornecedor.html;[]
17;consulta_goleiro.html;[]
18;consulta_paiscamp.html;[]
19;consulta_patrocinio.html;[]
20;consulta_periodo_publico.html;[]
21;consulta_placar.html;[]
22;consulta_prinadv.html;[]
23;consulta_publico.html;[]
24;consulta_ranking.html;[]
25;consulta_tecadv.html;[]
26;consulta_tempodet.html;[]
27;consulta_turno.html;[]
28;creditos.html;[]
29;cronologia_gols.html;['link.link_detgol', 'link.link_jogo']
30;curiosidade.html;[]
31;curiosidade_estadio.html;['link.link_estadio']
32;defesa.html;['link.link_jogador']
33;detalhe_gols.html;['link.link_jogador', 'link.link_jogo']
34;distancia_percorrida.html;['link.link_adversario', 'link.link_campeonato', 'link.link_estadio', 'link.link_jogo']
35;duelo_eliminatorio.html;[]
36;duelo_eliminatorio_saldo.html;['link.link_jogo']
37;escolhe_duelo.html;[]
38;especial.html;['principal.consulta_especial_adversario', 'principal.consulta_especial_arbitro', 'principal.consulta_especial_brasileiro', 'principal.consulta_especial_campeonato', 'principal.consulta_especial_classico', 'principal.consulta_especial_estadio', 'principal.consulta_especial_gerais', 'principal.consulta_especial_jogador', 'principal.consulta_especial_jogos', 'principal.consulta_especial_presidente', 'principal.consulta_especial_resultados', 'principal.consulta_especial_sequencia', 'principal.consulta_especial_tecadv', 'principal.consulta_especial_tecnico', 'principal.consulta_numeracao', 'principal.consulta_substituicao']
39;especial2.html;['especial.consulta_cartao', 'especial.consulta_disputa', 'especial.consulta_espadv', 'especial.consulta_especial', 'especial.consulta_paiscamp', 'especial.consulta_prinadv', 'especial.consulta_ranking', 'especial.mostra_advmais', 'especial.mostra_arbapr', 'especial.mostra_arbcartao', 'especial.mostra_arbitromais', 'especial.mostra_espadv', 'especial.mostra_penalti', 'especial.mostra_ranking', 'especial2.consulta_campano', 'especial2.consulta_campeonato', 'especial2.consulta_estadio', 'especial2.consulta_goleiro', 'especial2.goleiro_gols', 'especial2.mostra_aproveitamento', 'especial2.mostra_classico', 'especial2.mostra_estadiomais', 'especial2.mostra_goleiro2', 'geral.disputa_penalty', 'geral.estatistica_data', 'geral.maiores_publicos', 'geral.maiores_publicos_classicos', 'geral.marcas_historicas', 'geral.media_publicos_classicos', 'geral.menores_publicos', 'geral.sem_informacao', 'jogador.consulta_jogador', 'jogador.defesa_penalti', 'jogador.lista_pais', 'jogador.media_goleiro', 'jogador.mostra_media_cartao', 'mostra.mostra_rankingpres', 'principal.consulta_mascote', 'principal.consulta_presidente', 'principal.consulta_subcampeonato', 'resultado.consulta_jogo', 'resultado.consulta_placar', 'resultado.generico_adversario', 'resultado.generico_ano', 'resultado.generico_arbitro', 'resultado.generico_campeonato', 'resultado.generico_especial', 'resultado.generico_estadio', 'resultado.generico_jogador', 'resultado.generico_tecnico', 'resultado.mostra_frequencia', 'resultado.mostra_goleada', 'sequencia.mostra_sequencia', 'sequencia.mostra_sequencia_gols']
40;especial_adversario.html;['especial.consulta_cartao', 'especial.consulta_cores', 'especial.consulta_disputa', 'especial.consulta_espadv', 'especial.consulta_especial', 'especial.consulta_paiscamp', 'especial.consulta_prinadv', 'especial.mostra_advmais', 'especial.mostra_espadv', 'especial.mostra_penalti', 'principal.consulta_mascote', 'resultado.generico_adversario']
41;especial_arbitro.html;['especial.consulta_espadv', 'especial.consulta_especial', 'especial.consulta_tempo', 'especial.mostra_arbapr', 'especial.mostra_arbcartao', 'especial.mostra_arbitromais']
42;especial_brasileiro.html;['especial.consulta_especial', 'mostra.pontos_campeonato', 'mostra.ranking_posicao', 'mostra.rodada_grupos', 'resultado.artilheiro_turno', 'resultado.consolida_turno', 'resultado.consulta_rodada', 'resultado.consulta_turno', 'resultado.generico_ano', 'resultado.presenca_turno', 'resultado.ranking_turno']
43;especial_campeonato.html;[]
44;especial_campeonato2.html;['especial.consulta_especial', 'especial.consulta_tempo', 'especial2.consulta_campano', 'especial2.consulta_campeonato', 'principal.consulta_subcampeonato', 'resultado.generico_campeonato']
