,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Perguntas,Consulta,Grupo,Subgrupo,Codigo,Pagina,Pagina2,Visualizacao,Usuario
0,0,0,0,0,0,0,0,0,Inicial,Inicial,Inicial,NAO,Inicial,,0,0
1,1,1,1,1,1,1,1,0,Especial,Especial,Especial,NAO,especial,,0,0
2,2,2,2,2,2,2,2,2,Adversário,Adversario,Adversario,NAO,adversario,mostra_adversario,5782,4790
3,3,3,3,3,3,3,3,3,Árbitro,Arbitro,Arbitro,NAO,arbitro,mostra_arbitro,1498,1216
4,4,4,4,4,4,4,4,4,Estádio,Estadio,Estadio,NAO,estadio,mostra_estadio,972,864
5,5,5,5,5,5,5,5,5,Campeonato,Campeonato,Campeonato,NAO,campeonato,mostra_campeonato,2162,1869
6,6,6,6,6,6,6,6,6,Jogador,Jogador,Jogador,NAO,jogador,mostra_jogador,6033,4608
7,7,7,7,7,7,7,7,7,Técnico,Tecnico,Tecnico,NAO,tecnico,mostra_tecnico,2107,1907
8,8,8,8,8,8,8,8,8,Jogo,Jogo,Jogo,NAO,jogo,mostra_jogo,3712,2645
9,9,9,9,9,9,9,9,9,Geral,Geral,Geral,NAO,geral,,1676,1518
10,10,10,10,10,10,10,10,10,Curiosidades,Curiosidades,Curiosidades,NAO,curiosidade,,962,897
11,11,11,11,11,11,11,11,11,Contato,Contato,Contato,NAO,contato,fale_conosco,195,190
12,12,12,12,12,12,12,12,12,Créditos,Creditos,Creditos,NAO,credito,,203,192
13,13,13,13,13,13,13,13,14,Camisa,Camisa,Camisa,NAO,camisa,,0,0
14,14,14,14,14,14,14,14,15,Todas as Camisas,Camisa,Camisa,400000000,todas_camisas,mostra_camisa,478,421
15,15,15,15,15,15,15,15,16,Camisa ano a ano,Camisa,Camisa,400001000,consulta_camisa,mostra_camisa,190,185
16,16,16,16,16,16,16,16,17,Camisa em Clássico,Camisa,Adversario,400345000,consulta_camisa,mostra_camisa,43,42
17,17,17,17,17,17,17,17,18,Camisa em campeonato,Camisa,Campeonato,400103000,consulta_camisa,mostra_camisa,30,30
18,18,18,18,18,18,18,18,19,Camisa em estádio,Camisa,Estadio,400102000,consulta_camisa,mostra_camisa,15,14
19,19,19,19,19,19,19,19,20,Camisa contra adversário,Camisa,Adversario,400100000,consulta_camisa,mostra_camisa,23,23
20,20,20,20,20,20,20,20,21,Camisa por ano,Camisa,Camisa,400106000,consulta_camisa,mostra_camisa,41,40
21,21,21,21,21,21,21,21,22,Camisa e jogador,Camisa,Jogador,400104000,consulta_camisa,mostra_camisa,40,40
22,22,22,22,22,22,22,22,23,Sequência de camisa,Camisa,Sequência,400300000,consulta_camisa,mostra_sequencia2,39,39
23,23,23,23,23,23,23,23,24,Frequência de placar por camisa,Camisa,Frequência,400500000,consulta_camisa,resultado_camisa,20,20
24,24,24,24,24,24,24,24,25,Aproveitamento de pontos por camisa,Camisa,Camisa,400600000,mostra_camisa2,,65,64
25,25,25,25,25,25,25,25,26,Camisa por tipo,Camisa,Camisa,400201000,consulta_camisa,mostra_camisa,48,48
26,26,26,26,26,26,26,26,27,Camisa por fornecedor,Camisa,Camisa,400125000,consulta_fornecedor,mostra_fornecedor,53,52
27,27,27,27,27,27,27,27,28,Patrocínio,Camisa,Camisa,400130000,consulta_patrocinio,mostra.patrocinio,70,65
28,28,28,28,28,28,28,28,29,Grafico,Gráfico,Gráfico,NAO,consulta_grafico,,0,0
29,29,29,29,29,29,29,29,30,Artilheiros,,,NAO,,,0,0
30,30,30,30,30,30,30,30,31,Maiores Artilheiros,Gráfico,Artilheiros,500,grafico_artilheiro,,228,217
31,31,31,31,31,31,31,31,32,Maiores Artilheiros contra adversário,Gráfico,Artilheiros,200,grafico_adversario,,85,81
32,32,32,32,32,32,32,32,33,Maiores Artilheiros em estádio,Gráfico,Artilheiros,202,grafico_estadio,,48,43
33,33,33,33,33,33,33,33,34,Maiores Artilheiros em campeonato,Gráfico,Artilheiros,203,grafico_campeonato,,75,69
34,34,34,34,34,34,34,34,35,Maiores Artilheiros por ano,Gráfico,Artilheiros,515,grafico_artilheiro,,41,40
35,35,35,35,35,35,35,35,36,Maiores Artilheiros anuais,Gráfico,Artilheiros,510,grafico_artilheiro,,30,29
36,36,36,36,36,36,36,36,37,Principais Artilheiros ano a ano,Gráfico,Artilheiros,512,grafico_artilheiro,,33,32
37,37,37,37,37,37,37,37,38,Mais vezes Artilheiros anuais,Gráfico,Artilheiros,511,grafico_artilheiro,,23,23
38,38,38,38,38,38,38,38,39,Maior Artilheiro em 1 campeonato,Gráfico,Artilheiros,517,grafico_campeonato,,39,37
39,39,39,39,39,39,39,39,40,Artilheiro - adversario - campeonato - estádio,Gráfico,Artilheiros,169,grafico_adversario,,14,12
40,40,40,40,40,40,40,40,41,Artilheiro contra adversario em campeonato,Gráfico,Artilheiros,160,grafico_adversario,,8,6
41,41,41,41,41,41,41,41,42,Artilheiro em estádio em campeonato,Gráfico,Artilheiros,162,grafico_estadio,,9,8
42,42,42,42,42,42,42,42,43,Artilheiros Século XX,Gráfico,Artilheiros,561,grafico_artilheiro,,23,23
43,43,43,43,43,43,43,43,44,Artilheiros Século XXI,Gráfico,Artilheiros,562,grafico_artilheiro,,56,55
44,44,44,44,44,44,44,44,45,Artilheiros Jogos Oficiais,Gráfico,Artilheiros,563,grafico_artilheiro,,35,33
45,45,45,45,45,45,45,45,46,Artilharia Média,Gráfico,Artilheiros,606,grafico_artilheiro,,32,30
46,46,46,46,46,46,46,46,47,Wordcloud Artilheiros,Gráfico,Artilheiros,607,grafico_artilheiro,,1,1
47,47,47,47,47,47,47,47,48,Multilinha Artilheiros por ano,Gráfico,Artilheiros,608,grafico_artilheiro,,20,20
48,48,48,48,48,48,48,48,49,Multilinha Combinado de artilheiros por ano,Gráfico,Artilheiros,628,grafico_artilheiro,,0,0
49,49,49,49,49,49,49,49,51,Assistências Relações,Gráfico,Assistencia,598,grafico_assistencia,,34,32
50,50,50,50,50,50,50,50,52,Assistências Conexões,Gráfico,Assistencia,599,grafico_assistencia,,19,19
51,51,51,51,51,51,51,51,53,Melhores Duplas,Gráfico,Assistencia,601,grafico_assistencia,,37,35
52,52,52,52,52,52,52,52,54,Melhores Duplas - Bubbles,Gráfico,Assistencia,623,grafico_assistencia,,25,22
53,53,53,53,53,53,53,53,55,Melhores Assistentes,Gráfico,Assistencia,624,grafico_assistencia,,33,31
54,54,54,54,54,54,54,54,57,Quem mais jogou,Gráfico,Presença,501,grafico_artilheiro,,69,68
55,55,55,55,55,55,55,55,58,Mais jogos contra adversário,Gráfico,Presença,300,grafico_adversario,,7,7
56,56,56,56,56,56,56,56,59,Mais jogos em campeonato,Gráfico,Presença,303,grafico_campeonato,,38,33
57,57,57,57,57,57,57,57,60,Mais jogos em estádio,Gráfico,Presença,302,grafico_estadio,,10,10
58,58,58,58,58,58,58,58,61,Mais jogos contra adversário em campeonato,Gráfico,Presença,170,grafico_adversario,,8,7
59,59,59,59,59,59,59,59,62,Mais jogou em estádio em campeonato,Gráfico,Presença,172,grafico_estadio,,9,7
60,60,60,60,60,60,60,60,63,Estrangeiros que mais atuaram,Gráfico,Presença,420,grafico_artilheiro,,23,23
61,61,61,61,61,61,61,61,64,Substituição por ano,Gráfico,Presença,630,grafico_artilheiro,,9,8
62,62,62,62,62,62,62,62,65,Substituição por jogador,Gráfico,Presença,631,grafico_jogador,,11,11
63,63,63,63,63,63,63,63,66,Minutagem por ano,Gráfico,Presença,632,grafico_artilheiro,,8,8
64,64,64,64,64,64,64,64,67,Minutagem por passagem de técnico,Gráfico,Presença,633,grafico_tecpart,,9,8
65,65,65,65,65,65,65,65,68,Minutagem por campeonato,Gráfico,Presença,634,grafico_campeonato,,9,9
66,66,66,66,66,66,66,66,70,Distribuição de Gols,Gráfico,Gols,120,grafico_jogador,,26,25
67,67,67,67,67,67,67,67,71,Gols de jogadores por ano,Gráfico,Gols,154,grafico_jogador,,11,10
68,68,68,68,68,68,68,68,72,Gols de jogadores nos campeonatos,Gráfico,Gols,164,grafico_jogador,,14,13
69,69,69,69,69,69,69,69,73,Gols de jogadores nos estádios,Gráfico,Gols,174,grafico_jogador,,7,7
70,70,70,70,70,70,70,70,74,Gols de jogadores por adversário,Gráfico,Gols,184,grafico_jogador,,8,7
71,71,71,71,71,71,71,71,75,Distribuição Tipo de gol por ano,Gráfico,Gols,609,grafico_artilheiro,,9,8
72,72,72,72,72,72,72,72,76,Mais jogos sem sofrer gols,Gráfico,Gols,950,grafico_artilheiro,,7,7
73,73,73,73,73,73,73,73,77,Melhores média de gols sofridos,Gráfico,Gols,951,grafico_artilheiro,,4,4
74,74,74,74,74,74,74,74,78,Gols sofridos nos campeonatos,Gráfico,Gols,903,grafico_goleiro,,3,3
75,75,75,75,75,75,75,75,79,Gols sofridos nos estádios,Gráfico,Gols,902,grafico_goleiro,,7,7
76,76,76,76,76,76,76,76,80,Gols sofridos por adversário,Gráfico,Gols,900,grafico_goleiro,,4,4
77,77,77,77,77,77,77,77,81,Gols sofridos por ano,Gráfico,Gols,954,grafico_goleiro,,4,4
78,78,78,78,78,78,78,78,82,Multilinha Tipo de gol por ano,Gráfico,Gols,610,grafico_artilheiro,,7,7
79,79,79,79,79,79,79,79,83,Tipo de Gol por ano - Gráfico de Linha,Gráfico,Gols,611,grafico_artilheiro,,9,9
80,80,80,80,80,80,80,80,84,Tipo de Gol Combinado,Gráfico,Gols,626,grafico_assistencia,,8,7
81,81,81,81,81,81,81,81,147,Consistência de gols no ano,Gráfico,Gols,635,grafico_artilheiro,,9,9
82,82,82,82,82,82,82,82,86,Flu x Times do Sudeste,Gráfico,Adversario,800,grafico_artilheiro,,17,17
83,83,83,83,83,83,83,83,87,Flu x Times Internacionais,Gráfico,Adversario,801,grafico_artilheiro,,12,12
84,84,84,84,84,84,84,84,88,Flu x Times do Nordeste,Gráfico,Adversario,802,grafico_artilheiro,,4,4
85,85,85,85,85,85,85,85,89,Flu x Times do Sul,Gráfico,Adversario,803,grafico_artilheiro,,4,4
86,86,86,86,86,86,86,86,90,Flu x Times do Norte,Gráfico,Adversario,804,grafico_artilheiro,,3,3
87,87,87,87,87,87,87,87,91,Flu x Times do Centro Oeste,Gráfico,Adversario,805,grafico_artilheiro,,3,3
88,88,88,88,88,88,88,88,92,Evolução de vitórias por adversário,Gráfico,Adversario,587,grafico_evolucao,,15,13
89,89,89,89,89,89,89,89,93,Adversário - Pizza,Gráfico,Adversario,605,grafico_adversario,,15,15
90,90,90,90,90,90,90,90,94,Adversário,Gráfico,Adversario,100,grafico_adversario,,10,10
91,91,91,91,91,91,91,91,95,Gráfico por ano - Clássicos,Gráfico,Adversario,107,grafico_ano,,11,9
92,92,92,92,92,92,92,92,148,Evolução - saldo de vitórias por adversário,Gráfico,Adversario,587,grafico_evolucao,,0,0
93,93,93,93,93,93,93,93,97,Quem mais treinou,Gráfico,Tecnico,502,grafico_artilheiro,,61,55
