# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20230803
# Data de termino: 20240324
Caminho da pagina e classe da tela;Data;Contagem de eventos;Visualizacoes
/adversario;20230803;21;27
/adversario;20230804;28;29
/adversario;20230805;17;17
/adversario;20230806;22;24
/adversario;20230807;36;41
/adversario;20230808;26;30
/adversario;20230809;39;42
/adversario;20230810;56;62
/adversario;20230811;41;44
/adversario;20230812;21;26
/adversario;20230813;29;32
/adversario;20230814;1;2
/adversario;20230815;15;16
/adversario;20230816;6;8
/adversario;20230817;9;10
/adversario;20230818;14;18
/adversario;20230819;34;40
/adversario;20230820;11;12
/adversario;20230821;18;22
/adversario;20230822;26;33
/adversario;20230823;16;18
/adversario;20230824;38;40
/adversario;20230825;37;44
/adversario;20230826;68;75
/adversario;20230827;30;34
/adversario;20230828;24;26
/adversario_turno;20230828;0;5
/adversario;20230829;41;45
/adversario;20230830;27;29
/adversario;20230831;25;31
/adversario;20230901;45;49
/adversario;20230902;18;22
/adversario;20230903;28;35
/adversario;20230904;13;15
/adversario;20230905;32;37
/adversario;20230906;16;19
/adversario;20230907;20;22
/adversario;20230908;11;15
/adversario;20230909;24;28
/adversario;20230910;15;15
/adversario;20230911;31;33
/adversario;20230912;22;26
/adversario;20230913;49;51
/adversario;20230914;39;47
/adversario;20230915;40;51
/adversario_turno;20230915;0;1
/adversario;20230916;64;71
/adversario;20230917;10;11
/adversario;20230918;28;31
/adversario;20230919;58;66
/adversario;20230920;44;48
/adversario_turno;20230920;0;1
/adversario;20230921;51;54
/adversario;20230922;13;13
/adversario;20230923;18;20
/adversario;20230924;12;13
/adversario;20230925;25;34
/adversario;20230926;30;35
/adversario;20230927;33;37
/adversario;20230928;27;32
/adversario;20230929;23;29
/adversario;20230930;14;16
/adversario;20231001;10;11
/adversario;20231002;17;18
/adversario;20231003;17;18
/adversario;20231004;22;27
/adversario;20231005;58;61
/adversario;20231006;46;53
/adversario;20231007;15;21
/adversario;20231008;40;43
/adversario;20231009;26;28
/adversario;20231010;22;24
/adversario;20231011;11;15
/adversario;20231012;7;7
/adversario;20231013;3;4
/adversario;20231014;7;7
/adversario;20231015;6;6
/adversario;20231016;14;15
/adversario;20231017;13;18
/adversario;20231018;16;17
/adversario_tecadv;20231018;0;12
/adversario;20231019;19;21
/adversario;20231020;20;21
/adversario;20231021;18;21
/adversario;20231022;19;25
/adversario;20231023;16;19
/adversario;20231024;19;19
/adversario;20231025;44;51
/adversario;20231026;33;35
/adversario;20231027;60;64
/adversario;20231028;19;22
/adversario;20231029;11;14
/adversario;20231030;16;18
/adversario;20231031;22;25
/adversario;20231101;19;22
/adversario;20231102;6;8
/adversario_turno;20231102;0;1
/adversario;20231103;10;14
/adversario;20231104;20;24
/adversario;20231105;31;36
/adversario;20231106;25;29
/adversario;20231107;18;19
/adversario;20231108;44;51
/adversario;20231109;36;39
/adversario;20231110;20;25
/adversario;20231111;30;33
/adversario;20231112;12;12
/adversario;20231113;9;10
/adversario;20231114;9;10
/adversario;20231115;10;15
/adversario;20231116;7;8
/adversario;20231117;9;11
/adversario;20231118;13;17
/adversario;20231119;15;20
/adversario;20231120;10;10
/adversario;20231121;11;14
/adversario;20231122;28;34
/adversario;20231123;40;45
/adversario;20231124;28;32
/adversario;20231125;49;53
/adversario;20231126;27;28
/adversario;20231127;30;33
/adversario;20231128;22;24
/adversario;20231129;65;72
/adversario;20231130;44;47
/adversario;20231201;28;35
/adversario;20231202;13;16
/adversario;20231203;19;24
/adversario;20231204;10;10
/adversario;20231205;21;23
/adversario;20231206;44;49
/adversario;20231207;26;29
/adversario;20231208;31;34
/adversario;20231209;13;16
/adversario;20231210;10;12
/adversario;20231211;4;6
/adversario;20231212;6;6
/adversario;20231213;18;20
/adversario;20231214;23;27
/adversario;20231215;51;56
/adversario;20231216;12;15
/adversario;20231217;24;29
/adversario;20231218;41;48
/adversario;20231219;48;53
/adversario;20231220;25;28
/adversario;20231221;17;21
/adversario;20231222;16;19
/adversario;20231223;11;12
/adversario;20231224;2;2
/adversario;20231225;8;8
/adversario;20231226;4;4
/adversario;20231227;7;9
/adversario;20231228;5;5
/adversario;20231229;4;4
/adversario;20231230;2;4
/adversario;20231231;1;7
/adversario;20240101;4;4
/adversario;20240102;9;12
/adversario;20240103;2;3
/adversario;20240104;12;15
/adversario;20240105;3;5
/adversario;20240106;8;10
/adversario;20240107;11;17
/adversario;20240108;12;14
/adversario;20240109;14;15
/adversario;20240110;9;10
/adversario;20240111;16;19
/adversario;20240112;6;7
/adversario;20240113;17;20
/adversario;20240114;5;5
/adversario;20240115;15;18
/adversario;20240116;20;23
/adversario;20240117;30;40
/adversario;20240118;23;27
/adversario;20240119;9;12
/adversario;20240120;13;14
/adversario;20240121;37;42
/adversario;20240122;17;18
/adversario;20240123;8;8
/adversario;20240124;13;17
/adversario;20240125;19;24
/adversario;20240126;21;24
/adversario;20240127;6;6
/adversario;20240128;6;7
/adversario;20240129;3;2
/adversario;20240130;20;25
/adversario;20240131;19;21
/adversario;20240201;22;30
/adversario;20240202;27;29
/adversario;20240203;7;11
/adversario_turno;20240203;0;1
/adversario;20240204;22;27
/adversario;20240205;38;48
/adversario;20240206;19;27
/adversario;20240207;13;18
/adversario;20240208;25;32
/adversario;20240209;29;40
/adversario;20240210;25;36
/adversario;20240211;4;18
/adversario;20240212;2;10
/adversario;20240213;12;20
/adversario;20240214;12;15
/adversario;20240215;14;18
/adversario;20240216;34;35
/adversario;20240217;18;19
/adversario;20240218;8;12
/adversario;20240219;18;20
/adversario;20240220;11;16
/adversario;20240221;19;28
/adversario;20240222;31;59
/adversario;20240223;18;41
/adversario;20240224;10;10
/adversario;20240225;21;22
/adversario;20240226;13;18
/adversario;20240227;26;35
/adversario;20240228;22;26
/adversario;20240229;13;16
/adversario;20240301;27;35
/adversario;20240302;20;23
/adversario;20240303;25;27
