# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20230803
# Data de termino: 20240324
Caminho da pagina e classe da tela;Data;Contagem de eventos;Visualizacoes
/arbitro;20230803;11;11
/arbitro;20230804;4;6
/arbitro;20230805;10;13
/arbitro;20230806;2;3
/arbitro;20230807;5;6
/arbitro;20230808;3;4
/arbitro;20230809;1;1
/arbitro;20230810;5;6
/arbitro;20230811;4;4
/arbitro;20230812;0;1
/arbitro;20230813;6;7
/arbitro;20230814;2;3
/arbitro;20230815;2;3
/arbitro;20230817;3;3
/arbitro;20230818;6;8
/arbitro;20230819;2;4
/arbitro;20230820;3;4
/arbitro;20230821;2;4
/arbitro;20230822;0;1
/arbitro;20230823;2;3
/arbitro_todos;20230823;0;2
/arbitro;20230824;4;7
/arbitro;20230825;3;5
/arbitro;20230826;10;31
/arbitro;20230827;10;12
/arbitro;20230828;4;7
/arbitro;20230829;1;2
/arbitro;20230830;5;5
/arbitro;20230831;5;13
/arbitro;20230901;2;4
/arbitro;20230902;3;3
/arbitro;20230903;4;9
/arbitro;20230905;6;8
/arbitro;20230906;10;10
/arbitro;20230907;0;1
/arbitro;20230908;0;3
/arbitro;20230909;3;4
/arbitro;20230910;1;2
/arbitro;20230911;1;2
/arbitro;20230912;3;3
/arbitro_todos;20230912;0;12
/arbitro;20230913;0;1
/arbitro;20230914;0;3
/arbitro;20230915;5;6
/arbitro;20230916;17;23
/arbitro_todos;20230916;0;1
/arbitro;20230917;12;13
/arbitro;20230918;9;16
/arbitro_todos;20230918;0;1
/arbitro;20230919;10;13
/arbitro;20230920;1;6
/arbitro;20230921;4;5
/arbitro;20230922;19;20
/arbitro;20230923;2;4
/arbitro;20230924;1;2
/arbitro_todos;20230924;0;1
/arbitro;20230925;1;3
/arbitro;20230926;4;5
/arbitro;20230927;4;5
/arbitro;20230928;2;4
/arbitro;20230929;15;19
/arbitro;20230930;4;4
/arbitro;20231002;2;3
/arbitro;20231003;2;6
/arbitro;20231004;6;7
/arbitro;20231005;3;4
/arbitro;20231006;3;5
/arbitro;20231007;6;6
/arbitro;20231008;3;3
/arbitro;20231009;1;2
/arbitro;20231010;5;6
/arbitro;20231011;1;2
/arbitro;20231012;2;3
/arbitro;20231014;4;4
/arbitro;20231017;16;19
/arbitro;20231018;13;13
/arbitro;20231019;14;16
/arbitro;20231020;24;27
/arbitro;20231021;7;9
/arbitro;20231022;6;8
/arbitro;20231023;13;13
/arbitro_todos;20231023;0;1
/arbitro;20231024;8;9
/arbitro;20231025;83;92
/arbitro_todos;20231025;0;3
/arbitro;20231026;8;10
/arbitro_todos;20231026;0;5
/arbitro;20231027;10;12
/arbitro;20231028;14;15
/arbitro;20231029;5;6
/arbitro;20231030;2;4
/arbitro;20231031;5;7
/arbitro;20231101;3;3
/arbitro;20231102;1;2
/arbitro;20231104;3;4
/arbitro;20231105;2;3
/arbitro;20231106;1;2
/arbitro;20231107;3;5
/arbitro;20231108;4;6
/arbitro;20231109;1;2
/arbitro;20231110;9;11
/arbitro_todos;20231110;0;1
/arbitro;20231111;10;15
/arbitro;20231112;0;1
/arbitro;20231113;5;5
/arbitro;20231115;0;1
/arbitro;20231116;2;3
/arbitro;20231118;1;1
/arbitro;20231120;1;1
/arbitro;20231121;3;3
/arbitro;20231122;7;12
/arbitro;20231123;1;1
/arbitro;20231124;7;8
/arbitro;20231125;3;4
/arbitro;20231126;2;3
/arbitro;20231127;5;8
/arbitro;20231128;2;2
/arbitro;20231129;3;4
/arbitro;20231130;0;3
/arbitro;20231201;1;1
/arbitro;20231202;1;1
/arbitro;20231203;2;2
/arbitro;20231204;4;5
/arbitro;20231205;2;2
/arbitro;20231206;10;12
/arbitro;20231207;7;12
/arbitro_todos;20231207;0;1
/arbitro;20231208;4;5
/arbitro_todos;20231208;0;4
/arbitro;20231209;2;2
/arbitro;20231210;4;6
/arbitro;20231211;1;2
/arbitro;20231213;1;1
/arbitro;20231214;1;1
/arbitro;20231215;1;2
/arbitro;20231217;1;3
/arbitro;20231218;0;3
/arbitro;20231219;3;4
/arbitro;20231220;1;2
/arbitro;20231221;2;4
/arbitro;20231222;1;1
/arbitro;20231223;1;1
/arbitro;20231225;0;1
/arbitro;20231226;1;3
/arbitro;20231227;2;2
/arbitro;20231228;0;2
/arbitro;20231230;0;1
/arbitro;20231231;1;1
/arbitro;20240101;0;1
/arbitro;20240102;0;1
/arbitro;20240104;0;1
/arbitro;20240105;0;1
/arbitro;20240107;0;1
/arbitro;20240108;1;2
/arbitro;20240110;1;1
/arbitro;20240111;0;1
/arbitro;20240112;0;1
/arbitro;20240113;1;1
/arbitro;20240114;1;2
/arbitro;20240116;4;4
/arbitro;20240117;3;4
/arbitro;20240118;1;2
/arbitro;20240119;2;3
/arbitro;20240120;3;3
/arbitro;20240121;6;9
/arbitro;20240122;3;4
/arbitro;20240123;0;4
/arbitro;20240124;2;3
/arbitro;20240125;3;4
