# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20230803
# Data de termino: 20240324
Caminho da pagina e classe da tela;Data;Contagem de eventos;Visualizacoes
/campeonato;20230803;14;19
/campeonato;20230804;5;6
/campeonato;20230805;2;2
/campeonato;20230806;33;37
/campeonato;20230807;19;22
/campeonato;20230808;8;12
/campeonato;20230809;17;18
/campeonato;20230810;13;16
/campeonato;20230811;6;6
/campeonato;20230812;11;12
/campeonato;20230813;4;5
/campeonato;20230814;17;22
/campeonato_cartao;20230814;0;4
/campeonato;20230815;8;9
/campeonato;20230816;6;9
/campeonato;20230817;7;8
/campeonato;20230818;2;2
/campeonato;20230820;8;11
/campeonato;20230821;21;22
/campeonato;20230822;7;7
/campeonato;20230823;12;12
/campeonato;20230824;14;18
/campeonato;20230825;34;36
/campeonato;20230826;28;33
/campeonato;20230827;15;21
/campeonato;20230828;5;11
/campeonato;20230829;11;14
/campeonato;20230830;19;21
/campeonato;20230831;17;17
/campeonato;20230901;19;22
/campeonato;20230902;5;6
/campeonato;20230903;3;8
/campeonato;20230904;7;10
/campeonato;20230905;9;13
/campeonato;20230906;16;19
/campeonato;20230907;7;9
/campeonato;20230908;5;7
/campeonato;20230909;8;8
/campeonato;20230910;1;1
/campeonato;20230911;13;16
/campeonato;20230912;3;5
/campeonato;20230913;1;2
/campeonato;20230914;6;9
/campeonato;20230915;3;5
/campeonato;20230916;7;9
/campeonato;20230917;3;3
/campeonato;20230918;5;6
/campeonato;20230919;5;5
/campeonato;20230920;5;6
/campeonato;20230921;3;4
/campeonato;20230922;3;4
/campeonato;20230923;10;11
/campeonato;20230924;11;15
/campeonato;20230925;11;15
/campeonato;20230926;12;14
/campeonato;20230927;7;13
/campeonato;20230928;16;18
/campeonato;20230929;12;18
/campeonato;20230930;16;17
/campeonato;20231001;22;22
/campeonato;20231002;4;4
/campeonato;20231003;13;16
/campeonato;20231004;14;15
/campeonato;20231005;15;18
/campeonato;20231006;16;22
/campeonato;20231007;7;10
/campeonato;20231008;6;9
/campeonato;20231009;0;4
/campeonato;20231010;5;6
/campeonato;20231011;3;6
/campeonato;20231012;8;8
/campeonato;20231013;8;11
/campeonato;20231014;10;13
/campeonato;20231015;2;3
/campeonato;20231016;2;4
/campeonato;20231017;3;6
/campeonato;20231018;6;7
/campeonato;20231019;12;15
/campeonato;20231020;1;2
/campeonato;20231021;2;2
/campeonato;20231022;3;7
/campeonato;20231023;11;11
/campeonato;20231024;1;1
/campeonato;20231025;5;6
/campeonato;20231026;7;13
/campeonato;20231027;3;3
/campeonato;20231028;9;11
/campeonato;20231029;15;17
/campeonato;20231030;7;7
/campeonato;20231031;3;6
/campeonato;20231101;7;8
/campeonato;20231102;9;9
/campeonato;20231103;10;10
/campeonato;20231104;22;24
/campeonato;20231105;21;26
/campeonato;20231106;8;13
/campeonato;20231107;25;32
/campeonato;20231108;8;14
/campeonato;20231109;11;15
/campeonato;20231110;20;25
/campeonato_arbestado;20231110;0;1
/campeonato;20231111;8;10
/campeonato;20231112;6;8
/campeonato;20231113;14;17
/campeonato;20231114;6;10
/campeonato;20231115;14;22
/campeonato;20231116;10;10
/campeonato;20231117;15;19
/campeonato;20231118;9;11
/campeonato;20231119;5;8
/campeonato;20231120;12;14
/campeonato;20231121;10;13
/campeonato;20231122;5;8
/campeonato;20231123;11;13
/campeonato;20231124;6;12
/campeonato_cartao;20231124;0;11
/campeonato;20231125;12;13
/campeonato;20231126;7;11
/campeonato;20231127;14;16
/campeonato;20231128;8;9
/campeonato;20231129;5;14
/campeonato;20231130;11;12
/campeonato;20231201;6;8
/campeonato;20231202;10;11
/campeonato;20231203;6;7
/campeonato;20231204;7;9
/campeonato;20231205;19;24
/campeonato;20231206;7;10
/campeonato;20231207;13;24
/campeonato;20231208;12;12
/campeonato;20231209;6;8
