# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240304
# Data de termino: 20240428
Caminho da pagina e classe da tela;Data;Contagem de eventos;Visualizacoes
/adversario;20240428;11;19
/arbitro;20240428;7;10
/campeonato;20240428;7;9
/estadio;20240428;14;33
/jogador;20240428;11;21
/tecnico;20240428;5;6
/adversario;20240427;13;17
/arbitro;20240427;5;6
/campeonato;20240427;6;6
/estadio;20240427;6;7
/jogador;20240427;17;24
/tecnico;20240427;3;3
/adversario;20240426;30;30
/arbitro;20240426;4;4
/campeonato;20240426;9;10
/estadio;20240426;3;3
/jogador;20240426;28;30
/tecnico;20240426;4;4
/adversario;20240425;33;35
/arbitro;20240425;9;11
/campeonato;20240425;6;7
/estadio;20240425;7;9
/jogador;20240425;25;32
/tecnico;20240425;2;3
/adversario;20240424;10;11
/arbitro;20240424;3;7
/campeonato;20240424;4;5
/estadio;20240424;3;3
/jogador;20240424;50;60
/tecnico;20240424;6;6
/adversario;20240423;13;19
/arbitro;20240423;9;9
/campeonato;20240423;5;10
/estadio;20240423;5;6
/jogador;20240423;24;35
/tecnico;20240423;1;3
/adversario;20240422;14;14
/arbitro;20240422;9;14
/campeonato;20240422;4;5
/estadio;20240422;0;1
/jogador;20240422;20;29
/tecnico;20240422;1;1
/adversario;20240421;25;29
/arbitro;20240421;1;2
/campeonato;20240421;11;18
/estadio;20240421;1;1
/jogador;20240421;74;93
/tecnico;20240421;4;5
/adversario;20240420;25;28
/arbitro;20240420;1;2
/campeonato;20240420;5;8
/estadio;20240420;5;5
/jogador;20240420;28;38
/tecnico;20240420;1;2
/adversario;20240419;13;14
/arbitro;20240419;4;4
/campeonato;20240419;2;5
/estadio;20240419;3;3
/jogador;20240419;15;26
/tecnico;20240419;3;3
/adversario;20240418;15;19
/arbitro;20240418;4;4
/campeonato;20240418;4;6
/estadio;20240418;0;2
/jogador;20240418;10;24
/adversario;20240417;42;45
/arbitro;20240417;2;2
/campeonato;20240417;7;9
/estadio;20240417;1;3
/jogador;20240417;8;9
/tecnico;20240417;1;1
/adversario;20240416;12;16
/arbitro;20240416;5;6
/campeonato;20240416;3;5
/estadio;20240416;3;3
/jogador;20240416;29;39
/tecnico;20240416;3;6
/adversario;20240415;12;15
/arbitro;20240415;6;10
/campeonato;20240415;11;11
/jogador;20240415;20;22
/tecnico;20240415;1;1
/adversario;20240414;12;13
/arbitro;20240414;3;4
/campeonato;20240414;1;1
/jogador;20240414;32;42
/tecnico;20240414;4;6
/adversario;20240413;5;6
/arbitro;20240413;6;8
/campeonato;20240413;4;5
/estadio;20240413;0;1
/jogador;20240413;29;40
/tecnico;20240413;1;2
/adversario;20240412;10;11
/arbitro;20240412;0;1
/campeonato;20240412;20;25
/jogador;20240412;20;28
/tecnico;20240412;5;5
/adversario;20240411;8;8
