# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20230803
# Data de termino: 20240324
Caminho da pagina e classe da tela;Data;Contagem de eventos;Visualizacoes
/tecnico;20230803;9;12
/tecnico;20230804;1;1
/tecnico;20230805;2;2
/tecnico;20230807;25;25
/tecnico;20230808;3;4
/tecnico;20230809;4;4
/tecnico;20230810;3;5
/tecnico;20230811;2;4
/tecnico;20230812;3;4
/tecnico;20230813;8;11
/tecnico;20230814;5;7
/tecnico;20230815;13;15
/tecnico;20230817;4;4
/tecnico;20230819;4;7
/tecnico;20230820;2;4
/tecnico;20230821;4;9
/tecnico;20230822;6;6
/tecnico;20230823;2;4
/tecnico;20230824;2;4
/tecnico;20230825;5;5
/tecnico;20230826;2;2
/tecnico;20230827;2;4
/tecnico;20230828;5;5
/tecnico;20230829;0;1
/tecnico;20230830;5;9
/tecnico;20230831;10;12
/tecnico;20230901;6;10
/tecnico;20230902;5;6
/tecnico;20230903;2;3
/tecnico;20230904;3;3
/tecnico;20230905;2;2
/tecnico;20230906;3;4
/tecnico;20230907;1;2
/tecnico;20230908;1;2
/tecnico;20230909;2;2
/tecnico;20230910;3;3
/tecnico;20230911;4;5
/tecnico;20230912;3;3
/tecnico;20230913;2;2
/tecnico;20230914;1;3
/tecnico;20230915;3;6
/tecnico;20230916;4;7
/tecnico;20230917;3;3
/tecnico;20230918;2;2
/tecnico;20230919;1;1
/tecnico;20230920;3;3
/tecnico;20230921;3;3
/tecnico;20230922;2;3
/tecnico;20230923;1;1
/tecnico;20230925;3;6
/tecnico;20230926;7;8
/tecnico;20230928;2;4
/tecnico;20230929;3;3
/tecnico;20230930;2;2
/tecnico;20231002;2;3
/tecnico;20231003;31;32
/tecnico;20231004;3;5
/tecnico;20231005;8;10
/tecnico;20231006;1;3
/tecnico;20231007;3;6
/tecnico;20231008;3;7
/tecnico;20231009;3;4
/tecnico;20231010;2;4
/tecnico;20231011;0;1
/tecnico;20231012;1;1
/tecnico;20231013;1;3
/tecnico;20231014;1;1
/tecnico;20231016;1;1
/tecnico;20231017;3;3
/tecnico;20231018;1;3
/tecnico;20231019;3;4
/tecnico;20231020;2;2
/tecnico;20231021;0;1
/tecnico;20231022;1;1
/tecnico;20231023;2;2
/tecnico;20231025;2;4
/tecnico;20231026;2;3
/tecnico;20231027;4;4
/tecnico;20231028;1;3
/tecnico;20231029;3;4
/tecnico;20231030;0;1
/tecnico;20231031;4;4
/tecnico;20231101;2;2
/tecnico;20231102;2;3
/tecnico;20231103;2;3
/tecnico;20231104;2;2
/tecnico;20231105;6;7
/tecnico;20231106;3;4
/tecnico;20231107;14;17
/tecnico;20231108;2;3
/tecnico;20231109;5;7
/tecnico;20231110;5;7
/tecnico;20231111;2;6
/tecnico;20231112;3;3
/tecnico;20231113;40;43
/tecnico;20231114;2;3
/tecnico;20231115;1;4
/tecnico;20231117;2;4
/tecnico;20231118;4;5
/tecnico;20231119;2;4
/tecnico;20231120;4;4
/tecnico;20231121;2;2
/tecnico;20231122;1;1
/tecnico;20231123;6;11
/tecnico;20231124;1;1
/tecnico;20231125;2;2
/tecnico;20231126;3;3
/tecnico;20231127;2;2
/tecnico;20231129;6;7
/tecnico;20231130;6;10
/tecnico;20231201;6;7
/tecnico;20231202;2;2
/tecnico;20231204;1;2
/tecnico;20231205;3;4
/tecnico;20231206;2;2
/tecnico;20231207;3;4
/tecnico;20231208;2;3
/tecnico;20231209;3;3
/tecnico;20231210;1;2
/tecnico;20231211;1;2
/tecnico;20231212;2;4
/tecnico;20231213;3;3
/tecnico;20231214;1;1
/tecnico;20231215;0;1
/tecnico;20231216;1;1
/tecnico;20231217;2;2
/tecnico;20231218;2;4
/tecnico;20231219;1;3
/tecnico;20231220;1;1
/tecnico;20231221;6;11
/tecnico;20231222;6;8
/tecnico;20231223;3;6
/tecnico;20231226;19;20
/tecnico;20231227;3;4
/tecnico;20231229;0;1
/tecnico;20240101;1;3
/tecnico;20240102;0;2
/tecnico;20240103;1;1
/tecnico;20240104;5;5
/tecnico;20240105;3;3
/tecnico;20240106;10;11
/tecnico;20240107;8;10
/tecnico;20240108;0;3
/tecnico;20240109;1;1
/tecnico;20240110;3;3
/tecnico;20240111;2;2
/tecnico;20240112;2;2
/tecnico;20240113;4;5
/tecnico;20240114;4;4
/tecnico;20240115;1;1
/tecnico;20240116;2;2
/tecnico;20240117;3;5
/tecnico;20240118;5;5
/tecnico;20240119;7;8
/tecnico;20240120;1;2
/tecnico;20240121;8;9
/tecnico;20240122;3;3
/tecnico;20240123;9;10
/tecnico;20240124;1;1
/tecnico;20240125;4;6
/tecnico;20240126;9;9
/tecnico;20240127;3;5
/tecnico;20240128;1;2
/tecnico;20240130;2;3
/tecnico;20240131;8;12
/tecnico;20240201;1;3
/tecnico;20240202;4;7
/tecnico;20240203;1;2
/tecnico;20240204;1;2
/tecnico;20240205;3;4
/tecnico;20240206;3;5
/tecnico;20240207;3;4
/tecnico;20240208;1;4
/tecnico;20240209;3;5
/tecnico;20240210;1;1
/tecnico;20240212;1;1
/tecnico;20240214;2;2
/tecnico;20240215;2;3
/tecnico;20240217;2;3
/tecnico;20240218;2;3
/tecnico;20240219;7;9
