# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240101
# Data de termino: 20240108
Cidade;Data;Usuarios;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Conversoes;Receita total
Rio de Janeiro;20240108;88;67;88;0.7719298245614035;1;92.80681818181819;1324;0;0
Rio de Janeiro;20240104;42;22;43;0.7413793103448276;1.0238095238095237;83.85714285714286;942;0;0
Rio de Janeiro;20240105;30;16;28;0.6829268292682927;0.9333333333333333;91.73333333333333;849;0;0
Rio de Janeiro;20240106;29;19;27;0.7297297297297297;0.9310344827586207;51.3448275862069;341;0;0
Rio de Janeiro;20240107;28;16;29;0.7631578947368421;1.0357142857142858;113.92857142857143;727;0;0
Rio de Janeiro;20240101;25;15;31;0.775;1.24;159.2;1164;0;0
Rio de Janeiro;20240102;25;12;34;0.8095238095238095;1.36;202.68;707;0;0
Rio de Janeiro;20240103;25;13;32;0.7804878048780488;1.28;187.92;770;0;0
(not set);20240103;11;11;8;0.6666666666666666;0.7272727272727273;34.90909090909091;77;0;0
(not set);20240104;10;10;6;0.5454545454545454;0.6;37;74;0;0
(not set);20240105;9;9;5;0.5;0.5555555555555556;78.66666666666667;96;0;0
(not set);20240108;8;8;6;0.75;0.75;25.5;58;0;0
(not set);20240102;7;6;4;0.5;0.5714285714285714;37.857142857142854;46;0;0
Niteroi;20240108;7;4;5;0.625;0.7142857142857143;42;47;0;0
Sao Paulo;20240102;7;7;5;0.625;0.7142857142857143;31.285714285714285;48;0;0
(not set);20240101;6;6;6;1;1;14.166666666666666;106;0;0
Brasilia;20240107;6;3;5;0.7142857142857143;0.8333333333333334;115.5;61;0;0
Sao Paulo;20240104;6;4;3;0.5;0.5;36.5;39;0;0
Sao Paulo;20240107;6;5;5;0.7142857142857143;0.8333333333333334;53.666666666666664;71;0;0
Brasilia;20240108;5;4;5;1;1;28;41;0;0
Sao Paulo;20240103;5;5;2;0.3333333333333333;0.4;17;30;0;0
Sao Paulo;20240108;5;5;4;0.8;0.8;20.2;24;0;0
(not set);20240107;4;4;3;0.42857142857142855;0.75;33.75;47;0;0
Brasilia;20240101;4;2;3;0.6;0.75;19.25;28;0;0
Brasilia;20240102;4;2;4;0.5714285714285714;1;18;48;0;0
Sao Paulo;20240105;4;3;4;1;1;52.5;64;0;0
(not set);20240106;3;3;2;0.6666666666666666;0.6666666666666666;16.666666666666668;17;0;0
Belo Horizonte;20240108;3;2;3;1;1;27;12;0;0
Brasilia;20240103;3;2;6;1;2;606.6666666666666;63;0;0
Brasilia;20240104;3;1;4;0.5714285714285714;1.3333333333333333;32.333333333333336;32;0;0
Brasilia;20240106;3;1;3;0.6;1;24.333333333333332;31;0;0
Curitiba;20240106;3;3;2;0.6666666666666666;0.6666666666666666;20.666666666666668;15;0;0
Fortaleza;20240108;3;3;3;1;1;46.666666666666664;22;0;0
Goiania;20240104;3;3;4;0.6666666666666666;1.3333333333333333;12.666666666666666;33;0;0
Niteroi;20240106;3;0;5;1;1.6666666666666667;206.66666666666666;95;0;0
Porto Alegre;20240104;3;3;2;0.5;0.6666666666666666;136;40;0;0
Sao Paulo;20240106;3;3;2;0.5;0.6666666666666666;15.666666666666666;22;0;0
Araruama;20240108;2;2;1;0.5;0.5;51;17;0;0
Belem;20240106;2;0;4;0.8;2;569.5;205;0;0
Belford Roxo;20240108;2;2;1;0.5;0.5;9;10;0;0
Belo Horizonte;20240106;2;2;1;0.5;0.5;10;14;0;0
Brasilia;20240105;2;0;2;1;1;15.5;23;0;0
Cabo Frio;20240103;2;2;1;0.3333333333333333;0.5;28.5;17;0;0
Cabo Frio;20240107;2;2;2;1;1;44;34;0;0
Campos dos Goytacazes;20240108;2;2;2;1;1;13.5;10;0;0
Feira de Santana;20240106;2;1;1;0.5;0.5;562.5;202;0;0
Fortaleza;20240104;2;2;2;1;1;20.5;13;0;0
Fortaleza;20240107;2;1;1;0.5;0.5;13;13;0;0
Goiania;20240103;2;0;2;1;1;109;95;0;0
Goiania;20240108;2;2;0;0;0;2;8;0;0
Iguaba Grande;20240101;2;0;3;1;1.5;171;98;0;0
Iguaba Grande;20240102;2;0;1;0.25;0.5;5;19;0;0
Itajai;20240108;2;2;2;1;1;26.5;12;0;0
Joao Pessoa;20240102;2;1;1;0.5;0.5;7;12;0;0
Joao Pessoa;20240103;2;1;2;1;1;83.5;27;0;0
Joao Pessoa;20240105;2;0;3;0.6;1.5;84;58;0;0
Joao Pessoa;20240108;2;1;2;1;1;48.5;41;0;0
Juiz de Fora;20240106;2;1;3;0.6;1.5;363;341;0;0
Juiz de Fora;20240108;2;1;2;0.6666666666666666;1;8.5;16;0;0
Maceio;20240106;2;2;1;0.3333333333333333;0.5;0;9;0;0
Manaus;20240105;2;1;1;0.5;0.5;229;29;0;0
Maringa;20240108;2;2;2;0.6666666666666666;1;21.5;14;0;0
Natal;20240107;2;1;1;0.5;0.5;85;6;0;0
Niteroi;20240105;2;2;1;0.5;0.5;45;9;0;0
Niteroi;20240107;2;1;2;0.6666666666666666;1;215.5;50;0;0
Nova Iguacu;20240107;2;2;1;0.5;0.5;10.5;10;0;0
Petropolis;20240104;2;0;2;1;1;39;31;0;0
Petropolis;20240105;2;0;2;1;1;107.5;51;0;0
Petropolis;20240107;2;2;1;0.5;0.5;6.5;8;0;0
Petropolis;20240108;2;2;2;1;1;23.5;10;0;0
Recife;20240108;2;2;2;1;1;33;10;0;0
