Cidade;Data;Usuarios;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Conversoes;Receita total
Rio de Janeiro;20230919;52;21;54;0.7105263157894737;10.384.615.384.615.300;13.980.769.230.769.200;1610;0;0
Rio de Janeiro;20230921;48;14;63;0.8289473684210527;13.125;3.591.666.666.666.660;3662;0;0
Rio de Janeiro;20230918;38;19;40;0.7272727272727273;10.526.315.789.473.600;12.297.368.421.052.600;1112;0;0
Rio de Janeiro;20230920;38;16;38;0.7307692307692307;1;16.128.947.368.421.000;1087;0;0
Rio de Janeiro;20230922;27;11;31;0.7045454545454546;11.481.481.481.481.400;16.962.962.962.962.900;1085;0;0
Rio de Janeiro;20230923;23;11;28;0.875;12.173.913.043.478.200;27.882.608.695.652.100;1339;0;0
Rio de Janeiro;20230924;13;3;18;0.8181818181818182;13.846.153.846.153.800;5.710.769.230.769.230;2182;0;0
Sao Paulo;20230921;9;6;8;0.8;0.8888888888888888;41;91;0;0
Sao Paulo;20230924;9;8;9;0.9;1;7.266.666.666.666.660;153;0;0
(not set);20230922;8;4;7;0.6363636363636364;0.875;205;218;0;0
(not set);20230923;7;5;6;0.8571428571428571;0.8571428571428571;15.242.857.142.857.100;181;0;0
Sao Paulo;20230919;7;4;8;0.8888888888888888;11.428.571.428.571.400;5.857.142.857.142.850;83;0;0
Sao Paulo;20230923;7;5;6;0.6666666666666666;0.8571428571428571;12.785.714.285.714.200;126;0;0
(not set);20230919;6;6;6;0.75;1;87.5;117;0;0
Brasilia;20230918;6;4;5;0.7142857142857143;0.8333333333333334;6.583.333.333.333.330;96;0;0
Brasilia;20230920;6;2;7;0.875;11.666.666.666.666.600;17.966.666.666.666.600;116;0;0
Sao Paulo;20230918;6;5;4;0.6666666666666666;0.6666666666666666;79.5;95;0;0
(not set);20230918;5;4;2;0.3333333333333333;0.4;18.4;38;0;0
(not set);20230920;5;5;4;0.6666666666666666;0.8;46.2;43;0;0
(not set);20230924;5;5;3;0.6;0.6;48;65;0;0
Brasilia;20230922;5;0;6;0.75;1.2;152.8;172;0;0
Sao Paulo;20230920;5;3;5;1;1;32.2;29;0;0
Sao Paulo;20230922;5;3;4;0.8;0.8;62.2;57;0;0
(not set);20230921;4;3;4;0.6666666666666666;1;74.5;108;0;0
Brasilia;20230923;4;1;6;0.6666666666666666;1.5;261.25;80;0;0
Brasilia;20230924;4;3;4;0.6666666666666666;1;118.25;78;0;0
Niteroi;20230921;4;2;4;1;1;103.25;57;0;0
Petropolis;20230920;4;2;4;1;1;177.75;116;0;0
Belem;20230918;3;2;1;0.3333333333333333;0.3333333333333333;78;60;0;0
Brasilia;20230921;3;1;4;0.5714285714285714;13.333.333.333.333.300;52.666.666.666.666.600;65;0;0
Goiania;20230919;3;2;2;0.4;0.6666666666666666;20;31;0;0
Juiz de Fora;20230921;3;0;3;0.75;1;8.166.666.666.666.660;128;0;0
Niteroi;20230918;3;0;3;0.6;1;11.066.666.666.666.600;67;0;0
Niteroi;20230919;3;3;3;1;1;8.566.666.666.666.660;60;0;0
Niteroi;20230920;3;2;2;0.5;0.6666666666666666;199;33;0;0
Petropolis;20230918;3;0;3;1;1;19.233.333.333.333.300;43;0;0
Petropolis;20230919;3;2;3;0.75;1;2.663.333.333.333.330;172;0;0
Recife;20230918;3;2;2;0.6666666666666666;0.6666666666666666;47.666.666.666.666.600;30;0;0
Aracaju;20230919;2;2;1;0.5;0.5;88;20;0;0
Araraquara;20230924;2;1;1;0.5;0.5;42.5;12;0;0
Belo Horizonte;20230922;2;2;1;0.5;0.5;33;33;0;0
Blumenau;20230923;2;2;1;0.5;0.5;322.5;161;0;0
Brasilia;20230919;2;0;3;0.75;1.5;48.5;39;0;0
Chiyoda City;20230919;2;2;0;0;0;2.5;9;0;0
Contagem;20230920;2;2;2;1;1;57;18;0;0
Curitiba;20230924;2;2;1;0.5;0.5;15;15;0;0
Duque de Caxias;20230920;2;1;3;1;1.5;58.5;96;0;0
Juiz de Fora;20230920;2;1;3;1;1.5;91;48;0;0
Manaus;20230918;2;1;3;1;1.5;537.5;122;0;0
Manaus;20230921;2;1;4;0.8;2;217.5;99;0;0
Manaus;20230923;2;2;1;0.5;0.5;8.5;8;0;0
Niteroi;20230922;2;1;2;1;1;83.5;26;0;0
Petropolis;20230921;2;0;2;0.6666666666666666;1;19;34;0;0
Recife;20230924;2;1;2;1;1;86;8;0;0
Rio das Ostras;20230922;2;1;2;1;1;322;76;0;0
Salvador;20230918;2;2;2;1;1;55.5;16;0;0
Salvador;20230919;2;1;1;0.5;0.5;7.5;12;0;0
Sao Goncalo;20230918;2;1;1;0.5;0.5;70;17;0;0
Sao Goncalo;20230919;2;1;1;0.25;0.5;0.5;12;0;0
Sao Goncalo;20230924;2;1;2;1;1;414.5;35;0;0
Sete Lagoas;20230922;2;2;1;0.5;0.5;534;81;0;0
Uba;20230921;2;2;3;1;1.5;645.5;192;0;0
Vila Velha;20230922;2;1;2;1;1;100.5;42;0;0
Vitoria;20230922;2;1;2;1;1;54.5;22;0;0
Abaetetuba;20230919;1;1;1;1;1;18;5;0;0
Agudos;20230918;1;1;0;0;0;0;4;0;0
