# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20230803
# Data de termino: 20230918
Cidade;Data;Usuarios;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Conversoes;Receita total
Rio de Janeiro;20230810;70;50;78;0.8125;1.1142857142857143;175.55714285714285;2828;0;0
Rio de Janeiro;20230915;69;30;89;0.8240740740740741;1.289855072463768;233.47826086956522;3688;0;0
Rio de Janeiro;20230901;65;27;74;0.7115384615384616;1.1384615384615384;194.36923076923077;2975;0;0
Rio de Janeiro;20230809;60;38;61;0.8133333333333334;1.0166666666666666;140.85;1860;0;0
Rio de Janeiro;20230826;59;33;65;0.7738095238095238;1.1016949152542372;204.03389830508473;2359;0;0
Rio de Janeiro;20230808;50;34;51;0.6986301369863014;1.02;264.9;2489;0;0
Rio de Janeiro;20230823;50;25;55;0.7971014492753623;1.1;184.84;2396;0;0
Rio de Janeiro;20230825;50;21;62;0.8157894736842105;1.24;323.28;3593;0;0
Rio de Janeiro;20230807;49;30;56;0.8;1.1428571428571428;202.89795918367346;2362;0;0
Rio de Janeiro;20230820;46;23;54;0.782608695652174;1.173913043478261;264.9347826086956;1894;0;0
Rio de Janeiro;20230830;46;22;53;0.8412698412698413;1.1521739130434783;305.7173913043478;2644;0;0
Rio de Janeiro;20230831;46;23;55;0.8088235294117647;1.1956521739130435;185.97826086956522;1915;0;0
Rio de Janeiro;20230813;45;29;43;0.6935483870967742;0.9555555555555556;194.73333333333332;1834;0;0
Rio de Janeiro;20230806;44;30;53;0.803030303030303;1.2045454545454546;273.6363636363636;3034;0;0
Rio de Janeiro;20230914;44;15;49;0.7777777777777778;1.1136363636363635;239.88636363636363;2140;0;0
Rio de Janeiro;20230819;43;21;51;0.7727272727272727;1.186046511627907;137.62790697674419;1029;0;0
Rio de Janeiro;20230916;43;28;51;0.796875;1.186046511627907;141.62790697674419;1416;0;0
Rio de Janeiro;20230824;41;24;42;0.7924528301886793;1.024390243902439;106.02439024390245;1218;0;0
Rio de Janeiro;20230811;40;19;51;0.864406779661017;1.275;193.675;2619;0;0
Rio de Janeiro;20230827;39;19;45;0.7758620689655172;1.1538461538461537;240.56410256410257;2269;0;0
Rio de Janeiro;20230918;38;19;40;0.7272727272727273;1.0526315789473684;122.97368421052632;1112;0;0
Rio de Janeiro;20230805;37;31;45;0.8181818181818182;1.2162162162162162;105.4054054054054;747;0;0
Rio de Janeiro;20230903;37;17;42;0.7241379310344828;1.135135135135135;172.21621621621622;1786;0;0
Rio de Janeiro;20230913;37;17;36;0.7659574468085106;0.972972972972973;114.21621621621621;919;0;0
Rio de Janeiro;20230804;36;25;40;0.7017543859649122;1.1111111111111112;209.94444444444446;1226;0;0
Rio de Janeiro;20230905;36;16;45;0.7894736842105263;1.25;238.41666666666666;1539;0;0
Rio de Janeiro;20230906;36;21;37;0.8043478260869565;1.0277777777777777;137.55555555555554;1500;0;0
Rio de Janeiro;20230812;35;18;43;0.7413793103448276;1.2285714285714286;215.6;2025;0;0
Rio de Janeiro;20230828;35;14;43;0.7678571428571429;1.2285714285714286;432.85714285714283;4308;0;0
Rio de Janeiro;20230912;35;19;32;0.6037735849056604;0.9142857142857143;195.5142857142857;1172;0;0
Rio de Janeiro;20230814;34;13;49;0.8032786885245902;1.4411764705882353;275.1764705882353;2382;0;0
Rio de Janeiro;20230821;34;13;40;0.6666666666666666;1.1764705882352942;235.23529411764707;1765;0;0
Rio de Janeiro;20230907;34;18;34;0.7555555555555555;1;131.52941176470588;637;0;0
Rio de Janeiro;20230822;33;17;36;0.8181818181818182;1.0909090909090908;114.12121212121212;725;0;0
Rio de Janeiro;20230818;32;10;38;0.7755102040816326;1.1875;176.90625;963;0;0
Rio de Janeiro;20230902;31;11;41;0.7735849056603774;1.3225806451612903;133.1290322580645;1258;0;0
Rio de Janeiro;20230815;30;17;31;0.6739130434782609;1.0333333333333334;116.03333333333333;900;0;0
Rio de Janeiro;20230817;30;13;32;0.7441860465116279;1.0666666666666667;90.13333333333334;655;0;0
Rio de Janeiro;20230829;30;13;31;0.7560975609756098;1.0333333333333334;108.1;892;0;0
