# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240527
# Data de termino: 20240602
Cidade;Data;Usuarios;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Eventos principais;Taxa de eventos principais do usuario;Receita total
Rio de Janeiro;20240527;51;22;50;0.704225352112676;0.9803921568627451;239.9607843137255;3266;0;0;0
Rio de Janeiro;20240529;48;21;53;0.6708860759493671;1.1041666666666667;119.64583333333333;1031;0;0;0
Rio de Janeiro;20240531;46;12;54;0.7012987012987013;1.173913043478261;307.4347826086956;2148;0;0;0
Rio de Janeiro;20240601;44;24;48;0.7619047619047619;1.0909090909090908;67.20454545454545;609;0;0;0
Rio de Janeiro;20240530;38;15;45;0.8035714285714286;1.1842105263157894;209.6315789473684;997;0;0;0
Rio de Janeiro;20240528;37;12;44;0.7096774193548387;1.1891891891891893;238.72972972972974;1962;0;0;0
Rio de Janeiro;20240602;35;17;39;0.8666666666666667;1.1142857142857143;101.71428571428571;592;0;0;0
Sao Paulo;20240530;13;10;10;0.7692307692307693;0.7692307692307693;105.38461538461539;178;0;0;0
(not set);20240529;9;7;5;0.5555555555555556;0.5555555555555556;16.555555555555557;45;0;0;0
(not set);20240527;8;7;4;0.5;0.5;58.125;45;0;0;0
(not set);20240528;8;7;6;0.5;0.75;25.75;44;0;0;0
Niteroi;20240530;8;4;8;0.8888888888888888;1;183.375;212;0;0;0
Sao Paulo;20240529;8;8;7;0.7777777777777778;0.875;94;61;0;0;0
(not set);20240602;7;6;3;0.42857142857142855;0.42857142857142855;9.142857142857142;25;0;0;0
Niteroi;20240531;7;2;6;0.6666666666666666;0.8571428571428571;61.857142857142854;72;0;0;0
Sao Paulo;20240527;7;5;6;0.75;0.8571428571428571;134.14285714285714;84;0;0;0
(not set);20240531;6;4;2;0.3333333333333333;0.3333333333333333;51.333333333333336;37;0;0;0
(not set);20240601;6;5;4;0.5714285714285714;0.6666666666666666;15.333333333333334;30;0;0;0
Sao Paulo;20240601;6;4;5;0.7142857142857143;0.8333333333333334;76.83333333333333;56;0;0;0
Brasilia;20240530;5;4;5;1;1;74.4;66;0;0;0
Brasilia;20240531;5;3;5;1;1;95.6;100;0;0;0
Niteroi;20240528;5;1;7;0.875;1.4;78;68;0;0;0
Niteroi;20240602;5;2;5;0.8333333333333334;1;86.2;47;0;0;0
Sao Paulo;20240528;5;5;3;0.6;0.6;30.2;27;0;0;0
Sao Paulo;20240531;5;5;4;0.8;0.8;97;116;0;0;0
Sao Paulo;20240602;5;5;4;0.8;0.8;11.6;20;0;0;0
(not set);20240530;4;3;3;0.75;0.75;135.5;81;0;0;0
Brasilia;20240528;4;0;7;0.7777777777777778;1.75;194.25;163;0;0;0
Niteroi;20240527;4;2;4;0.6666666666666666;1;63.5;44;0;0;0
Brasilia;20240527;3;1;3;0.5;1;484.6666666666667;138;0;0;0
Brasilia;20240602;3;1;4;0.8;1.3333333333333333;209;94;0;0;0
Fortaleza;20240529;3;2;2;0.6666666666666666;0.6666666666666666;126;38;0;0;0
Goiania;20240530;3;1;3;0.6;1;31.333333333333332;31;0;0;0
Manaus;20240528;3;3;2;0.6666666666666666;0.6666666666666666;50.333333333333336;21;0;0;0
Niteroi;20240529;3;2;3;0.75;1;87.33333333333333;68;0;0;0
Niteroi;20240601;3;0;3;1;1;317;127;0;0;0
Salvador;20240530;3;3;3;1;1;38.333333333333336;21;0;0;0
Vitoria;20240528;3;0;3;1;1;55.333333333333336;23;0;0;0
Belem;20240527;2;0;2;1;1;472;123;0;0;0
Belo Horizonte;20240530;2;2;1;0.5;0.5;53.5;27;0;0;0
Belo Horizonte;20240531;2;2;2;1;1;23.5;13;0;0;0
Brasilia;20240529;2;0;2;1;1;304.5;44;0;0;0
