# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240429
# Data de termino: 20240505
Cidade;Data;Usuarios;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Eventos principais;Receita total
Rio de Janeiro;20240504;66;38;59;0.7283950617283951;0.8939393939393939;99.39393939393939;1271;0;0
Rio de Janeiro;20240503;45;20;56;0.7088607594936709;1.2444444444444445;140.2888888888889;1322;0;0
Rio de Janeiro;20240430;44;16;49;0.765625;1.1136363636363635;135.97727272727272;1308;0;0
Rio de Janeiro;20240501;42;22;44;0.8;1.0476190476190477;171.02380952380952;951;0;0
Rio de Janeiro;20240502;34;10;45;0.7377049180327869;1.3235294117647058;182.08823529411765;1098;0;0
Rio de Janeiro;20240429;32;17;31;0.6458333333333334;0.96875;175.03125;1010;0;0
Rio de Janeiro;20240505;24;14;21;0.525;0.875;130.45833333333334;531;0;0
Niteroi;20240501;13;5;12;0.7058823529411765;0.9230769230769231;72.23076923076923;176;0;0
Sao Paulo;20240502;12;9;13;0.9285714285714286;1.0833333333333333;124.58333333333333;199;0;0
(not set);20240504;11;7;13;0.9285714285714286;1.1818181818181819;63.09090909090909;117;0;0
Sao Paulo;20240504;11;10;6;0.5454545454545454;0.5454545454545454;45.72727272727273;58;0;0
(not set);20240501;9;5;8;0.6666666666666666;0.8888888888888888;72.55555555555556;88;0;0
Niteroi;20240430;9;4;9;1;1;240.77777777777777;89;0;0
Vitoria;20240501;9;9;3;0.3333333333333333;0.3333333333333333;25.88888888888889;35;0;0
(not set);20240505;8;3;9;0.8181818181818182;1.125;130.875;169;0;0
Manaus;20240501;8;8;7;0.875;0.875;70.125;43;0;0
Niteroi;20240504;8;4;10;0.8333333333333334;1.25;75.75;122;0;0
Sao Paulo;20240501;8;8;6;0.6666666666666666;0.75;32.125;52;0;0
(not set);20240429;6;6;5;0.8333333333333334;0.8333333333333334;59.666666666666664;71;0;0
(not set);20240503;6;4;4;0.5714285714285714;0.6666666666666666;112.5;117;0;0
Belo Horizonte;20240504;6;4;3;0.375;0.5;4.333333333333333;23;0;0
Brasilia;20240504;6;1;6;1;1;226.83333333333334;274;0;0
Cachoeiro de Itapemirim;20240501;6;6;0;0;0;0;18;0;0
Niteroi;20240429;6;1;6;1;1;135;55;0;0
Manaus;20240429;5;4;7;1;1.4;300.4;166;0;0
Niteroi;20240505;5;3;5;0.8333333333333334;1;62.6;58;0;0
Sao Paulo;20240429;5;4;3;0.6;0.6;78.2;45;0;0
(not set);20240430;4;3;3;0.75;0.75;23;25;0;0
Brasilia;20240429;4;1;4;0.5714285714285714;1;123.5;79;0;0
Brasilia;20240430;4;2;3;0.75;0.75;280.75;53;0;0
Brasilia;20240501;4;2;3;0.75;0.75;193.5;68;0;0
Manaus;20240430;4;2;7;1;1.75;191.25;108;0;0
Niteroi;20240502;4;1;2;0.5;0.5;20.25;25;0;0
Niteroi;20240503;4;0;4;0.8;1;318.75;72;0;0
Sao Joao de Meriti;20240501;4;4;2;0.5;0.5;52.75;21;0;0
Vila Velha;20240501;4;3;2;0.5;0.5;78;59;0;0
Ashburn;20240429;3;3;0;0;0;0;9;0;0
Belem;20240504;3;3;5;1;1.6666666666666667;994;437;0;0
Brasilia;20240502;3;0;3;1;1;159;120;0;0
Cachoeiro de Itapemirim;20240429;3;3;0;0;0;0;9;0;0
Campinas;20240503;3;3;4;1;1.3333333333333333;78;24;0;0
Duque de Caxias;20240501;3;2;4;0.8;1.3333333333333333;84.33333333333333;99;0;0
Manaus;20240502;3;2;3;1;1;55;53;0;0
New York;20240430;3;3;0;0;0;0;9;0;0
Nova Iguacu;20240504;3;3;3;0.75;1;136.66666666666666;74;0;0
Salvador;20240501;3;3;3;1;1;147.33333333333334;56;0;0
Sao Paulo;20240503;3;2;3;0.75;1;41.333333333333336;31;0;0
Sao Paulo;20240505;3;2;3;1;1;25;12;0;0
(not set);20240502;2;2;1;0.5;0.5;15.5;9;0;0
Anapolis;20240501;2;2;2;1;1;380;65;0;0
Barra do Pirai;20240501;2;1;2;1;1;6.5;12;0;0
Belem;20240429;2;2;2;1;1;80.5;34;0;0
Belem;20240505;2;2;1;0.5;0.5;16.5;8;0;0
Belo Horizonte;20240430;2;2;0;0;0;3;7;0;0
