# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240122
# Data de termino: 20240128
Grupo principal de canais do primeiro usuario (Agrupamento de canais padrao);Data;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Conversoes;Receita total
Organic Search;20240124;45;41;0.6949152542372882;0.803921568627451;98.3921568627451;729;0;0
Organic Search;20240125;44;41;0.7068965517241379;0.7884615384615384;67.57692307692308;571;0;0
Organic Search;20240127;35;35;0.7446808510638298;0.8333333333333334;47.166666666666664;418;0;0
Organic Search;20240122;28;36;0.8;0.972972972972973;204.72972972972974;1002;0;0
Organic Search;20240123;28;30;0.6976744186046512;0.8333333333333334;129.55555555555554;662;0;0
Organic Search;20240126;25;41;0.7321428571428571;1.0512820512820513;229.17948717948718;1410;0;0
Organic Search;20240128;16;17;0.5862068965517241;0.7727272727272727;161;544;0;0
Direct;20240124;14;43;0.6615384615384615;1.075;106;919;0;0
Direct;20240122;11;43;0.7413793103448276;1.2285714285714286;155.9142857142857;1351;0;0
Direct;20240127;11;32;0.6808510638297872;1.1428571428571428;148.92857142857142;773;0;0
Direct;20240125;10;60;0.75;1.3043478260869565;156.08695652173913;1754;0;0
Direct;20240123;9;31;0.62;1.1071428571428572;110.96428571428571;896;0;0
Direct;20240126;9;45;0.7377049180327869;1.1842105263157894;151;932;0;0
Organic Social;20240123;9;6;0.6666666666666666;0.6666666666666666;66;84;0;0
Organic Social;20240122;2;1;0.5;0.5;124;39;0;0
Direct;20240128;1;17;0.68;1.1333333333333333;80.53333333333333;502;0;0
Organic Social;20240125;1;1;0.5;1;102;13;0;0
Referral;20240123;1;6;1;2;7958.333333333333;980;0;0
Referral;20240124;1;6;0.8571428571428571;2;10273;798;0;0
Referral;20240126;1;3;1;1;1830.6666666666667;124;0;0
Organic Social;20240126;0;1;0.5;1;37;13;0;0
Referral;20240122;0;4;1;2;9809.5;2477;0;0
Referral;20240125;0;6;1;2;1017.3333333333334;1793;0;0
