# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240527
# Data de termino: 20240602
Grupo principal de canais do primeiro usuario (Agrupamento de canais padrao);Data;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Eventos principais;Receita total;Taxa de eventos principais do usuario
Organic Search;20240529;63;55;0.6790123456790124;0.7432432432432432;41.12162162162162;475;0;0;0
Organic Search;20240601;53;63;0.7682926829268293;0.9;171.4;1037;0;0;0
Organic Search;20240602;53;60;0.8333333333333334;0.8695652173913043;72.42028985507247;689;0;0;0
Organic Search;20240527;45;54;0.782608695652174;0.8709677419354839;126.7741935483871;1270;0;0;0
Organic Search;20240530;42;51;0.8095238095238095;0.9107142857142857;146.66071428571428;1075;0;0;0
Organic Search;20240528;40;38;0.6909090909090909;0.7755102040816326;97.83673469387755;722;0;0;0
Organic Search;20240531;37;61;0.7721518987341772;0.953125;185.265625;1232;0;0;0
Direct;20240530;20;59;0.7375;1.18;403.54;1836;0;0;0
Direct;20240527;16;53;0.6708860759493671;1.1041666666666667;419.6041666666667;3163;0;0;0
Direct;20240529;13;58;0.7160493827160493;1.3488372093023255;235.30232558139534;1398;0;0;0
Direct;20240528;11;62;0.6966292134831461;1.3191489361702127;302.27659574468083;2519;0;0;0
Direct;20240601;11;47;0.6811594202898551;1.2702702702702702;230;1449;0;0;0
Direct;20240531;8;52;0.6341463414634146;1.3;569.225;2877;0;0;0
Direct;20240602;8;38;0.6909090909090909;1.2666666666666666;356.93333333333334;1268;0;0;0
Referral;20240529;2;2;0.6666666666666666;0.6666666666666666;144;48;0;0;0
Referral;20240531;1;4;0.6666666666666666;1.3333333333333333;879.6666666666666;444;0;0;0
Referral;20240602;1;1;1;1;26;4;0;0;0
Organic Social;20240527;0;1;0.5;1;146;37;0;0;0
Referral;20240527;0;1;0.5;1;404;57;0;0;0
