# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20231127
# Data de termino: 20231203
Grupo de canais padrao do primeiro usuario;Data;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Conversoes;Receita total
Organic Search;20231129;59;57;0.7215189873417721;0.8142857142857143;98.41428571428571;891;0;0
Organic Search;20231130;51;70;0.7692307692307693;0.9459459459459459;133.0810810810811;1622;0;0
Organic Search;20231203;50;58;0.8055555555555556;0.9354838709677419;83.1774193548387;961;0;0
Organic Search;20231201;47;53;0.803030303030303;0.8412698412698413;148.6984126984127;1360;0;0
Organic Search;20231128;44;56;0.835820895522388;0.9655172413793104;147.58620689655172;1239;0;0
Organic Search;20231127;43;48;0.7741935483870968;0.8571428571428571;121.875;986;0;0
Organic Search;20231202;33;38;0.7307692307692307;0.9047619047619048;177.5952380952381;1278;0;0
Direct;20231129;19;86;0.7818181818181819;1.2112676056338028;158.09859154929578;2509;0;0
Direct;20231201;17;41;0.7454545454545455;0.9318181818181818;150.4090909090909;1682;0;0
Direct;20231130;15;52;0.6753246753246753;1.1304347826086956;180.91304347826087;1866;0;0
Direct;20231127;13;67;0.788235294117647;1.2407407407407407;211.3148148148148;2478;0;0
Direct;20231203;13;48;0.6666666666666666;1.0434782608695652;99.04347826086956;2434;0;0
Direct;20231202;11;35;0.6140350877192983;0.9722222222222222;267.55555555555554;1531;0;0
Direct;20231128;8;52;0.7761194029850746;1.2380952380952381;147.47619047619048;1273;0;0
Referral;20231127;2;2;1;1;334.5;133;0;0
Referral;20231130;2;2;1;1;394;97;0;0
Referral;20231128;1;1;1;1;147;34;0;0
Referral;20231129;1;1;1;1;39;19;0;0
Referral;20231201;1;1;0.5;1;77;17;0;0
Referral;20231203;1;2;1;1;739.5;99;0;0
Referral;20231202;0;1;1;1;181;22;0;0
