# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240429
# Data de termino: 20240505
Grupo principal de canais do primeiro usuario (Agrupamento de canais padrao);Data;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Eventos principais;Receita total
Organic Search;20240501;76;80;0.8080808080808081;0.9195402298850575;76.40229885057471;955;0;0
Organic Search;20240504;72;79;0.7314814814814815;0.8586956521739131;139.5326086956522;1688;0;0
Organic Search;20240430;44;52;0.7878787878787878;0.9285714285714286;141.46428571428572;1014;0;0
Organic Search;20240502;41;58;0.8529411764705882;0.9508196721311475;86.42622950819673;779;0;0
Direct;20240501;39;69;0.6388888888888888;0.9452054794520548;191.35616438356163;1741;0;0
Organic Search;20240429;37;47;0.7966101694915254;0.9791666666666666;184.5;1075;0;0
Organic Search;20240505;36;36;0.6206896551724138;0.782608695652174;53.67391304347826;416;0;0
Organic Search;20240503;34;38;0.6333333333333333;0.8260869565217391;57.43478260869565;512;0;0
Direct;20240504;31;70;0.7070707070707071;1.0606060606060606;144.57575757575756;1617;0;0
Direct;20240429;23;49;0.6282051282051282;0.9607843137254902;279.62745098039215;2049;0;0
Direct;20240430;16;54;0.6585365853658537;1.125;231.83333333333334;1695;0;0
Direct;20240503;14;66;0.75;1.346938775510204;229.42857142857142;1722;0;0
Direct;20240502;8;64;0.7710843373493976;1.4545454545454546;429.3636363636364;1822;0;0
Direct;20240505;6;32;0.6808510638297872;1.1428571428571428;227.89285714285714;994;0;0
Referral;20240505;2;0;0;0;4.5;9;0;0
Organic Social;20240501;1;0;0;0;0;3;0;0
Referral;20240501;1;3;0.75;1.5;203;63;0;0
Referral;20240502;1;1;0.5;0.5;3.5;9;0;0
Organic Social;20240504;0;1;0.5;1;103;27;0;0
Referral;20240430;0;2;1;1;753.5;18;0;0
Referral;20240504;0;1;1;1;33;16;0;0
