# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240506
# Data de termino: 20240512
Caminho da pagina e classe da tela;Data;Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Eventos principais;Receita total
/adversario;20240506;15;11;0;92.86666666666666;0;0
/jogador;20240512;15;12;1;82;0;0
/adversario;20240509;18;12;0;71.38888888888889;0;0
/adversario;20240511;5;3;0;71.2;0;0
/adversario;20240512;13;13;0;67.84615384615384;0;0
/arbitro;20240506;3;3;0;46.666666666666664;0;0
/arbitro;20240512;8;8;0;40.25;0;0
/arbitro;20240510;5;5;0;39.4;0;0
/estadio;20240507;2;2;0;36;0;0
/adversario;20240510;15;14;0;33.13333333333333;0;0
/arbitro;20240509;9;7;0;29.444444444444443;0;0
/jogador;20240507;22;20;0;27.90909090909091;0;0
/campeonato;20240506;9;6;0;27.333333333333332;0;0
/jogador;20240510;32;22;1;27.0625;0;0
/campeonato;20240507;8;6;0;26.125;0;0
/campeonato;20240508;5;4;0;25.4;0;0
/estadio;20240511;1;1;0;25;0;0
/jogador;20240506;15;14;1;25;0;0
/arbitro;20240507;3;3;1;23.666666666666668;0;0
/jogador;20240509;28;18;2;21.714285714285715;0;0
/jogador;20240511;32;22;0;20.6875;0;0
/campeonato;20240510;17;15;0;18.41176470588235;0;0
/campeonato;20240509;9;8;0;17.666666666666668;0;0
/adversario;20240508;8;7;0;16.75;0;0
/tecnico;20240510;6;6;0;16.166666666666668;0;0
/jogador;20240508;16;11;1;15.375;0;0
/campeonato;20240511;7;6;0;15.285714285714286;0;0
/estadio;20240508;1;1;0;12;0;0
/campeonato;20240512;5;5;0;11.4;0;0
/estadio;20240506;1;1;0;10;0;0
/estadio;20240510;4;3;0;9.5;0;0
/tecnico;20240509;5;4;0;9.4;0;0
/tecnico;20240512;1;1;0;9;0;0
/arbitro;20240511;3;3;0;6;0;0
/arbitro;20240508;4;4;0;5;0;0
/tecnico;20240508;1;1;0;5;0;0
/estadio;20240512;5;5;0;4.4;0;0
/tecnico;20240507;3;3;0;4.333333333333333;0;0
/tecnico;20240511;4;4;0;3.75;0;0
/adversario;20240507;5;4;0;3;0;0
/estadio;20240509;1;0;0;0;0;0
