# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240527
# Data de termino: 20240602
Caminho da pagina e classe da tela;Data;Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Eventos principais;Receita total;Taxa de eventos principais da sessao
/adversario;20240528;10;10;0;47.1;0;0;0
/tecnico;20240602;5;5;0;44.2;0;0;0
/campeonato;20240531;18;17;0;42.666666666666664;0;0;0
/estadio;20240530;3;3;0;42;0;0;0
/adversario;20240531;19;18;1;41.473684210526315;0;0;0
/jogador;20240527;25;17;1;35.2;0;0;0
/estadio;20240528;2;2;0;32;0;0;0
/campeonato;20240528;9;9;0;30.555555555555557;0;0;0
/adversario;20240530;9;9;0;28.333333333333332;0;0;0
/jogador;20240528;21;17;0;28.285714285714285;0;0;0
/campeonato;20240602;6;6;0;26.333333333333332;0;0;0
/adversario;20240602;13;13;0;26.076923076923077;0;0;0
/jogador;20240601;24;18;0;25.333333333333332;0;0;0
/tecnico;20240601;4;4;1;23.5;0;0;0
/jogador;20240531;31;21;0;21.64516129032258;0;0;0
/tecnico;20240529;5;5;0;20.8;0;0;0
/campeonato;20240601;3;2;0;20.666666666666668;0;0;0
/jogador;20240530;28;23;1;19.142857142857142;0;0;0
/jogador;20240602;11;8;2;18.454545454545453;0;0;0
/adversario;20240601;13;13;0;18.076923076923077;0;0;0
/adversario;20240527;12;12;1;17.333333333333332;0;0;0
/adversario;20240529;10;10;0;17.2;0;0;0
/estadio;20240529;4;4;0;15.75;0;0;0
/campeonato;20240527;12;11;0;15.416666666666666;0;0;0
/campeonato;20240529;12;11;0;15;0;0;0
/tecnico;20240527;8;8;0;14.75;0;0;0
/tecnico;20240530;5;4;0;14.4;0;0;0
/jogador;20240529;19;16;0;13.105263157894736;0;0;0
/arbitro;20240531;3;3;1;11.333333333333334;0;0;0
/campeonato;20240530;9;9;0;10.777777777777779;0;0;0
/estadio;20240531;2;2;0;10.5;0;0;0
/estadio;20240527;2;2;0;9;0;0;0
/arbitro;20240601;5;5;0;8.4;0;0;0
/arbitro;20240529;11;9;1;8.181818181818182;0;0;0
/arbitro;20240527;2;2;0;6.5;0;0;0
/arbitro;20240530;5;5;2;6;0;0;0
/tecnico;20240528;3;3;0;6;0;0;0
/tecnico;20240531;3;3;0;5.333333333333333;0;0;0
/arbitro;20240528;2;2;0;5;0;0;0
