# ----------------------------------------;;;;;;;
# Exportacao do CSV de relatorio;;;;;;;
# Conta: Rodrigo_fluzao;;;;;;;
# Propriedade: RodrigoFlu;;;;;;;
# ----------------------------------------;;;;;;;
# ;;;;;;;
# Todos os usuarios;;;;;;;
# Data de inicio: 20230803;;;;;;;
# Data de termino: 20240305;;;;;;;
Titulo da pagina e nome da tela;Data;Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Conversoes;Receita total
Estatisticas Fluminense - Principal;20230803;48;42;34;24.166.666.666.666.600;0;0
Estatisticas Fluminense - Principal;20230804;63;54;39;6.365.079.365.079.360;0;0
Estatisticas Fluminense - Principal;20230805;57;53;42;57.894.736.842.105.200;0;0
Estatisticas Fluminense - Principal;20230806;76;60;39;6.144.736.842.105.260;0;0
Estatisticas Fluminense - Principal;20230807;87;71;39;8.931.034.482.758.620;0;0
Estatisticas Fluminense - Principal;20230808;88;71;46;6.340.909.090.909.090;0;0
Estatisticas Fluminense - Principal;20230809;104;85;44;4.951.923.076.923.070;0;0
Estatisticas Fluminense - Principal;20230810;86;61;30;5.441.860.465.116.270;0;0
Estatisticas Fluminense - Principal;20230811;79;66;34;5.949.367.088.607.590;0;0
Estatisticas Fluminense - Principal;20230812;54;40;20;5.722.222.222.222.220;0;0
Estatisticas Fluminense - Principal;20230813;64;53;26;5.671.875;0;0
Estatisticas Fluminense - Principal;20230814;60;44;20;5.6;0;0
Estatisticas Fluminense - Principal;20230815;51;42;22;7.607.843.137.254.900;0;0
Estatisticas Fluminense - Principal;20230816;37;29;9;10;0;0
Estatisticas Fluminense - Principal;20230817;50;40;17;4.84;0;0
Estatisticas Fluminense - Principal;20230818;53;43;17;7.867.924.528.301.880;0;0
Estatisticas Fluminense - Principal;20230819;85;69;39;7.741.176.470.588.230;0;0
Estatisticas Fluminense - Principal;20230820;77;59;26;15.077.922.077.922.000;0;0
Estatisticas Fluminense - Principal;20230821;56;48;19;4.982.142.857.142.850;0;0
Estatisticas Fluminense - Principal;20230822;50;43;21;3.9;0;0
Estatisticas Fluminense - Principal;20230823;76;65;30;49.868.421.052.631.500;0;0
Estatisticas Fluminense - Principal;20230824;96;84;42;6.697.916.666.666.660;0;0
Estatisticas Fluminense - Principal;20230825;120;91;34;11.758.333.333.333.300;0;0
Estatisticas Fluminense - Principal;20230826;102;90;53;5.549.019.607.843.130;0;0
Estatisticas Fluminense - Principal;20230827;72;65;29;5.277.777.777.777.770;0;0
Estatisticas Fluminense - Principal;20230828;66;58;15;6.257.575.757.575.750;0;0
Estatisticas Fluminense - Principal;20230829;51;46;20;11.568.627.450.980.300;0;0
Estatisticas Fluminense - Principal;20230830;69;60;25;846.376.811.594.203;0;0
Estatisticas Fluminense - Principal;20230831;108;91;51;7.675.925.925.925.920;0;0
Estatisticas Fluminense - Principal;20230901;122;98;41;6.131.147.540.983.600;0;0
Estatisticas Fluminense - Principal;20230902;65;52;14;10.215.384.615.384.600;0;0
Estatisticas Fluminense - Principal;20230903;93;76;33;6.860.215.053.763.440;0;0
Estatisticas Fluminense - Principal;20230904;60;51;16;9.55;0;0
Estatisticas Fluminense - Principal;20230905;69;56;22;6.826.086.956.521.730;0;0
Estatisticas Fluminense - Principal;20230906;66;53;18;5.651.515.151.515.150;0;0
Estatisticas Fluminense - Principal;20230907;46;37;13;5.543.478.260.869.560;0;0
Estatisticas Fluminense - Principal;20230908;49;40;11;73.061.224.489.795.900;0;0
Estatisticas Fluminense - Principal;20230909;39;32;17;37.948.717.948.717.900;0;0
Estatisticas Fluminense - Principal;20230910;34;28;10;7.882.352.941.176.470;0;0
Estatisticas Fluminense - Principal;20230911;53;43;10;12.452.830.188.679.200;0;0
Estatisticas Fluminense - Principal;20230912;55;49;19;69.818.181.818.181.800;0;0
Estatisticas Fluminense - Principal;20230913;51;46;19;596.078.431.372.549;0;0
Estatisticas Fluminense - Principal;20230914;84;64;27;10.630.952.380.952.300;0;0
Estatisticas Fluminense - Principal;20230915;126;101;44;7.587.301.587.301.580;0;0
Estatisticas Fluminense - Principal;20230916;92;76;44;6.032.608.695.652.170;0;0
Estatisticas Fluminense - Principal;20230917;48;40;17;4.729.166.666.666.660;0;0
Estatisticas Fluminense - Principal;20230918;70;58;26;6.6;0;0
Estatisticas Fluminense - Principal;20230919;94;76;31;824.468.085.106.383;0;0
Estatisticas Fluminense - Principal;20230920;85;68;28;7.823.529.411.764.700;0;0
Estatisticas Fluminense - Principal;20230921;105;81;27;6.819.047.619.047.610;0;0
Estatisticas Fluminense - Principal;20230922;57;50;17;4.684.210.526.315.780;0;0
Estatisticas Fluminense - Principal;20230923;62;46;23;5.080.645.161.290.320;0;0
Estatisticas Fluminense - Principal;20230924;34;25;14;5.235.294.117.647.050;0;0
Estatisticas Fluminense - Principal;20230925;62;49;19;10.225.806.451.612.900;0;0
Estatisticas Fluminense - Principal;20230926;82;62;26;5.378.048.780.487.800;0;0
Estatisticas Fluminense - Principal;20230927;103;92;50;6.233.009.708.737.860;0;0
Estatisticas Fluminense - Principal;20230928;103;87;28;5.912.621.359.223.300;0;0
Estatisticas Fluminense - Principal;20230929;61;51;16;5.442.622.950.819.670;0;0
Estatisticas Fluminense - Principal;20230930;61;51;17;4.311.475.409.836.060;0;0
Estatisticas Fluminense - Principal;20231001;39;32;15;7.512.820.512.820.510;0;0
Estatisticas Fluminense - Principal;20231002;47;39;12;4.808.510.638.297.870;0;0
Estatisticas Fluminense - Principal;20231003;68;57;22;6.838.235.294.117.640;0;0
Estatisticas Fluminense - Principal;20231004;65;58;32;66.923.076.923.076.900;0;0
Estatisticas Fluminense - Principal;20231005;131;117;49;7.648.854.961.832.060;0;0
Estatisticas Fluminense - Principal;20231006;102;83;38;7.911.764.705.882.350;0;0
Estatisticas Fluminense - Principal;20231007;49;43;18;7.428.571.428.571.420;0;0
Estatisticas Fluminense - Principal;20231008;63;55;22;6.301.587.301.587.300;0;0
Estatisticas Fluminense - Principal;20231009;64;56;19;6.328.125;0;0
Estatisticas Fluminense - Principal;20231010;37;30;10;61.891.891.891.891.800;0;0
Estatisticas Fluminense - Principal;20231011;43;34;9;572.093.023.255.814;0;0
Estatisticas Fluminense - Principal;20231012;42;32;7;69.523.809.523.809.500;0;0
Estatisticas Fluminense - Principal;20231013;41;31;13;7.585.365.853.658.530;0;0
Estatisticas Fluminense - Principal;20231014;51;41;20;5.313.725.490.196.070;0;0
Estatisticas Fluminense - Principal;20231015;29;25;9;7.379.310.344.827.580;0;0
