Caminho da pagina e classe da tela;Data;Sessoes;Usuarios;Novos usuarios
/;20230901;122;98;41
/;20230825;120;91;34
/;20230831;108;91;51
/;20230826;102;90;53
/;20230824;96;84;42
/;20230903;93;76;33
/;20230819;85;69;39
/;20230820;77;59;26
/;20230823;76;65;30
/;20230827;72;65;29
/;20230830;69;60;25
/;20230905;69;56;22
/;20230828;66;58;15
/;20230906;66;53;18
/;20230902;65;52;14
/;20230814;60;44;20
/;20230904;60;51;16
/;20230821;56;48;19
/;20230818;53;43;17
/;20230815;51;42;22
/;20230829;51;46;20
/;20230817;50;40;17
/;20230822;50;43;21
/;20230908;49;40;11
/;20230907;46;37;13
/mostra_jogador;20230901;45;36;0
/jogador;20230901;43;38;1
/especial;20230825;41;31;0
/mostra_jogador;20230821;41;26;0
/;20230909;39;32;17
/mostra_adversario;20230901;39;32;0
/especial;20230901;38;30;0
/;20230816;37;29;9
/adversario;20230901;36;34;0
/adversario;20230825;35;29;0
/;20230910;34;28;10
/arbitro;20230826;33;26;0
/especial;20230820;33;22;0
/mostra_adversario;20230825;33;28;0
/mostra_adversario;20230824;32;28;0
/mostra_adversario;20230903;32;22;0
/mostra_jogador;20230820;32;22;1
/adversario;20230824;31;29;0
/especial;20230819;31;24;0
/especial;20230903;31;24;0
/jogador;20230820;31;25;2
/jogador;20230821;31;27;1
/jogador;20230825;31;27;1
/mostra_adversario;20230831;30;21;0
/adversario;20230831;29;25;1
/consulta_especial_jogador;20230901;29;25;0
/especial;20230831;29;25;0
/mostra_adversario;20230826;29;23;1
/mostra_jogador;20230827;29;24;0
/adversario;20230826;28;25;0
/adversario;20230903;28;23;2
/jogador;20230831;28;25;0
/mostra_adversario;20230819;28;20;0
/adversario;20230819;27;23;1
/adversario;20230827;27;26;2
/jogador;20230827;27;27;0
/jogador;20230907;27;22;2
/mostra_adversario;20230827;27;25;0
/mostra_jogador;20230817;27;21;0
/mostra_jogador;20230825;27;22;0
/especial;20230902;26;19;0
/jogador;20230817;26;22;0
/jogador;20230819;26;23;1
