# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20230821
# Data de termino: 20230917
Caminho da pagina e classe da tela;Data;Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Conversoes;Receita total
/;20230915;126;101;44;7.587301587301587;0;0
/;20230901;122;98;41;6.131147540983607;0;0
/;20230825;120;91;34;11.758333333333333;0;0
/;20230831;108;91;51;7.675925925925926;0;0
/;20230826;102;90;53;5.549019607843137;0;0
/;20230824;96;84;42;6.697916666666667;0;0
/;20230903;93;76;33;6.860215053763441;0;0
/;20230916;92;76;44;6.032608695652174;0;0
/;20230914;84;64;27;10.630952380952381;0;0
/;20230823;76;65;30;4.9868421052631575;0;0
/;20230827;72;65;29;5.277777777777778;0;0
/;20230830;69;60;25;8.46376811594203;0;0
/;20230905;69;56;22;6.826086956521739;0;0
/;20230828;66;58;15;6.257575757575758;0;0
/;20230906;66;53;18;5.651515151515151;0;0
/;20230902;65;52;14;10.215384615384615;0;0
/;20230904;60;51;16;9.55;0;0
/;20230821;56;48;19;4.982142857142857;0;0
/;20230912;55;49;19;6.9818181818181815;0;0
/;20230911;53;43;10;12.452830188679245;0;0
/;20230829;51;46;20;11.568627450980392;0;0
/;20230913;51;46;19;5.96078431372549;0;0
/;20230822;50;43;21;3.9;0;0
/;20230908;49;40;11;7.3061224489795915;0;0
/;20230917;48;40;17;4.729166666666667;0;0
/;20230907;46;37;13;5.543478260869565;0;0
/jogador;20230915;46;36;0;32.108695652173914;0;0
/mostra_jogador;20230901;45;36;0;43.977777777777774;0;0
/jogador;20230901;43;38;1;21.697674418604652;0;0
/adversario;20230915;41;36;0;28.463414634146343;0;0
/especial;20230825;41;31;0;13.21951219512195;0;0
/mostra_jogador;20230821;41;26;0;32.21951219512195;0;0
/mostra_jogador;20230915;41;32;0;76.85365853658537;0;0
/;20230909;39;32;17;3.7948717948717947;0;0
/mostra_adversario;20230901;39;32;0;55.76923076923077;0;0
/especial;20230901;38;30;0;9.131578947368421;0;0
/adversario;20230901;36;34;0;22.75;0;0
/adversario;20230916;36;33;2;27.11111111111111;0;0
/adversario;20230825;35;29;0;29.257142857142856;0;0
/especial;20230915;35;24;0;6.314285714285714;0;0
/mostra_adversario;20230915;35;32;0;79.94285714285714;0;0
/;20230910;34;28;10;7.882352941176471;0;0
/arbitro;20230826;33;26;0;15.212121212121213;0;0
/mostra_adversario;20230825;33;28;0;48.36363636363637;0;0
/mostra_adversario;20230824;32;28;0;33.5;0;0
/mostra_adversario;20230903;32;22;0;42.0625;0;0
/adversario;20230824;31;29;0;19.774193548387096;0;0
/especial;20230903;31;24;0;8.516129032258064;0;0
/jogador;20230821;31;27;1;17.225806451612904;0;0
/jogador;20230825;31;27;1;25.677419354838708;0;0
/mostra_adversario;20230916;31;26;0;52.58064516129032;0;0
/jogador;20230916;30;24;1;44.13333333333333;0;0
/mostra_adversario;20230831;30;21;0;34;0;0
/adversario;20230831;29;25;1;16.413793103448278;0;0
/consulta_especial_jogador;20230901;29;25;0;41.172413793103445;0;0
/especial;20230831;29;25;0;6.655172413793103;0;0
