# ----------------------------------------
# Exportação do CSV de relatório
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuários
# Data de início: 20230724
# Data de término: 20230820
Caminho da página e classe da tela;Data;Sessões;Usuários;Novos usuários;Tempo de engajamento médio por sessão;Conversões;Receita total
/;20230809;104;85;44;4.951923076923077;0;0
/;20230808;88;71;46;6.340909090909091;0;0
/;20230807;87;71;39;8.931034482758621;0;0
/;20230810;86;61;30;5.441860465116279;0;0
/;20230819;85;69;39;7.741176470588235;0;0
/;20230811;79;66;34;5.949367088607595;0;0
/;20230820;77;59;26;15.025974025974026;0;0
/;20230806;76;60;39;6.144736842105263;0;0
/;20230813;64;53;26;5.671875;0;0
/;20230804;63;54;39;6.365079365079365;0;0
/;20230814;60;44;20;5.6;0;0
/;20230805;57;53;42;5.7894736842105265;0;0
/;20230812;54;40;20;5.722222222222222;0;0
/;20230818;53;43;17;7.867924528301887;0;0
/;20230815;51;42;22;7.607843137254902;0;0
/;20230817;50;40;17;4.9;0;0
/mostra_adversario;20230811;49;38;0;48.714285714285715;0;0
/;20230803;48;42;34;24.166666666666668;0;0
/link_jogador/628;20230810;41;37;36;39.073170731707314;0;0
/adversario;20230811;39;37;2;18.17948717948718;0;0
/;20230816;37;29;9;10;0;0
/especial;20230810;33;24;0;6.9393939393939394;0;0
/especial;20230820;33;22;0;9.757575757575758;0;0
/adversario;20230807;32;29;0;24.65625;0;0
/mostra_jogador;20230820;32;22;1;56.4375;0;0
/adversario;20230810;31;27;0;20.93548387096774;0;0
/especial;20230809;31;24;0;12.903225806451612;0;0
/especial;20230819;31;24;0;4.193548387096774;0;0
/jogador;20230820;31;25;2;20.032258064516128;0;0
/mostra_adversario;20230807;30;26;0;67.13333333333334;0;0
/mostra_jogador;20230806;30;21;0;49.233333333333334;0;0
/mostra_jogador;20230807;30;22;0;72.5;0;0
/;20230802;28;26;25;4.321428571428571;0;0
/adversario;20230808;28;24;0;79.82142857142857;0;0
/jogador;20230807;28;23;2;23.821428571428573;0;0
/mostra_adversario;20230808;28;21;0;83.82142857142857;0;0
/mostra_adversario;20230819;28;20;0;61.214285714285715;0;0
/adversario;20230819;27;23;1;19.296296296296298;0;0
/mostra_adversario;20230810;27;21;0;40.55555555555556;0;0
/mostra_adversario;20230813;27;20;1;136.62962962962962;0;0
/mostra_jogador;20230817;27;21;0;47;0;0
/adversario;20230809;26;23;0;23.692307692307693;0;0
/especial;20230806;26;18;0;6.5;0;0
/jogador;20230817;26;22;0;25.307692307692307;0;0
/jogador;20230819;26;23;1;16.96153846153846;0;0
/mostra_adversario;20230804;26;20;0;118.46153846153847;0;0
/especial;20230814;25;15;0;11.36;0;0
/jogador;20230806;25;20;0;26.92;0;0
/especial;20230807;24;21;0;11.541666666666666;0;0
/especial;20230808;24;20;0;7.708333333333333;0;0
/especial;20230811;24;19;0;5.708333333333333;0;0
/jogador;20230809;24;24;0;25.041666666666668;0;0
/jogador;20230810;24;20;2;27.625;0;0
/mostra_adversario;20230806;23;21;0;80.1304347826087;0;0
/adversario;20230812;22;22;2;49.13636363636363;0;0
/adversario;20230813;22;19;0;51;0;0
/mostra_adversario;20230809;22;19;0;56.95454545454545;0;0
