# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20230807
# Data de termino: 20230903
Titulo da pagina e nome da tela;Data;Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Conversoes;Receita total
Estatisticas Fluminense - Principal;20230901;122;98;41;6.131147540983607;0;0
Estatisticas Fluminense - Principal;20230825;120;91;34;11.758333333333333;0;0
Estatisticas Fluminense - Principal;20230831;108;91;51;7.675925925925926;0;0
Estatisticas Fluminense - Principal;20230809;104;85;44;4.951923076923077;0;0
Estatisticas Fluminense - Principal;20230826;102;90;53;5.549019607843137;0;0
Estatisticas Fluminense - Principal;20230824;96;84;42;6.697916666666667;0;0
Estatisticas Fluminense - Principal;20230903;93;76;33;6.860215053763441;0;0
Estatisticas Fluminense - Principal;20230808;88;71;46;6.340909090909091;0;0
Estatisticas Fluminense - Principal;20230807;87;71;39;8.931034482758621;0;0
Estatisticas Fluminense - Principal;20230810;86;61;30;5.441860465116279;0;0
Estatisticas Fluminense - Principal;20230819;85;69;39;7.741176470588235;0;0
Estatisticas Fluminense - Principal;20230811;79;66;34;5.949367088607595;0;0
Estatisticas Fluminense - Principal;20230820;77;59;26;15.077922077922079;0;0
Estatisticas Fluminense - Principal;20230823;76;65;30;4.9868421052631575;0;0
Estatisticas Fluminense - Principal;20230827;72;65;29;5.277777777777778;0;0
Estatisticas Fluminense - Principal;20230830;69;60;25;8.46376811594203;0;0
Estatisticas Fluminense - Principal;20230828;66;58;15;6.257575757575758;0;0
Estatisticas Fluminense - Principal;20230902;65;52;14;10.215384615384615;0;0
Estatisticas Fluminense - Principal;20230813;64;53;26;5.671875;0;0
Estatisticas Fluminense - Principal;20230814;60;44;20;5.6;0;0
Estatisticas Fluminense - Principal;20230821;56;48;19;4.982142857142857;0;0
Estatisticas Fluminense - Principal;20230812;54;40;20;5.722222222222222;0;0
Estatisticas Fluminense - Principal;20230818;53;43;17;7.867924528301887;0;0
Estatisticas Fluminense - Principal;20230815;51;42;22;7.607843137254902;0;0
Estatisticas Fluminense - Principal;20230829;51;46;20;11.568627450980392;0;0
Jogador;20230901;51;45;1;22.058823529411764;0;0
Estatisticas Fluminense - Principal;20230817;50;40;17;4.84;0;0
Estatisticas Fluminense - Principal;20230822;50;43;21;3.9;0;0
Consultas Especiais;20230825;41;31;0;13.21951219512195;0;0
Nelio 1970;20230810;41;37;36;39.073170731707314;0;0
Adversarios;20230811;39;37;2;18.17948717948718;0;0
Consultas Especiais;20230901;38;30;0;9.131578947368421;0;0
Fluminense x Olimpia-Paraguai;20230811;38;32;0;42.026315789473685;0;0
Estatisticas Fluminense - Principal;20230816;37;29;9;10;0;0
Adversarios;20230901;36;34;0;22.75;0;0
Adversarios;20230825;35;29;0;29.257142857142856;0;0
Jogador;20230820;34;27;2;21.558823529411764;0;0
Jogador;20230825;34;28;1;26.823529411764707;0;0
Consultas Especiais;20230810;33;24;0;6.9393939393939394;0;0
Consultas Especiais;20230820;33;22;0;9.757575757575758;0;0
Arbitros;20230826;33;26;0;15.212121212121213;0;0
Adversarios;20230807;32;29;0;24.65625;0;0
Adversarios;20230810;31;27;0;20.93548387096774;0;0
Adversarios;20230824;31;29;0;19.774193548387096;0;0
Consultas Especiais;20230809;31;24;0;12.903225806451612;0;0
Consultas Especiais;20230819;31;24;0;4.193548387096774;0;0
Consultas Especiais;20230903;31;24;0;8.516129032258064;0;0
German Cano 2023;20230901;31;26;0;23.387096774193548;0;0
Jogador;20230821;31;27;1;20.322580645161292;0;0
Jogador;20230831;30;27;0;55.2;0;0
Adversarios;20230831;29;25;1;16.413793103448278;0;0
Consultas Especiais;20230831;29;25;0;6.655172413793103;0;0
Especiais Jogadores;20230901;29;25;0;41.172413793103445;0;0
Adversarios;20230808;28;24;0;79.82142857142857;0;0
Adversarios;20230826;28;25;0;37.32142857142857;0;0
Adversarios;20230903;28;23;2;21.392857142857142;0;0
Jogador;20230807;28;23;2;23.821428571428573;0;0
Jogador;20230819;28;25;1;21.714285714285715;0;0
Jogador;20230827;28;28;0;57.535714285714285;0;0
Adversarios;20230819;27;23;1;19.296296296296298;0;0
Adversarios;20230827;27;26;2;13.296296296296296;0;0
Jogador;20230809;27;26;1;27.48148148148148;0;0
Jogador;20230903;27;22;1;18.296296296296298;0;0
Adversarios;20230809;26;23;0;23.692307692307693;0;0
Consultas Especiais;20230902;26;19;0;6.3076923076923075;0;0
Fluminense x Argentino Juniors-Argentina;20230808;26;23;0;31.5;0;0
Fluminense x Olimpia-Paraguai;20230824;26;23;0;27;0;0
Fluminense x Olimpia-Paraguai;20230901;26;20;0;27.192307692307693;0;0
Jogador;20230817;26;22;0;24.653846153846153;0;0
Jogador;20230824;26;26;0;34.30769230769231;0;0
Consultas Especiais;20230814;25;15;0;11.36;0;0
Jogo;20230828;25;21;1;70.88;0;0
Consultas Especiais;20230807;24;21;0;11.541666666666666;0;0
Consultas Especiais;20230808;24;20;0;7.708333333333333;0;0
Consultas Especiais;20230811;24;19;0;5.708333333333333;0;0
Consultas Especiais;20230826;24;21;0;7.666666666666667;0;0
Especiais Jogadores;20230825;24;19;0;24.291666666666668;0;0
Fluminense x America MG-MG;20230819;24;18;0;32.583333333333336;0;0
Fluminense x Athletico PR-PR;20230827;24;22;0;30.75;0;0
Jogador;20230810;24;20;2;28.708333333333332;0;0
Jogo;20230825;24;22;0;92.83333333333333;0;0
Fluminense 2 X 0 Olimpia;20230825;23;15;0;19.347826086956523;0;0
Jogador;20230823;23;20;1;24.73913043478261;0;0
Jogador;20230826;23;20;0;30.956521739130434;0;0
Jogador;20230830;23;18;0;37.91304347826087;0;0
Adversarios;20230812;22;22;2;49.13636363636363;0;0
Adversarios;20230813;22;19;0;51;0;0
Adversarios;20230830;22;21;0;22.681818181818183;0;0
Adversarios;20230902;22;21;1;19.90909090909091;0;0
Consultas Especiais;20230824;22;21;0;8.590909090909092;0;0
Jogador;20230814;22;19;0;30.181818181818183;0;0
Jogador;20230902;22;16;1;19.09090909090909;0;0
Mascotes;20230831;22;21;19;17.227272727272727;0;0
Fluminense x Gremio-RS;20230813;21;17;1;91.33333333333333;0;0
