# ----------------------------------------
# Exportação do CSV de relatório
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuários
# Data de início: 20230724
# Data de término: 20230820
Título da página e nome da tela;Data;Sessões;Usuários;Novos usuários;Tempo de engajamento médio por sessão;Conversões;Receita total
Estatísticas Fluminense - Principal;20230809;104;85;44;4.951923076923077;0;0
Estatísticas Fluminense - Principal;20230808;88;71;46;6.340909090909091;0;0
Estatísticas Fluminense - Principal;20230807;87;71;39;8.931034482758621;0;0
Estatísticas Fluminense - Principal;20230810;86;61;30;5.441860465116279;0;0
Estatísticas Fluminense - Principal;20230819;85;69;39;7.741176470588235;0;0
Estatísticas Fluminense - Principal;20230811;79;66;34;5.949367088607595;0;0
Estatísticas Fluminense - Principal;20230820;77;59;26;15.077922077922079;0;0
Estatísticas Fluminense - Principal;20230806;76;60;39;6.144736842105263;0;0
Estatísticas Fluminense - Principal;20230813;64;53;26;5.671875;0;0
Estatísticas Fluminense - Principal;20230804;63;54;39;6.365079365079365;0;0
Estatísticas Fluminense - Principal;20230814;60;44;20;5.6;0;0
Estatísticas Fluminense - Principal;20230805;57;53;42;5.7894736842105265;0;0
Estatísticas Fluminense - Principal;20230812;54;40;20;5.722222222222222;0;0
Estatísticas Fluminense - Principal;20230818;53;43;17;7.867924528301887;0;0
Estatísticas Fluminense - Principal;20230815;51;42;22;7.607843137254902;0;0
Estatísticas Fluminense - Principal;20230817;50;40;17;4.84;0;0
Estatísticas Fluminense - Principal;20230803;48;42;34;24.166666666666668;0;0
Nélio 1970;20230810;41;37;36;39.073170731707314;0;0
Adversários;20230811;39;37;2;18.17948717948718;0;0
Fluminense x Olimpia-Paraguai;20230811;38;32;0;42.026315789473685;0;0
Estatísticas Fluminense - Principal;20230816;37;29;9;10;0;0
Jogador;20230820;34;27;2;21.558823529411764;0;0
Consultas Especiais;20230810;33;24;0;6.9393939393939394;0;0
Consultas Especiais;20230820;33;22;0;9.757575757575758;0;0
Adversários;20230807;32;29;0;24.65625;0;0
Adversários;20230810;31;27;0;20.93548387096774;0;0
Consultas Especiais;20230809;31;24;0;12.903225806451612;0;0
Consultas Especiais;20230819;31;24;0;4.193548387096774;0;0
Adversários;20230808;28;24;0;79.82142857142857;0;0
Estatísticas Fluminense - Principal;20230802;28;26;25;4.321428571428571;0;0
Jogador;20230807;28;23;2;23.821428571428573;0;0
Jogador;20230819;28;25;1;21.714285714285715;0;0
Adversários;20230819;27;23;1;19.296296296296298;0;0
Jogador;20230806;27;22;0;26.925925925925927;0;0
Jogador;20230809;27;26;1;27.48148148148148;0;0
Adversários;20230809;26;23;0;23.692307692307693;0;0
Consultas Especiais;20230806;26;18;0;6.5;0;0
Fluminense x Argentino Juniors-Argentina;20230808;26;23;0;31.5;0;0
Jogador;20230817;26;22;0;24.653846153846153;0;0
Consultas Especiais;20230814;25;15;0;11.36;0;0
Consultas Especiais;20230807;24;21;0;11.541666666666666;0;0
Consultas Especiais;20230808;24;20;0;7.708333333333333;0;0
Consultas Especiais;20230811;24;19;0;5.708333333333333;0;0
Fluminense x América MG-MG;20230819;24;18;0;32.583333333333336;0;0
Jogador;20230810;24;20;2;28.708333333333332;0;0
Adversários;20230812;22;22;2;49.13636363636363;0;0
Adversários;20230813;22;19;0;51;0;0
Jogador;20230803;22;17;0;26.40909090909091;0;0
Jogador;20230814;22;19;0;30.181818181818183;0;0
Adversários;20230804;21;20;1;36.285714285714285;0;0
Adversários;20230806;21;21;0;47.38095238095238;0;0
Fluminense x Grêmio-RS;20230813;21;17;1;91.33333333333333;0;0
Jogador;20230808;21;19;0;26.61904761904762;0;0
Jogador;20230818;21;20;0;19.857142857142858;0;0
Consultas Especiais;20230815;20;15;0;6.15;0;0
Especiais Jogadores;20230819;20;16;0;15.4;0;0
Especiais Jogadores;20230820;20;14;0;33.7;0;0
Jogo;20230807;20;18;0;38.45;0;0
Consultas Especiais;20230803;19;13;0;14.421052631578947;0;0
Consultas Especiais;20230813;19;13;0;9.578947368421053;0;0
Jogador;20230804;19;17;0;30.105263157894736;0;0
Jogo;20230809;19;19;1;34.578947368421055;0;0
Fluminense x Palmeiras-SP;20230805;18;16;1;32.388888888888886;0;0
Jogador;20230813;18;15;1;43.94444444444444;0;0
Adversários;20230805;17;17;0;32.588235294117645;0;0
Consultas Especiais;20230804;16;14;0;5.3125;0;0
Fluminense x Palmeiras-SP;20230804;16;14;0;46;0;0
Fluminense x Palmeiras-SP;20230806;16;15;0;51.3125;0;0
Jogador;20230805;16;15;0;44.3125;0;0
Jogador;20230815;16;13;0;17.6875;0;0
Jogo;20230806;16;15;0;181.0625;0;0
Adversários;20230818;15;14;0;15.266666666666667;0;0
Especiais Jogadores;20230806;15;11;0;20.733333333333334;0;0
Especiais Jogadores;20230810;15;11;0;18.866666666666667;0;0
German Cano 2023;20230820;15;12;1;30.533333333333335;0;0
Jogo;20230804;15;11;0;64.73333333333333;0;0
Jogo;20230814;15;12;0;23.8;0;0
Adversários;20230802;14;14;1;19.428571428571427;0;0
Consultas Especiais;20230812;14;9;0;11.928571428571429;0;0
Especiais Jogadores;20230808;14;13;0;49.714285714285715;0;0
Especiais Jogadores;20230814;14;12;0;43.07142857142857;0;0
Fluminense x Olimpia-Paraguai;20230810;14;14;0;30.785714285714285;0;0
Informações Gerais;20230809;14;13;1;32.642857142857146;0;0
Jogador;20230811;14;13;0;25.928571428571427;0;0
Jogador;20230816;14;12;0;18.642857142857142;0;0
Jogo;20230811;14;13;0;29.214285714285715;0;0
Fluminense 2 X 1 Palmeiras;20230806;13;11;0;11.538461538461538;0;0
Fluminense 3 X 1 América MG;20230820;13;10;0;30.307692307692307;0;0
Jogador;20230812;13;13;0;14.538461538461538;0;0
Jogo;20230803;13;11;2;131.30769230769232;0;0
Jogo;20230815;13;8;0;16.384615384615383;0;0
Jogo;20230818;13;9;0;13.923076923076923;0;0
Campeonatos;20230807;12;11;0;20.833333333333332;0;0
Campeonatos;20230809;12;11;0;34.583333333333336;0;0
Consultas Especiais;20230805;12;10;0;16.166666666666668;0;0
Consultas Especiais;20230817;12;9;0;9.5;0;0
Consultas Especiais;20230818;12;9;0;5.083333333333333;0;0
Especiais Jogadores;20230809;12;10;0;17.333333333333332;0;0
Fluminense 0 X 1 Argentino Juniors;20230808;12;12;10;43;0;0
Informações Gerais;20230808;12;11;0;41;0;0
Jogo;20230810;12;12;3;47.333333333333336;0;0
Jogo;20230813;12;10;0;31.333333333333332;0;0
Jogo;20230816;12;9;0;48.5;0;0
Árbitros;20230805;12;10;1;15.833333333333334;0;0
Adversários;20230803;11;9;0;96.27272727272727;0;0
Campeonatos;20230814;11;6;1;37.09090909090909;0;0
Consultas Especiais;20230816;11;9;0;18.09090909090909;0;0
Especiais Jogadores;20230813;11;9;0;24.363636363636363;0;0
Fluminense x América MG-MG;20230818;11;9;0;15.727272727272727;0;0
Fluminense x Guarani Paraguai-Paraguai;20230809;11;10;9;39.54545454545455;0;0
German Cano 2023;20230819;11;10;0;16.181818181818183;0;0
Informações Gerais;20230813;11;9;0;23.09090909090909;0;0
Jogo;20230808;11;10;1;78.81818181818181;0;0
Jogo;20230819;11;10;0;18.272727272727273;0;0
Jogo;20230820;11;11;0;28.181818181818183;0;0
Árbitros;20230803;11;10;2;17.363636363636363;0;0
Adversários;20230817;10;8;0;11.8;0;0
Adversários;20230820;10;10;0;16.8;0;0
Campeonatos;20230803;10;10;1;21.8;0;0
Estádios;20230811;10;10;0;8;0;0
Fluminense 3 X 1 Olimpia;20230811;10;9;0;6.8;0;0
Fluminense x Grêmio-RS;20230812;10;9;0;33.5;0;0
Informações Gerais;20230820;10;10;0;33.7;0;0
Jogo;20230817;10;7;0;46.1;0;0
John Kennedy 2023;20230809;10;8;0;10.1;0;0
Maiores Artilheiros;20230820;10;10;3;86;0;0
Campeonatos;20230820;9;9;0;9.444444444444445;0;0
Clinamute Vieira França;20230804;9;3;3;8.11111111111111;0;0
Especiais Jogadores;20230807;9;9;0;23.666666666666668;0;0
Fluminense x Argentino Juniors-Argentina;20230807;9;8;0;22.22222222222222;0;0
Fluminense x San Lorenzo-Argentina;20230808;9;8;7;19.77777777777778;0;0
Informações Gerais;20230806;9;8;0;18;0;0
Jogo;20230805;9;8;1;82.55555555555556;0;0
John Kennedy 2023;20230806;9;8;0;37.111111111111114;0;0
Olimpia 2 X 1 Fluminense;20230811;9;8;0;10.444444444444445;0;0
Ramon Abatti Abel;20230803;9;7;0;31.22222222222222;0;0
