# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240708
# Data de termino: 20240714
Regiao;Data;Usuarios recorrentes;Primeiras visitas;Total de usuarios;Usuarios
State of Rio de Janeiro;20240711;30;18;51;48
State of Rio de Janeiro;20240709;27;17;44;42
State of Rio de Janeiro;20240710;24;8;35;32
State of Rio de Janeiro;20240712;20;18;41;36
State of Rio de Janeiro;20240708;19;15;34;33
State of Rio de Janeiro;20240714;8;11;17;17
State of Rio de Janeiro;20240713;7;15;24;22
State of Sao Paulo;20240711;6;8;12;12
State of Minas Gerais;20240708;5;5;10;10
State of Minas Gerais;20240711;5;2;7;7
State of Minas Gerais;20240714;4;7;10;10
State of Minas Gerais;20240709;3;2;4;4
State of Minas Gerais;20240710;3;1;4;4
State of Minas Gerais;20240712;3;4;7;7
State of Minas Gerais;20240713;3;2;4;4
State of Parana;20240711;3;3;6;6
State of Sao Paulo;20240713;3;3;7;6
Federal District;20240709;2;1;3;3
Federal District;20240712;2;2;5;4
Federal District;20240713;2;1;2;2
Federal District;20240714;2;2;4;4
State of Espirito Santo;20240708;2;2;4;4
State of Espirito Santo;20240709;2;4;7;6
State of Espirito Santo;20240711;2;2;6;4
State of Rio Grande do Norte;20240711;2;1;3;3
State of Rio Grande do Sul;20240708;2;2;4;4
State of Rio Grande do Sul;20240709;2;2;4;4
State of Sao Paulo;20240708;2;5;7;7
State of Sao Paulo;20240709;2;6;10;9
State of Sao Paulo;20240710;2;7;9;9
Aveiro District;20240711;1;1;1;1
Buenos Aires Province;20240710;1;0;1;1
Ceara;20240708;1;0;1;1
Ceara;20240714;1;2;3;3
Faro District;20240708;1;0;1;1
Federal District;20240708;1;1;2;2
Federal District;20240710;1;0;1;1
Federal District;20240711;1;1;2;2
Lisbon;20240712;1;0;1;1
Massachusetts;20240712;1;0;1;1
Nouvelle-Aquitaine;20240713;1;0;1;1
Setubal;20240712;1;1;1;1
State of Alagoas;20240709;1;0;1;1
State of Alagoas;20240712;1;0;1;1
State of Amazonas;20240708;1;0;1;1
State of Amazonas;20240714;1;0;1;1
State of Bahia;20240708;1;5;5;5
State of Bahia;20240711;1;2;3;3
State of Espirito Santo;20240710;1;1;2;2
State of Espirito Santo;20240713;1;1;2;2
State of Espirito Santo;20240714;1;3;4;4
State of Goias;20240708;1;0;1;1
State of Para;20240708;1;0;1;1
State of Para;20240710;1;0;1;1
State of Paraiba;20240709;1;0;1;1
State of Paraiba;20240710;1;0;1;1
State of Paraiba;20240712;1;0;1;1
