Regiao;Data;Usuarios recorrentes;Primeiras visitas;Total de usuarios;Usuarios
Rio de Janeiro;20230921;43;20;63;62
Rio de Janeiro;20230919;38;27;66;63
Rio de Janeiro;20230920;29;25;56;52
Rio de Janeiro;20230918;27;23;51;49
Rio de Janeiro;20230922;23;20;42;41
Rio de Janeiro;20230923;18;15;33;31
Rio de Janeiro;20230924;13;11;23;23
Sao Paulo;20230921;7;9;14;14
Federal District;20230922;6;0;6;6
Minas Gerais;20230921;5;4;9;9
Sao Paulo;20230919;5;6;11;11
Sao Paulo;20230924;5;10;14;14
Federal District;20230920;4;2;7;6
Federal District;20230923;4;1;4;4
Sao Paulo;20230918;4;7;12;12
Federal District;20230919;3;1;3;3
Federal District;20230921;3;1;3;3
Espirito Santo;20230922;3;2;5;5
Sao Paulo;20230920;3;4;8;8
Sao Paulo;20230922;3;4;8;8
Sao Paulo;20230923;3;9;11;10
Federal District;20230918;2;4;6;6
Federal District;20230924;2;3;5;4
Ceara;20230922;2;0;2;2
Espirito Santo;20230918;2;1;2;2
Espirito Santo;20230920;2;1;3;3
Espirito Santo;20230921;2;0;2;2
Espirito Santo;20230923;2;1;2;2
Minas Gerais;20230920;2;4;7;6
Minas Gerais;20230922;2;5;7;7
Minas Gerais;20230923;2;4;7;7
Santa Catarina;20230918;2;0;2;2
Santa Catarina;20230919;2;5;8;7
England;20230918;1;1;1;1
England;20230921;1;1;1;1
Ile-de-France;20230919;1;0;1;1
Ile-de-France;20230922;1;0;1;1
Ile-de-France;20230923;1;0;1;1
Kyiv Oblast;20230922;1;0;1;1
Kyiv Oblast;20230923;1;0;1;1
Lombardy;20230921;1;0;1;1
Massachusetts;20230919;1;0;1;1
Massachusetts;20230923;1;0;1;1
Mexico City;20230921;1;1;1;1
Sardinia;20230921;1;0;1;1
Alagoas;20230919;1;0;1;1
Alagoas;20230920;1;1;2;2
Alagoas;20230923;1;1;2;2
Amazonas;20230921;1;1;2;2
Bahia;20230919;1;3;4;4
Bahia;20230920;1;0;1;1
Bahia;20230922;1;2;3;3
Espirito Santo;20230919;1;0;1;1
Goias;20230919;1;3;4;4
Goias;20230922;1;1;2;2
Goias;20230923;1;1;1;1
Maranhao;20230921;1;0;1;1
Minas Gerais;20230919;1;2;3;3
Minas Gerais;20230924;1;2;3;3
Para;20230918;1;2;3;3
Paraiba;20230918;1;1;1;1
Paraiba;20230919;1;0;1;1
Paraiba;20230920;1;1;2;2
Paraiba;20230922;1;0;1;1
Parana;20230919;1;1;2;2
Parana;20230922;1;1;2;2
Pernambuco;20230924;1;1;2;2
Piaui;20230920;1;0;1;1
Piaui;20230922;1;0;1;1
Rio Grande do Norte;20230920;1;1;1;1
Rio Grande do Norte;20230921;1;1;1;1
Rio Grande do Sul;20230919;1;0;1;1
Rio Grande do Sul;20230922;1;3;4;4
(not set);20230918;0;1;1;1
(not set);20230919;0;2;2;2
(not set);20230923;0;1;1;1
(not set);20230924;0;2;2;2
Beja District;20230922;0;1;1;1
Buenos Aires Province;20230919;0;1;1;1
California;20230918;0;1;1;1
Florida;20230918;0;1;1;1
Florida;20230923;0;1;1;1
Ile-de-France;20230918;0;1;1;1
Lisbon;20230923;0;1;1;1
Massachusetts;20230922;0;1;1;1
Nouvelle-Aquitaine;20230924;0;1;1;1
Acre;20230921;0;1;1;1
Alagoas;20230921;0;0;1;0
Amapa;20230922;0;1;1;1
Amazonas;20230918;0;1;2;2
Amazonas;20230919;0;0;1;1
Amazonas;20230920;0;0;1;1
Amazonas;20230922;0;0;1;1
Amazonas;20230923;0;2;2;2
Amazonas;20230924;0;1;1;1
Bahia;20230918;0;3;3;3
Bahia;20230921;0;1;1;1
Bahia;20230923;0;1;1;1
Ceara;20230918;0;1;1;1
Ceara;20230919;0;1;1;1
Ceara;20230921;0;2;2;2
Ceara;20230923;0;1;1;1
Ceara;20230924;0;2;2;2
Goias;20230918;0;2;2;2
Goias;20230921;0;1;1;1
Maranhao;20230919;0;1;1;1
Mato Grosso;20230918;0;0;1;0
Mato Grosso;20230919;0;0;1;0
Mato Grosso;20230920;0;1;1;1
Mato Grosso;20230921;0;0;1;0
Mato Grosso;20230924;0;0;1;0
Mato Grosso do Sul;20230920;0;1;1;1
Minas Gerais;20230918;0;1;2;1
Para;20230919;0;3;3;3
Para;20230920;0;1;1;1
Paraiba;20230921;0;1;1;1
Paraiba;20230924;0;0;1;0
Parana;20230918;0;1;1;1
Parana;20230920;0;3;3;3
Parana;20230921;0;1;1;1
Parana;20230923;0;2;2;2
Parana;20230924;0;3;3;3
Pernambuco;20230918;0;2;3;3
Pernambuco;20230919;0;1;1;1
Pernambuco;20230922;0;1;1;1
Piaui;20230918;0;1;1;1
Rio Grande do Sul;20230918;0;1;1;1
Rio Grande do Sul;20230920;0;1;3;2
Rio Grande do Sul;20230924;0;2;2;2
Santa Catarina;20230920;0;3;3;3
Santa Catarina;20230921;0;2;2;2
Santa Catarina;20230922;0;2;3;2
Santa Catarina;20230923;0;2;2;2
Santa Catarina;20230924;0;2;2;2
Sergipe;20230919;0;2;2;2
Sergipe;20230920;0;0;1;0
Texas;20230919;0;1;1;1
Texas;20230921;0;1;1;1
Tokyo;20230919;0;2;2;2
Tokyo;20230920;0;1;1;1
Vestland;20230919;0;1;1;1
