# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240205
# Data de termino: 20240211
Categoria da plataforma / dispositivo;Data;Usuarios;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Conversoes;Receita total
web / mobile;20240208;56;37;55;0.8088235294117647;0.9821428571428571;139.17857142857142;1320;0;0
web / mobile;20240209;54;29;54;0.7105263157894737;1;124.64814814814815;1057;0;0
web / mobile;20240207;50;38;47;0.7121212121212122;0.94;116.14;874;0;0
web / mobile;20240210;43;20;42;0.6176470588235294;0.9767441860465116;83.65116279069767;621;0;0
web / mobile;20240206;42;20;43;0.7288135593220338;1.0238095238095237;139;820;0;0
web / desktop;20240209;41;8;56;0.875;1.3658536585365855;266.609756097561;1910;0;0
web / desktop;20240207;40;10;49;0.8032786885245902;1.225;216.575;1332;0;0
web / desktop;20240205;38;15;41;0.7068965517241379;1.0789473684210527;278.9736842105263;1438;0;0
web / desktop;20240206;37;15;44;0.7719298245614035;1.1891891891891893;203.78378378378378;1510;0;0
web / mobile;20240205;37;26;35;0.6862745098039216;0.9459459459459459;132.54054054054055;581;0;0
web / desktop;20240208;31;11;43;0.7962962962962963;1.3870967741935485;260.96774193548384;2009;0;0
web / mobile;20240211;30;16;27;0.6585365853658537;0.9;171.83333333333334;671;0;0
web / desktop;20240210;21;10;32;0.8421052631578947;1.5238095238095237;222.0952380952381;788;0;0
web / desktop;20240211;18;4;23;0.5348837209302325;1.2777777777777777;144.16666666666666;540;0;0
web / tablet;20240208;1;0;0;0;0;2;3;0;0
web / tablet;20240209;1;1;0;0;0;9;5;0;0
