# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240513
# Data de termino: 20240519
Categoria da plataforma / dispositivo;Data;Usuarios;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Eventos principais;Receita total
web / mobile;20240516;91;64;75;0.6097560975609756;0.8241758241758241;124.06593406593407;1674;0;0
web / mobile;20240513;68;49;62;0.6888888888888889;0.9117647058823529;76.16176470588235;910;0;0
web / desktop;20240516;64;32;75;0.78125;1.171875;306.34375;2331;0;0
web / mobile;20240518;56;42;52;0.6842105263157895;0.9285714285714286;142.96428571428572;1276;0;0
web / desktop;20240517;54;23;68;0.8395061728395061;1.2592592592592593;344.1296296296296;2347;0;0
web / mobile;20240514;54;38;57;0.7702702702702703;1.0555555555555556;180.03703703703704;1268;0;0
web / desktop;20240513;52;19;69;0.8414634146341463;1.3269230769230769;257.0576923076923;1517;0;0
web / mobile;20240519;51;37;46;0.71875;0.9019607843137255;142.62745098039215;1416;0;0
web / mobile;20240515;47;34;42;0.6176470588235294;0.8936170212765957;100.85106382978724;947;0;0
web / mobile;20240517;47;32;47;0.6811594202898551;1;95.08510638297872;660;0;0
web / desktop;20240515;45;16;58;0.8055555555555556;1.288888888888889;424.1111111111111;2842;0;0
web / desktop;20240514;44;20;48;0.8;1.0909090909090908;234.0909090909091;1657;0;0
web / desktop;20240518;25;9;29;0.6904761904761905;1.16;505.16;1316;0;0
web / desktop;20240519;21;5;35;0.7291666666666666;1.6666666666666667;1248.4761904761904;1650;0;0
web / tablet;20240514;1;1;0;0;0;2;5;0;0
web / tablet;20240519;1;1;1;1;1;23;8;0;0
