# ----------------------------------------;;;;;;;
# Exportacao do CSV de relatorio;;;;;;;
# Conta: Rodrigo_fluzao;;;;;;;
# Propriedade: RodrigoFlu;;;;;;;
# ----------------------------------------;;;;;;;
# ;;;;;;;
# Todos os usuarios;;;;;;;
# Data de inicio: 20240205;;;;;;;
# Data de termino: 20240215;;;;;;;
Caminho da pagina e classe da tela;Data;Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Conversoes;Receita total
/;20240209;80;60;11;25.1;0;0
/;20240208;72;56;19;2.898.611.111.111.110;0;0
/;20240207;63;47;17;3.642.857.142.857.140;0;0
/;20240206;62;45;14;29.693.548.387.096.700;0;0
/;20240214;59;51;20;34.186.440.677.966.100;0;0
/;20240205;50;39;15;47.56;0;0
/;20240210;50;36;12;18.88;0;0
/;20240211;36;23;5;2.122.222.222.222.220;0;0
/;20240212;31;25;5;5.461.290.322.580.640;0;0
/;20240213;31;24;3;24.677.419.354.838.700;0;0
/adversario;20240209;29;21;0;31.482.758.620.689.600;0;0
/mostra_jogador;20240209;29;25;0;3.020.689.655.172.410;0;0
/especial;20240209;28;17;0;9.428.571.428.571.420;0;0
/jogador;20240209;28;26;0;16.321.428.571.428.500;0;0
/adversario;20240208;26;20;1;22.307.692.307.692.300;0;0
/jogador;20240206;26;21;0;25.153.846.153.846.100;0;0
/mostra_adversario;20240209;25;20;0;61.12;0;0
/especial;20240208;24;18;0;56.916.666.666.666.600;0;0
/mostra_jogador;20240206;23;17;0;5.947.826.086.956.520;0;0
/adversario;20240206;22;18;0;14.363.636.363.636.300;0;0
/jogo;20240207;22;13;0;8.663.636.363.636.360;0;0
/mostra_adversario;20240208;22;19;0;3.159.090.909.090.900;0;0
/mostra_adversario;20240214;22;19;0;6.572.727.272.727.270;0;0
/adversario;20240210;21;15;0;4.757.142.857.142.850;0;0
/mostra_jogador;20240210;21;12;0;13.523.809.523.809.500;0;0
/consulta_especial_jogador;20240209;20;13;0;17.85;0;0
/mostra_adversario;20240210;20;17;0;67.05;0;0
/jogador;20240205;19;16;0;41.526.315.789.473.600;0;0
/jogador;20240210;18;12;1;23;0;0
/mostra_jogo;20240213;18;7;0;93;0;0
/adversario;20240205;17;12;0;6.264.705.882.352.940;0;0
/especial;20240207;17;14;0;5.294.117.647.058.820;0;0
/jogador;20240207;17;15;0;31.176.470.588.235.200;0;0
/mostra_jogo;20240207;17;9;0;4.135.294.117.647.050;0;0
/adversario;20240207;16;13;0;293.125;0;0
/jogo;20240213;16;6;0;116.625;0;0
/mostra_adversario;20240206;16;15;0;331.875;0;0
/mostra_jogador;20240205;16;15;0;44.875;0;0
/jogo;20240208;15;12;0;6.086.666.666.666.660;0;0
/jogo;20240214;15;11;1;16.2;0;0
/jogador;20240208;14;14;0;3.992.857.142.857.140;0;0
/adversario;20240213;13;8;0;3.515.384.615.384.610;0;0
/jogo;20240209;13;13;0;42;0;0
/mostra_adversario;20240207;13;12;0;6.892.307.692.307.690;0;0
/mostra_jogador;20240207;13;9;0;5.592.307.692.307.690;0;0
/adversario;20240214;12;10;0;60;0;0
/especial;20240206;12;11;0;16.25;0;0
/especial;20240210;12;8;0;8.416.666.666.666.660;0;0
/jogo;20240206;12;10;0;31.333.333.333.333.300;0;0
/jogo;20240211;12;8;0;29.25;0;0
/jogo;20240212;12;8;0;36.833.333.333.333.300;0;0
/mostra_adversario;20240205;12;10;0;202.5;0;0
/mostra_jogador;20240211;12;9;1;116;0;0
/adversario;20240211;11;7;0;7.818.181.818.181.810;0;0
/consulta_especial_jogador;20240207;11;7;0;14.909.090.909.090.900;0;0
/jogador;20240211;11;10;0;45;0;0
/jogo;20240210;11;7;0;21.727.272.727.272.700;0;0
/mostra_jogador;20240208;11;9;0;93;0;0
/consulta_especial_jogador;20240208;10;9;0;19.2;0;0
/especial;20240214;10;10;0;4;0;0
/estadio;20240208;10;9;0;7.2;0;0
/jogador;20240213;10;9;0;13.5;0;0
/jogador;20240214;10;10;1;25.6;0;0
/mostra_jogador;20240212;10;7;1;63.9;0;0
/mostra_jogo;20240211;10;5;0;7.6;0;0
/mostra_jogo;20240212;10;5;0;49.7;0;0
/mostra_jogo;20240214;10;5;0;92.7;0;0
/mostra_rkg/;20240209;10;7;0;23.3;0;0
/adversario;20240212;9;5;0;8.555.555.555.555.550;0;0
/consulta_especial_jogador;20240206;9;8;0;15.333.333.333.333.300;0;0
/mostra_adversario;20240213;9;7;0;7.422.222.222.222.220;0;0
/mostra_estadio;20240208;9;8;0;13;0;0
/mostra_jogador;20240214;9;8;0;31.444.444.444.444.400;0;0
/mostra_jogo;20240206;9;6;0;1.711.111.111.111.110;0;0
/mostra_jogo;20240208;9;6;0;45.666.666.666.666.600;0;0
/mostra_jogo;20240210;9;6;0;53.111.111.111.111.100;0;0
/;20240215;8;6;2;7.375;0;0
/arbitro;20240206;8;7;0;21.125;0;0
/campeonato;20240208;8;5;0;15.625;0;0
/consulta_especial_campeonato;20240209;8;4;0;201.5;0;0
/consulta_ranking/900102000000;20240209;8;6;0;21.75;0;0
/especial;20240211;8;7;0;5.5;0;0
/especial;20240212;8;8;0;6.5;0;0
/geral;20240209;8;7;0;7.125;0;0
/jogador;20240212;8;7;0;51.5;0;0
/jogo;20240205;8;6;0;25.125;0;0
/mostra_jogador;20240213;8;7;0;39.75;0;0
/campeonato;20240205;7;7;0;15.428.571.428.571.400;0;0
/consulta_especial_jogador;20240210;7;3;0;13.571.428.571.428.500;0;0
/link_jogo/8764;20240205;7;4;0;19.857.142.857.142.800;0;0
/link_jogo/8765;20240209;7;6;0;33.142.857.142.857.100;0;0
/mostra_adversario;20240211;7;6;0;25;0;0
/mostra_arbitro;20240207;7;4;0;5.428.571.428.571.420;0;0
/mostra_campeonato;20240208;7;5;0;19.428.571.428.571.400;0;0
/mostra_jogador_gols;20240209;7;7;0;23;0;0
/mostra_jogo;20240205;7;5;0;85;0;0
/mostra_jogo;20240209;7;6;0;46.857.142.857.142.800;0;0
/arbitro;20240214;6;5;0;16;0;0
/campeonato;20240209;6;6;0;8.5;0;0
/consulta_especial_adversario;20240208;6;5;0;12.833.333.333.333.300;0;0
/consulta_especial_estadio;20240208;6;5;0;7.333.333.333.333.330;0;0
/especial;20240205;6;4;0;4.5;0;0
/especial;20240213;6;6;0;4.833.333.333.333.330;0;0
/geral;20240206;6;6;0;5.333.333.333.333.330;0;0
/geral;20240208;6;6;0;7.5;0;0
/link_jogo/100;20240213;6;1;0;0.3333333333333333;0;0
/link_jogo/3735;20240206;6;5;4;11.5;0;0
/mostra_arbitro;20240214;6;5;0;11.166.666.666.666.600;0;0
/mostra_campeonato;20240205;6;6;0;20.833.333.333.333.300;0;0
/campeonato;20240206;5;3;0;7.8;0;0
/campeonato;20240207;5;5;0;9.8;0;0
/consulta_campeonato/103824000;20240209;5;2;0;11.8;0;0
/consulta_especial_jogador;20240211;5;4;0;43.4;0;0
/consulta_especial_jogador;20240214;5;5;0;13.4;0;0
/link_jogador/2421;20240209;5;5;2;29.4;0;0
/lista_advcamp;20240209;5;2;0;70.8;0;0
/mostra_arbitro;20240206;5;5;0;16.4;0;0
/mostra_campeonato;20240206;5;3;0;5.6;0;0
/mostra_campeonato;20240209;5;5;0;41;0;0
/mostra_estadio;20240209;5;3;0;33.8;0;0
/mostra_ranking/900000000000;20240209;5;4;0;10.6;0;0
/tecnico;20240209;5;5;0;8.4;0;0
/camisa;20240209;4;4;0;10.25;0;0
/campeonato;20240210;4;4;0;5;0;0
/campeonato;20240213;4;4;0;12;0;0
/consulta_especial_adversario;20240209;4;4;0;13.5;0;0
/consulta_especial_campeonato;20240208;4;3;0;20;0;0
/consulta_especial_estadio;20240209;4;4;0;10.25;0;0
/consulta_especial_gerais;20240206;4;3;0;25.75;0;0
/consulta_especial_jogos;20240209;4;4;0;9;0;0
/consulta_especial_sequencia;20240208;4;2;0;20.5;0;0
/consulta_especial_sequencia;20240209;4;3;0;19.25;0;0
/consulta_especial_tecnico;20240208;4;3;0;12.75;0;0
/consulta_jogador/268100000;20240209;4;4;0;12;0;0
/curiosidade;20240207;4;4;0;15;0;0
/estadio;20240211;4;4;1;10.25;0;0
/estadio_todos;20240208;4;4;0;23;0;0
/generico_estadio/500102300;20240208;4;2;0;12.25;0;0
/link_adversario/62;20240214;4;4;4;32;0;0
/link_jogador/1087;20240214;4;4;3;58.5;0;0
/mostra_campeonato;20240210;4;4;0;6.5;0;0
/mostra_campeonato;20240213;4;4;0;30.5;0;0
/mostra_rkg/;20240207;4;2;0;24.5;0;0
/mostra_sequencia2;20240208;4;2;0;26.25;0;0
/tecnico;20240208;4;4;0;6;0;0
/todas_camisas/400000000;20240207;4;3;1;50;0;0
/arbitro;20240207;3;3;0;10.666.666.666.666.600;0;0
/arbitro;20240209;3;3;0;10.666.666.666.666.600;0;0
/camisa;20240207;3;3;0;7.333.333.333.333.330;0;0
/campeonato;20240212;3;3;0;5.666.666.666.666.660;0;0
/comparacao_adv;20240208;3;2;0;12;0;0
/comparacao_estadio;20240208;3;2;0;47;0;0
/consulta_adversario;20240208;3;2;0;11.333.333.333.333.300;0;0
/consulta_especial_adversario;20240213;3;3;0;9.666.666.666.666.660;0;0
/consulta_especial_adversario;20240214;3;3;0;7;0;0
/consulta_especial_gerais;20240207;3;3;0;23;0;0
/consulta_especial_gerais;20240208;3;3;0;22.333.333.333.333.300;0;0
/consulta_especial_jogador;20240212;3;3;0;15;0;0
/consulta_especial_jogador;20240213;3;3;0;20;0;0
/consulta_especial_jogos;20240207;3;3;0;16.666.666.666.666.600;0;0
/consulta_especial_jogos;20240208;3;2;0;16.666.666.666.666.600;0;0
/consulta_especial_tecnico;20240206;3;2;0;31;0;0
/consulta_especial_tecnico;20240207;3;3;0;15;0;0
/consulta_especial_tecnico;20240209;3;2;0;15.333.333.333.333.300;0;0
/consulta_estadio/102452000;20240208;3;3;0;18;0;0
/consulta_ranking/900103000000;20240207;3;1;0;28.333.333.333.333.300;0;0
/consultar_estadio;20240208;3;2;0;15;0;0
/curiosidade;20240205;3;3;0;10.366.666.666.666.600;0;0
/curiosidade;20240209;3;3;0;36;0;0
/estadio;20240206;3;3;0;10;0;0
/estadio;20240207;3;3;0;11;0;0
/generico_estadio/500102400;20240208;3;2;0;33.333.333.333.333.300;0;0
/geral;20240211;3;3;0;20.666.666.666.666.600;0;0
/geral;20240212;3;3;1;8.333.333.333.333.330;0;0
/grafico;20240208;3;3;0;14.333.333.333.333.300;0;0
/grafico;20240209;3;3;0;5.666.666.666.666.660;0;0
/grafico;20240210;3;1;0;69;0;0
/grafico;20240211;3;3;0;5;0;0
/grafico_assistencia/601;20240210;3;1;0;34.666.666.666.666.600;0;0
/jogador;20240215;3;2;0;7.666.666.666.666.660;0;0
/link_adversario/35;20240209;3;3;0;8.666.666.666.666.660;0;0
/link_adversario/510;20240207;3;2;2;20;0;0
/link_adversario/511;20240205;3;3;3;19.666.666.666.666.600;0;0
