# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240513
# Data de termino: 20240519
Caminho da pagina e classe da tela;Data;Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Eventos principais;Receita total
/;20240516;124;94;44;38.46774193548387;0;0
/;20240513;110;84;41;22.154545454545456;0;0
/;20240517;79;58;19;28;0;0
/;20240515;72;56;16;24.63888888888889;0;0
/;20240514;68;56;21;26.58823529411765;0;0
/;20240518;53;37;14;14.849056603773585;0;0
/;20240519;48;32;8;18.229166666666668;0;0
/jogador;20240516;35;22;0;26.82857142857143;0;0
/jogador;20240517;31;25;0;27.387096774193548;0;0
/mostra_jogador;20240516;30;19;0;41.96666666666667;0;0
/jogador;20240513;29;22;1;20.75862068965517;0;0
/mostra_adversario;20240516;29;27;0;42.10344827586207;0;0
/mostra_jogador;20240517;29;21;0;45.58620689655172;0;0
/jogador;20240519;25;20;5;26.32;0;0
/mostra_adversario;20240513;25;19;0;62.64;0;0
/mostra_jogador;20240515;24;16;1;17.333333333333332;0;0
/adversario;20240516;23;20;0;21.391304347826086;0;0
/jogador;20240514;23;17;0;84.43478260869566;0;0
/jogador;20240515;23;18;1;22.565217391304348;0;0
/jogo;20240514;23;19;0;44.04347826086956;0;0
/mostra_jogador;20240513;20;17;0;47.45;0;0
/mostra_jogador;20240519;20;13;0;36.75;0;0
/jogador;20240518;19;18;0;37.63157894736842;0;0
/jogo;20240515;19;14;1;80.3157894736842;0;0
/mostra_jogo;20240514;19;15;0;41.421052631578945;0;0
/mostra_jogo;20240515;19;13;0;350.2105263157895;0;0
/mostra_jogador;20240518;18;13;0;23.88888888888889;0;0
/mostra_jogo;20240516;18;11;0;285.27777777777777;0;0
/arbitro;20240513;17;16;1;10.941176470588236;0;0
/jogo;20240513;16;12;0;91.3125;0;0
/jogo;20240518;16;12;1;62.5625;0;0
/jogo;20240519;16;11;0;188;0;0
/mostra_jogador;20240514;16;9;0;162.4375;0;0
/mostra_jogo;20240518;16;8;0;407.875;0;0
/adversario;20240513;15;13;0;39.46666666666667;0;0
/mostra_arbitro;20240513;15;14;0;53.2;0;0
/mostra_jogo;20240519;15;9;0;1261.0666666666666;0;0
