# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20231218
# Data de termino: 20231231
Caminho da pagina e classe da tela;Data;Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Conversoes;Receita total
/;20231218;102;85;53;7.009803921568627;0;0
/;20231222;102;92;72;7.470588235294118;0;0
/;20231219;99;81;40;11.272727272727273;0;0
/link_jogo/2934;20231222;72;72;70;11.916666666666666;0;0
/;20231221;63;54;25;6.809523809523809;0;0
/;20231220;60;50;13;3.683333333333333;0;0
/;20231227;45;36;11;10.266666666666667;0;0
/adversario;20231219;43;39;1;27.558139534883722;0;0
/;20231223;42;31;10;5.571428571428571;0;0
/;20231226;41;31;12;6.365853658536586;0;0
/link_adversario/461;20231222;40;40;40;11.225;0;0
/;20231228;39;28;11;5.051282051282051;0;0
/jogador;20231222;38;36;0;26.42105263157895;0;0
/;20231224;34;26;10;8.088235294117647;0;0
/;20231229;34;30;14;4.970588235294118;0;0
/;20231231;31;24;9;4;0;0
/mostra_adversario;20231219;31;30;0;44.45161290322581;0;0
/;20231225;29;26;10;7.517241379310345;0;0
/;20231230;27;23;8;4.7407407407407405;0;0
/adversario;20231218;27;26;0;76.88888888888889;0;0
/jogador;20231218;27;21;0;81.62962962962963;0;0
/especial;20231219;24;18;0;7.583333333333333;0;0
/jogador;20231226;24;16;1;29.25;0;0
/mostra_jogador;20231218;23;18;0;57.17391304347826;0;0
/mostra_jogador;20231226;22;14;0;36.04545454545455;0;0
/adversario;20231220;21;20;1;36.523809523809526;0;0
/mostra_jogador;20231222;21;20;0;42.76190476190476;0;0
/mostra_adversario;20231218;20;19;0;91.9;0;0
/jogador;20231228;19;15;0;15.368421052631579;0;0
/jogador;20231230;19;17;0;22.473684210526315;0;0
/mostra_jogador;20231228;19;15;0;35.1578947368421;0;0
/mostra_jogador;20231230;19;14;0;23.263157894736842;0;0
/especial;20231220;18;12;0;6.388888888888889;0;0
/jogador;20231219;18;18;1;51.5;0;0
/jogador;20231227;18;13;0;91.5;0;0
/jogo;20231227;18;13;0;50.72222222222222;0;0
/jogo;20231229;18;11;1;39.55555555555556;0;0
/mostra_adversario;20231220;18;18;0;54.44444444444444;0;0
/mostra_jogador;20231227;18;11;0;65.72222222222223;0;0
/adversario;20231222;17;14;0;32.88235294117647;0;0
/jogador;20231224;17;14;0;14.235294117647058;0;0
/jogo;20231225;17;9;1;21.11764705882353;0;0
/mostra_jogador;20231229;17;12;0;77.82352941176471;0;0
/especial;20231218;16;12;0;9;0;0
/especial;20231223;16;12;0;5.4375;0;0
/jogador;20231231;16;12;1;28.25;0;0
/jogo;20231220;16;14;1;49.6875;0;0
/jogo;20231222;16;14;0;71.9375;0;0
/jogo;20231226;16;14;0;32.4375;0;0
/especial;20231221;15;12;0;11.2;0;0
/jogo;20231218;15;11;1;123.8;0;0
/jogo;20231219;15;13;0;23.4;0;0
/mostra_jogador;20231224;15;10;0;13.866666666666667;0;0
/mostra_jogador;20231225;15;11;0;43.666666666666664;0;0
/mostra_jogador;20231231;15;11;0;44;0;0
/jogador;20231220;14;11;0;14.5;0;0
/jogo;20231221;14;11;1;19;0;0
/mostra_jogador;20231219;14;14;0;197.21428571428572;0;0
/mostra_jogador;20231220;14;10;1;12.428571428571429;0;0
/adversario;20231221;13;13;0;42.30769230769231;0;0
/jogador;20231223;13;12;1;53.23076923076923;0;0
/jogador;20231225;13;12;0;31.76923076923077;0;0
/jogador;20231229;13;12;0;90.53846153846153;0;0
/jogo;20231224;13;10;0;24.307692307692307;0;0
/link_jogo/2934;20231223;13;9;9;5.769230769230769;0;0
/campeonato;20231218;12;12;0;60.083333333333336;0;0
/campeonato;20231219;12;9;0;49.666666666666664;0;0
/campeonato;20231222;12;11;0;14.833333333333334;0;0
/mostra_adversario;20231222;12;9;0;63.75;0;0
/mostra_campeonato;20231219;12;9;0;98.25;0;0
/mostra_jogo;20231222;12;9;0;77;0;0
/consulta_especial_jogador;20231218;11;9;0;22.727272727272727;0;0
/mostra_adversario;20231221;11;11;0;43.72727272727273;0;0
/mostra_campeonato;20231222;11;9;0;17.09090909090909;0;0
/mostra_especial_jogo;20231228;11;2;0;93.63636363636364;0;0
/mostra_jogador;20231223;11;9;0;50.90909090909091;0;0
/mostra_jogo;20231219;11;8;0;61;0;0
/mostra_jogo;20231220;11;9;0;45.54545454545455;0;0
/adversario;20231223;10;7;0;33;0;0
/consulta_especial_jogador;20231219;10;8;0;24;0;0
/especial;20231222;10;10;0;13.6;0;0
/geral;20231222;10;8;0;11;0;0
/jogo;20231228;10;7;0;23.5;0;0
/jogo;20231230;10;4;0;9.9;0;0
/link_jogo/3342;20231223;10;10;10;20.8;0;0
/link_jogo/4990;20231222;10;10;9;14.4;0;0
/mostra_especial_jogo;20231230;10;3;0;336.9;0;0
/mostra_jogo;20231218;10;7;0;90.1;0;0
/mostra_jogo;20231227;10;7;0;61.3;0;0
/especial;20231225;9;9;0;6;0;0
/especial;20231227;9;9;0;62.666666666666664;0;0
/especial;20231229;9;6;0;2.6666666666666665;0;0
/especial;20231230;9;7;0;8.444444444444445;0;0
/especial;20231231;9;7;0;4.222222222222222;0;0
/geral;20231219;9;7;0;21.11111111111111;0;0
/jogador;20231221;9;9;0;86.44444444444444;0;0
/link_adversario/461;20231221;9;9;9;11.666666666666666;0;0
/mostra_campeonato;20231218;9;9;0;90.11111111111111;0;0
/mostra_campeonato;20231226;9;8;0;29.444444444444443;0;0
/adversario;20231227;8;8;0;14.5;0;0
/campeonato;20231226;8;8;0;23.625;0;0
/consulta_especial_adversario;20231219;8;7;0;5.875;0;0
/consulta_jogo/655000000;20231228;8;2;0;12.5;0;0
/consulta_jogo/655000000;20231230;8;3;0;11.125;0;0
/especial;20231224;8;6;0;9.75;0;0
/grafico;20231227;8;5;0;30;0;0
/link_jogo/4990;20231218;8;7;6;17.875;0;0
/mostra_adversario;20231223;8;6;0;57.375;0;0
/mostra_adversario;20231229;8;4;0;11.625;0;0
/mostra_especial_jogo;20231223;8;4;0;226;0;0
/mostra_especial_jogo;20231224;8;2;0;20.75;0;0
/mostra_jogador;20231221;8;8;0;121.875;0;0
/mostra_jogo;20231226;8;7;0;26.25;0;0
/mostra_jogo;20231229;8;7;0;32.875;0;0
/consulta_especial_jogador;20231220;7;5;0;22.142857142857142;0;0
/consulta_especial_jogador;20231221;7;6;0;36;0;0
/consulta_especial_jogador;20231222;7;7;0;35.142857142857146;0;0
/consulta_especial_jogador;20231231;7;5;0;14.571428571428571;0;0
/consulta_especial_jogos;20231221;7;5;0;5.428571428571429;0;0
/especial;20231226;7;7;0;9.714285714285714;0;0
/especial;20231228;7;4;0;5.428571428571429;0;0
/grafico;20231222;7;7;0;4.428571428571429;0;0
/jogo;20231231;7;6;0;49.285714285714285;0;0
/link_adversario/461;20231223;7;7;6;21.285714285714285;0;0
/link_jogo/2934;20231220;7;7;6;4.714285714285714;0;0
/link_jogo/2934;20231221;7;7;7;14.142857142857142;0;0
/link_jogo/7114;20231222;7;7;7;5.428571428571429;0;0
/link_jogo/8752;20231218;7;6;0;11.142857142857142;0;0
/mostra_adversario;20231227;7;6;0;15.285714285714286;0;0
/mostra_adversario;20231228;7;5;0;42.714285714285715;0;0
/mostra_espadv2;20231219;7;5;0;55.857142857142854;0;0
/mostra_especial_jogo;20231229;7;3;0;24.428571428571427;0;0
/mostra_jogo;20231228;7;6;0;32.857142857142854;0;0
/tecnico;20231222;7;6;0;37;0;0
/adversario;20231231;6;2;0;1.3333333333333333;0;0
/campeonato;20231220;6;6;0;13.833333333333334;0;0
/consulta_especial_gerais;20231219;6;5;0;3.5;0;0
/consulta_especial_jogador;20231223;6;5;0;20.333333333333332;0;0
