# ----------------------------------------;;;;;;;;
# Exportacao do CSV de relatorio;;;;;;;;
# Conta: Rodrigo_fluzao;;;;;;;;
# Propriedade: RodrigoFlu;;;;;;;;
# ----------------------------------------;;;;;;;;
# ;;;;;;;;
# Todos os usuarios;;;;;;;;
# Data de inicio: 20240708;;;;;;;;
# Data de termino: 20240714;;;;;;;;
Titulo da pagina e nome da tela;Data e hora (AAAAMMDDHH);Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Eventos principais;Receita total;Taxa de eventos principais da sessao
Estatisticas Fluminense - Principal;2024071116;10;10;3;16.2;0;0;0
Estatisticas Fluminense - Principal;2024070911;7;7;1;25.714.285.714.285.700;0;0;0
Estatisticas Fluminense - Principal;2024071110;7;7;3;19.857.142.857.142.800;0;0;0
Estatisticas Fluminense - Principal;2024071120;7;6;4;13.714.285.714.285.700;0;0;0
Estatisticas Fluminense - Principal;2024071122;7;7;1;25.571.428.571.428.500;0;0;0
Estatisticas Fluminense - Principal;2024070812;6;6;3;15.5;0;0;0
Estatisticas Fluminense - Principal;2024070817;6;6;2;22.666.666.666.666.600;0;0;0
Estatisticas Fluminense - Principal;2024071010;6;4;0;15.333.333.333.333.300;0;0;0
Estatisticas Fluminense - Principal;2024071011;6;6;3;33.333.333.333.333.300;0;0;0
Estatisticas Fluminense - Principal;2024071118;6;3;1;24.166.666.666.666.600;0;0;0
Estatisticas Fluminense - Principal;2024071123;6;5;3;34.5;0;0;0
Estatisticas Fluminense - Principal;2024070809;5;5;1;28.6;0;0;0
Estatisticas Fluminense - Principal;2024070811;5;5;2;5.6;0;0;0
Estatisticas Fluminense - Principal;2024071013;5;4;1;79;0;0;0
Estatisticas Fluminense - Principal;2024071014;5;5;1;159.4;0;0;0
Estatisticas Fluminense - Principal;2024071111;5;5;2;22.8;0;0;0
Estatisticas Fluminense - Principal;2024071117;5;5;2;22.6;0;0;0
Estatisticas Fluminense - Principal;2024071200;5;5;1;43;0;0;0
Estatisticas Fluminense - Principal;2024071209;5;4;0;17.6;0;0;0
Estatisticas Fluminense - Principal;2024071212;5;5;3;6.6;0;0;0
Estatisticas Fluminense - Principal;2024071422;5;5;2;9.2;0;0;0
Jogador;2024071211;5;5;2;25.4;0;0;0
Anderson Daronco;2024070910;4;3;0;12;0;0;0
