# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240610
# Data de termino: 20240616
Titulo da pagina e nome da tela;Data e hora (AAAAMMDDHH);Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Eventos principais;Receita total;Taxa de eventos principais da sessao
Estatisticas Fluminense - Principal;2024061520;17;17;14;33.35294117647059;0;0;0
Estatisticas Fluminense - Principal;2024061122;12;12;5;29.75;0;0;0
Estatisticas Fluminense - Principal;2024061114;9;9;3;8;0;0;0
Estatisticas Fluminense - Principal;2024061115;9;8;4;20.555555555555557;0;0;0
Estatisticas Fluminense - Principal;2024061523;9;9;2;12.88888888888889;0;0;0
Estatisticas Fluminense - Principal;2024061100;8;8;2;10.875;0;0;0
Estatisticas Fluminense - Principal;2024061109;8;7;4;23;0;0;0
Estatisticas Fluminense - Principal;2024061120;8;8;4;24;0;0;0
Estatisticas Fluminense - Principal;2024061314;8;8;2;15.75;0;0;0
Estatisticas Fluminense - Principal;2024061416;8;7;0;16.875;0;0;0
Estatisticas Fluminense - Principal;2024061518;8;8;5;12.5;0;0;0
Fluminense x Botafogo-RJ;2024061122;8;8;0;35.625;0;0;0
Estatisticas Fluminense - Principal;2024061313;7;7;3;6.428571428571429;0;0;0
Estatisticas Fluminense - Principal;2024061519;7;7;3;10;0;0;0
Fluminense x Atletico GO-GO;2024061314;7;6;0;17.142857142857142;0;0;0
German Cano 2024;2024061120;7;7;6;25.857142857142858;0;0;0
Estatisticas Fluminense - Principal;2024061013;6;6;2;5.166666666666667;0;0;0
Estatisticas Fluminense - Principal;2024061020;6;6;3;28;0;0;0
Estatisticas Fluminense - Principal;2024061111;6;6;2;54.166666666666664;0;0;0
Estatisticas Fluminense - Principal;2024061210;6;6;3;23.5;0;0;0
Estatisticas Fluminense - Principal;2024061211;6;6;2;4.5;0;0;0
Estatisticas Fluminense - Principal;2024061410;6;6;1;36.166666666666664;0;0;0
Estatisticas Fluminense - Principal;2024061512;6;6;2;27;0;0;0
Estatisticas Fluminense - Principal;2024061513;6;6;3;46.666666666666664;0;0;0
Adversarios;2024061122;5;5;0;30.2;0;0;0
Estatisticas Fluminense - Principal;2024061016;5;5;1;42.6;0;0;0
Estatisticas Fluminense - Principal;2024061019;5;5;3;24.2;0;0;0
Estatisticas Fluminense - Principal;2024061108;5;5;2;29.4;0;0;0
Estatisticas Fluminense - Principal;2024061110;5;5;3;5.2;0;0;0
Estatisticas Fluminense - Principal;2024061118;5;5;1;16.2;0;0;0
Estatisticas Fluminense - Principal;2024061409;5;5;1;31.6;0;0;0
Estatisticas Fluminense - Principal;2024061411;5;5;1;52;0;0;0
Estatisticas Fluminense - Principal;2024061413;5;4;1;17.2;0;0;0
Estatisticas Fluminense - Principal;2024061418;5;4;0;0.8;0;0;0
Estatisticas Fluminense - Principal;2024061423;5;5;1;39.4;0;0;0
Estatisticas Fluminense - Principal;2024061521;5;5;3;19;0;0;0
Estatisticas Fluminense - Principal;2024061613;5;4;3;13.8;0;0;0
Estatisticas Fluminense - Principal;2024061620;5;5;0;25.2;0;0;0
Fluminense x Atletico GO-GO;2024061313;5;4;0;28;0;0;0
Jogador;2024061521;5;5;3;7.8;0;0;0
Adversarios;2024061023;4;4;0;8.5;0;0;0
Adversarios;2024061109;4;4;0;25.75;0;0;0
Adversarios;2024061314;4;4;0;4.75;0;0;0
Estatisticas Fluminense - Principal;2024061011;4;4;1;25;0;0;0
Estatisticas Fluminense - Principal;2024061012;4;4;0;18.5;0;0;0
Estatisticas Fluminense - Principal;2024061018;4;4;2;6;0;0;0
Estatisticas Fluminense - Principal;2024061023;4;4;1;2.75;0;0;0
Estatisticas Fluminense - Principal;2024061117;4;4;1;9.25;0;0;0
Estatisticas Fluminense - Principal;2024061119;4;4;2;36.5;0;0;0
Estatisticas Fluminense - Principal;2024061316;4;4;0;13;0;0;0
Estatisticas Fluminense - Principal;2024061412;4;3;1;27.5;0;0;0
Estatisticas Fluminense - Principal;2024061414;4;4;1;36.5;0;0;0
Estatisticas Fluminense - Principal;2024061420;4;3;0;6;0;0;0
Estatisticas Fluminense - Principal;2024061514;4;4;3;10.75;0;0;0
Estatisticas Fluminense - Principal;2024061515;4;3;2;8;0;0;0
Estatisticas Fluminense - Principal;2024061600;4;3;0;40.25;0;0;0
Estatisticas Fluminense - Principal;2024061618;4;4;1;19.75;0;0;0
Fluminense x Botafogo-RJ;2024061100;4;4;0;58.25;0;0;0
Fluminense x Botafogo-RJ;2024061109;4;4;0;7;0;0;0
Fluminense x Botafogo-RJ;2024061119;4;3;0;16;0;0;0
German Cano 2024;2024061121;4;4;3;36;0;0;0
Informacoes Gerais;2024061523;4;4;0;7.25;0;0;0
Jogador;2024061109;4;4;0;13;0;0;0
Jogador;2024061216;4;4;0;12.75;0;0;0
Adversarios;2024061012;3;3;0;13;0;0;0
Adversarios;2024061100;3;3;0;8.666666666666666;0;0;0
Adversarios;2024061211;3;3;0;20.333333333333332;0;0;0
Adversarios;2024061313;3;3;0;5.333333333333333;0;0;0
Adversarios;2024061614;3;3;0;21;0;0;0
Campeonato x Jogador;2024061416;3;2;0;50;0;0;0
Especiais Campeonatos;2024061416;3;2;0;9;0;0;0
Estatisticas Fluminense - Principal;2024061009;3;3;1;17.333333333333332;0;0;0
Estatisticas Fluminense - Principal;2024061014;3;3;0;8;0;0;0
Estatisticas Fluminense - Principal;2024061015;3;3;0;8.666666666666666;0;0;0
Estatisticas Fluminense - Principal;2024061017;3;3;1;13.333333333333334;0;0;0
Estatisticas Fluminense - Principal;2024061101;3;3;0;5.333333333333333;0;0;0
Estatisticas Fluminense - Principal;2024061106;3;3;1;4.666666666666667;0;0;0
Estatisticas Fluminense - Principal;2024061113;3;3;0;12.666666666666666;0;0;0
Estatisticas Fluminense - Principal;2024061116;3;3;0;17;0;0;0
Estatisticas Fluminense - Principal;2024061121;3;3;0;14.666666666666666;0;0;0
Estatisticas Fluminense - Principal;2024061123;3;3;1;10;0;0;0
Estatisticas Fluminense - Principal;2024061214;3;2;0;3;0;0;0
Estatisticas Fluminense - Principal;2024061216;3;3;0;9.333333333333334;0;0;0
Estatisticas Fluminense - Principal;2024061217;3;3;1;15.666666666666666;0;0;0
Estatisticas Fluminense - Principal;2024061218;3;3;0;5;0;0;0
Estatisticas Fluminense - Principal;2024061306;3;3;1;24.333333333333332;0;0;0
Estatisticas Fluminense - Principal;2024061309;3;3;0;7.333333333333333;0;0;0
Estatisticas Fluminense - Principal;2024061315;3;2;0;2.6666666666666665;0;0;0
Estatisticas Fluminense - Principal;2024061317;3;2;1;2.3333333333333335;0;0;0
Estatisticas Fluminense - Principal;2024061321;3;3;1;14;0;0;0
Estatisticas Fluminense - Principal;2024061322;3;3;1;5;0;0;0
Estatisticas Fluminense - Principal;2024061417;3;3;0;11.333333333333334;0;0;0
Estatisticas Fluminense - Principal;2024061419;3;3;0;3.6666666666666665;0;0;0
Estatisticas Fluminense - Principal;2024061421;3;3;1;20.333333333333332;0;0;0
Estatisticas Fluminense - Principal;2024061522;3;3;2;10.333333333333334;0;0;0
Estatisticas Fluminense - Principal;2024061612;3;3;0;31.333333333333332;0;0;0
Estatisticas Fluminense - Principal;2024061614;3;3;0;21.666666666666668;0;0;0
Estatisticas Fluminense - Principal;2024061619;3;1;0;0;0;0;0
Estatisticas Fluminense - Principal;2024061621;3;2;1;0;0;0;0
Fluminense x Atletico GO-GO;2024061316;3;3;0;5.333333333333333;0;0;0
Fluminense x Atletico GO-GO;2024061412;3;3;0;191;0;0;0
Fluminense x Atletico GO-GO;2024061416;3;3;0;151.33333333333334;0;0;0
Fluminense x Atletico GO-GO;2024061418;3;3;0;9;0;0;0
Fluminense x Botafogo-RJ;2024061023;3;3;0;41.333333333333336;0;0;0
Fluminense x Botafogo-RJ;2024061108;3;2;0;12.666666666666666;0;0;0
Fluminense x Botafogo-RJ;2024061110;3;2;0;73;0;0;0
Fluminense x Botafogo-RJ;2024061114;3;3;0;31;0;0;0
Jogador;2024061114;3;3;0;32.333333333333336;0;0;0
Jogador;2024061115;3;3;1;28.333333333333332;0;0;0
Jogador;2024061118;3;2;0;30.333333333333332;0;0;0
Jogador;2024061122;3;3;0;6.333333333333333;0;0;0
Jogador;2024061214;3;3;0;12.333333333333334;0;0;0
Jogador;2024061411;3;3;0;79.66666666666667;0;0;0
Jogador;2024061417;3;3;0;27.333333333333332;0;0;0
Jogador;2024061513;3;3;0;18;0;0;0
Jogador;2024061520;3;3;0;20.666666666666668;0;0;0
Jogador;2024061611;3;3;0;14;0;0;0
Jogador;2024061612;3;3;0;8.333333333333334;0;0;0
Jogador;2024061613;3;3;0;43.666666666666664;0;0;0
Jogo;2024061016;3;3;0;35;0;0;0
Jogo;2024061122;3;3;0;42.333333333333336;0;0;0
Jogo;2024061212;3;3;0;11.333333333333334;0;0;0
Jogo;2024061215;3;3;0;124.66666666666667;0;0;0
Jogo;2024061611;3;3;0;158;0;0;0
Todos os Jogos contra Atletico GO-GO;2024061419;3;3;0;68.66666666666667;0;0;0
(not set);2024061314;2;1;0;1.5;0;0;0
Adversarios;2024061011;2;2;0;21;0;0;0
Adversarios;2024061014;2;2;0;14;0;0;0
Adversarios;2024061019;2;2;0;13.5;0;0;0
Adversarios;2024061108;2;2;0;27;0;0;0
Adversarios;2024061111;2;2;0;37;0;0;0
Adversarios;2024061115;2;2;0;95;0;0;0
Adversarios;2024061117;2;2;0;85;0;0;0
Adversarios;2024061121;2;2;0;6.5;0;0;0
Adversarios;2024061210;2;2;0;20;0;0;0
Adversarios;2024061216;2;2;0;17.5;0;0;0
Adversarios;2024061316;2;2;0;15;0;0;0
Adversarios;2024061411;2;2;0;14.5;0;0;0
Adversarios;2024061414;2;2;0;8.5;0;0;0
Adversarios;2024061420;2;2;0;4.5;0;0;0
Adversarios;2024061513;2;1;0;15;0;0;0
Adversarios;2024061520;2;2;0;25.5;0;0;0
Adversarios do mesmo pais em campeonato;2024061309;2;2;0;25.5;0;0;0
Aproveitamento Tecnicos no;2024061613;2;2;1;0.5;0;0;0
Botafogo 1 X 0 Fluminense;2024061210;2;2;0;10.5;0;0;0
Brasileiro 2023 - Fernando Diniz;2024061414;2;2;0;3.5;0;0;0
Brasileiro 2024 - Alexsander 2024;2024061416;2;2;0;7.5;0;0;0
Brasileiro Serie B 1998;2024061010;2;2;1;21;0;0;0
Campeonato x Jogador;2024061413;2;2;0;17.5;0;0;0
Campeonato x Jogador;2024061414;2;2;0;7;0;0;0
Campeonato x Tecnico;2024061414;2;2;0;12;0;0;0
Campeonatos;2024061013;2;2;0;54.5;0;0;0
Campeonatos;2024061016;2;2;0;13;0;0;0
Campeonatos;2024061122;2;2;0;17.5;0;0;0
Campeonatos;2024061210;2;2;0;14;0;0;0
Campeonatos;2024061211;2;2;0;7.5;0;0;0
Campeonatos;2024061410;2;2;0;26;0;0;0
Campeonatos;2024061620;2;2;0;8;0;0;0
Copa do Brasil 2020;2024061419;2;1;0;2;0;0;0
Curiosidades e Titulos;2024061016;2;2;0;115;0;0;0
Edwin Cox 1910;2024061319;2;1;1;36.5;0;0;0
Engenhao;2024061119;2;2;0;10;0;0;0
Especiais Adversarios;2024061309;2;2;0;15;0;0;0
Especiais Adversarios;2024061313;2;2;0;38.5;0;0;0
Especiais Adversarios;2024061314;2;2;0;45;0;0;0
Especiais Adversarios;2024061316;2;2;0;18;0;0;0
Especiais Adversarios;2024061409;2;2;0;10;0;0;0
Especiais Adversarios;2024061410;2;2;0;19;0;0;0
Especiais Campeonatos;2024061107;2;2;0;5;0;0;0
Especiais Campeonatos;2024061413;2;2;0;8;0;0;0
Especiais Campeonatos;2024061414;2;2;0;533.5;0;0;0
