# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240513
# Data de termino: 20240519
Titulo da pagina e nome da tela;Data e hora (AAAAMMDDHH);Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Eventos principais;Receita total
Estatisticas Fluminense - Principal;2024051322;13;13;6;22;0;0
Estatisticas Fluminense - Principal;2024051621;11;10;2;91.81818181818181;0;0
Estatisticas Fluminense - Principal;2024051613;10;10;4;71.4;0;0
Estatisticas Fluminense - Principal;2024051614;10;10;2;52.1;0;0
Estatisticas Fluminense - Principal;2024051616;10;10;2;9.2;0;0
Estatisticas Fluminense - Principal;2024051622;10;10;3;11.9;0;0
Estatisticas Fluminense - Principal;2024051310;9;9;1;11.222222222222221;0;0
Estatisticas Fluminense - Principal;2024051317;9;9;3;21.666666666666668;0;0
Estatisticas Fluminense - Principal;2024051319;9;9;3;23.666666666666668;0;0
Estatisticas Fluminense - Principal;2024051510;9;8;2;24.11111111111111;0;0
Estatisticas Fluminense - Principal;2024051610;9;8;6;97.33333333333333;0;0
Estatisticas Fluminense - Principal;2024051617;9;9;1;10.555555555555555;0;0
Estatisticas Fluminense - Principal;2024051619;9;8;7;9;0;0
Estatisticas Fluminense - Principal;2024051709;9;9;5;15.333333333333334;0;0
Estatisticas Fluminense - Principal;2024051311;8;8;1;8.875;0;0
Estatisticas Fluminense - Principal;2024051320;8;7;3;57.125;0;0
Estatisticas Fluminense - Principal;2024051421;8;8;4;29.75;0;0
Estatisticas Fluminense - Principal;2024051515;8;8;1;14.875;0;0
Estatisticas Fluminense - Principal;2024051615;8;8;2;14.875;0;0
Estatisticas Fluminense - Principal;2024051313;7;7;1;40.857142857142854;0;0
Estatisticas Fluminense - Principal;2024051314;7;7;5;13.428571428571429;0;0
Estatisticas Fluminense - Principal;2024051321;7;7;2;15.142857142857142;0;0
Estatisticas Fluminense - Principal;2024051514;7;7;3;25.571428571428573;0;0
Estatisticas Fluminense - Principal;2024051521;7;6;2;5;0;0
Estatisticas Fluminense - Principal;2024051609;7;6;1;21;0;0
Estatisticas Fluminense - Principal;2024051618;7;7;2;8;0;0
Estatisticas Fluminense - Principal;2024051623;7;7;2;18.285714285714285;0;0
Estatisticas Fluminense - Principal;2024051710;7;7;1;16.571428571428573;0;0
