# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20230925
# Data de termino: 20231002
Titulo da pagina e nome da tela;Data e hora (AAAAMMDDHH);Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Conversoes;Receita total
Titulos em 2002;2023092513;1;1;0;2;0;0
Titulos em 2005;2023092513;1;1;0;3;0;0
Titulos em 2007;2023092513;1;1;0;4;0;0
Titulos em 2010;2023092513;1;1;0;8;0;0
Titulos em 2012;2023092513;1;1;0;3;0;0
Titulos em 2016;2023092513;1;1;0;4;0;0
Titulos por Campeonato;2023092513;1;1;0;6;0;0
Titulos por Campeonato;2023092822;1;1;0;1;0;0
Titulos por ano;2023092513;1;1;0;47;0;0
Titulos por ano;2023092514;1;1;0;92;0;0
Tulio 1999;2023092517;1;1;0;14;0;0
Uberlandia 2 X 3 Fluminense;2023092713;1;1;0;5;0;0
Uberlandia 2 X 3 Fluminense;2023092808;1;1;0;6;0;0
Uberlandia 2 X 3 Fluminense;2023092809;1;1;0;6;0;0
Uberlandia 2 X 3 Fluminense;2023092814;1;1;0;5;0;0
Ubiraci 1965;2023093013;1;1;1;122;0;0
Udinese 1 X 1 Fluminense;2023093013;1;1;0;7;0;0
Union Santa Fe 0 X 0 Fluminense;2023093020;1;1;0;1;0;0
Union Santa Fe 0 X 0 Fluminense;2023100118;1;1;0;1;0;0
Universidad de Quito 1 X 2 Fluminense;2023092622;1;1;0;7;0;0
Universidad de Quito 1 X 2 Fluminense;2023092810;1;1;0;188;0;0
Valdeir 1996;2023092517;1;1;0;11;0;0
Valdeir 1996;2023092622;1;1;0;9;0;0
Valdez 1968;2023092509;1;1;1;19;0;0
Valdez 1968;2023092616;1;1;0;26;0;0
Valdir 1963;2023093016;1;1;0;4;0;0
Valencia 2014;2023092613;1;1;0;18;0;0
Valladolid 0 X 0 Fluminense;2023093014;1;1;0;2;0;0
Valter Senra;2023093000;1;1;0;1;0;0
Valencia 1 X 0 Fluminense;2023092523;1;1;0;5;0;0
Vampeta 1996;2023092622;1;1;0;14;0;0
Vancouver Whitecaps 3 X 1 Fluminense;2023093013;1;1;0;2;0;0
Vasco - Engenhao;2023093013;1;1;0;22;0;0
Vasco - General Severiano;2023093013;1;1;0;37;0;0
Vasco - Laranjeiras;2023093013;1;1;0;21;0;0
Vasco - Maracana;2023093013;1;1;0;23;0;0
Vasco - Raulino de Oliveira;2023093013;1;1;0;1;0;0
Vasco - Sao Januario;2023093013;1;1;0;15;0;0
Vasco 0 X 0 Fluminense;2023092619;1;1;0;65;0;0
Vasco 0 X 0 Fluminense;2023093000;1;1;0;5;0;0
Vasco 0 X 0 Fluminense;2023093013;1;1;0;2;0;0
Vasco 0 X 0 Fluminense;2023093014;1;1;0;16;0;0
Vasco 0 X 1 Fluminense;2023092517;1;1;0;2;0;0
Vasco 0 X 1 Fluminense;2023092523;1;1;0;35;0;0
Vasco 0 X 1 Fluminense;2023093014;1;1;0;1;0;0
Vasco 0 X 1 Fluminense;2023100114;1;1;0;12;0;0
Vasco 0 X 2 Fluminense;2023092819;1;1;0;19;0;0
Vasco 0 X 2 Fluminense;2023093011;1;1;0;64;0;0
Vasco 0 X 2 Fluminense;2023093014;1;1;0;1;0;0
Vasco 0 X 2 Fluminense;2023093015;1;1;0;8;0;0
Vasco 0 X 3 Fluminense;2023093014;1;1;0;3;0;0
Vasco 1 X 0 Fluminense;2023093014;1;1;0;2;0;0
Vasco 1 X 0 Fluminense;2023100107;1;1;0;10;0;0
Vasco 1 X 0 Fluminense;2023100114;1;1;0;1;0;0
Vasco 1 X 0 Fluminense;2023100118;1;1;0;2;0;0
Vasco 1 X 1 Fluminense;2023092709;1;1;0;6;0;0
Vasco 1 X 1 Fluminense;2023092910;1;1;0;1;0;0
Vasco 1 X 1 Fluminense;2023093014;1;1;0;1;0;0
Vasco 1 X 1 Fluminense;2023100114;1;1;0;6;0;0
Vasco 1 X 1 Fluminense;2023100115;1;1;0;0;0;0
Vasco 1 X 1 Fluminense;2023100118;1;1;0;14;0;0
Vasco 1 X 2 Fluminense;2023092620;1;1;0;42;0;0
Vasco 1 X 2 Fluminense;2023092708;1;1;0;4;0;0
Vasco 1 X 2 Fluminense;2023092709;1;1;0;15;0;0
Vasco 1 X 4 Fluminense;2023092523;1;1;0;42;0;0
Vasco 1 X 5 Fluminense;2023100105;1;1;1;25;0;0
Vasco 2 X 0 Fluminense;2023093013;1;1;0;1;0;0
Vasco 2 X 1 Fluminense;2023092713;1;1;0;1;0;0
Vasco 2 X 1 Fluminense;2023092715;1;1;0;38;0;0
Vasco 2 X 1 Fluminense;2023092716;1;1;0;71;0;0
Vasco 2 X 1 Fluminense;2023092717;1;1;0;0;0;0
Vasco 2 X 1 Fluminense;2023092808;1;1;0;5;0;0
Vasco 2 X 1 Fluminense;2023092809;1;1;0;7;0;0
Vasco 2 X 1 Fluminense;2023093013;1;1;0;1;0;0
Vasco 2 X 1 Fluminense;2023093020;1;1;0;1;0;0
Vasco 2 X 1 Fluminense;2023100113;1;1;0;0;0;0
Vasco 2 X 1 Fluminense;2023100118;1;1;0;2;0;0
Vasco 2 X 4 Fluminense;2023092517;1;1;0;5;0;0
Vasco 4 X 0 Fluminense;2023100115;1;1;0;5;0;0
Vasco 4 X 1 Fluminense;2023092608;1;1;0;0;0;0
Vasco 4 X 1 Fluminense;2023092609;1;1;0;0;0;0
Vasco 4 X 2 Fluminense;2023092518;1;1;0;13;0;0
Vasco 4 X 2 Fluminense;2023092710;1;1;0;6;0;0
Vasco 4 X 2 Fluminense;2023093020;1;1;0;2;0;0
Vasco 4 X 2 Fluminense;2023093021;1;1;0;3;0;0
Vasco 4 X 2 Fluminense;2023093022;1;1;0;4;0;0
Vasco 4 X 2 Fluminense;2023100101;1;1;0;0;0;0
Vasco 4 X 2 Fluminense;2023100118;1;1;0;1;0;0
Vasco 4 X 3 Fluminense;2023092713;1;1;0;5;0;0
Vasco 4 X 3 Fluminense;2023092808;1;1;0;5;0;0
Vasco 4 X 3 Fluminense;2023092809;1;1;0;11;0;0
Vasco 4 X 3 Fluminense;2023092813;1;1;0;336;0;0
Vasco 4 X 3 Fluminense;2023092814;1;1;0;5;0;0
Vasco 5 X 3 Fluminense;2023093013;1;1;0;4;0;0
Veludo 1956;2023092809;1;1;0;0;0;0
Verde 2015 - 2016 em 2015;2023092516;1;1;0;2;0;0
Verde 2015 - 2016 em 2015;2023092708;1;1;0;0;0;0
Vermelhos do Abel Hernandez - 2021;2023100113;1;1;0;3;0;0
Vermelhos do Agenor - 2019;2023093020;1;1;0;1;0;0
Vermelhos do Agenor - 2019;2023100113;1;1;0;1;0;0
Vermelhos do Airton - 2019;2023093020;1;1;0;2;0;0
Vermelhos do Airton - 2019;2023100114;1;1;0;1;0;0
Vermelhos do Allan - 2019;2023093020;1;1;0;2;0;0
Vermelhos do Allan - 2019;2023100114;1;1;0;1;0;0
Vermelhos do Anderson - 2013;2023100114;1;1;0;11;0;0
Vermelhos do Andre - 2023;2023092614;1;1;0;9;0;0
Vermelhos do Andre - 2023;2023093020;1;1;0;11;0;0
Vermelhos do Andre - 2023;2023093021;1;1;0;8;0;0
Vermelhos do Andre - 2023;2023100113;1;1;0;3;0;0
Vermelhos do Antonio Carlos - 2015;2023100114;1;1;0;5;0;0
Vermelhos do Biro Biro - 2014;2023100114;1;1;0;7;0;0
Vermelhos do Bruno - 2014;2023100114;1;1;0;14;0;0
Vermelhos do Caio Paulista - 2023;2023093021;1;1;0;6;0;0
Vermelhos do Caio Paulista - 2023;2023100113;1;1;0;6;0;0
Vermelhos do Calegari - 2023;2023093021;1;1;0;3;0;0
Vermelhos do Calegari - 2023;2023100113;1;1;0;5;0;0
Vermelhos do Carlinhos - 2014;2023100114;1;1;0;3;0;0
