# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240226
# Data de termino: 20240303
Titulo da pagina e nome da tela;Data e hora (AAAAMMDDHH);Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Conversoes;Receita total
Estatisticas Fluminense - Principal;2024022821;13;13;8;41.23076923076923;0;0
Estatisticas Fluminense - Principal;2024030321;13;12;3;21.692307692307693;0;0
Estatisticas Fluminense - Principal;2024022918;12;12;9;25;0;0
Estatisticas Fluminense - Principal;2024030100;12;12;5;21.916666666666668;0;0
Estatisticas Fluminense - Principal;2024022914;11;11;1;19;0;0
Estatisticas Fluminense - Principal;2024022919;10;10;6;28.7;0;0
Estatisticas Fluminense - Principal;2024030222;10;10;5;13.3;0;0
Estatisticas Fluminense - Principal;2024022921;9;8;6;11.11111111111111;0;0
Estatisticas Fluminense - Principal;2024030219;9;9;5;2.888888888888889;0;0
Estatisticas Fluminense - Principal;2024030318;9;9;3;15.444444444444445;0;0
Estatisticas Fluminense - Principal;2024022913;8;8;5;18.625;0;0
Estatisticas Fluminense - Principal;2024022920;8;8;7;22.375;0;0
Estatisticas Fluminense - Principal;2024030112;8;8;3;37.125;0;0
Estatisticas Fluminense - Principal;2024022711;7;7;1;82.85714285714286;0;0
Estatisticas Fluminense - Principal;2024022810;7;7;1;8;0;0
Estatisticas Fluminense - Principal;2024022916;7;7;5;14.428571428571429;0;0
Estatisticas Fluminense - Principal;2024022923;7;7;1;15.857142857142858;0;0
Estatisticas Fluminense - Principal;2024030110;7;7;0;13.857142857142858;0;0
Estatisticas Fluminense - Principal;2024030118;7;7;2;19.857142857142858;0;0
Estatisticas Fluminense - Principal;2024030120;7;7;0;33.57142857142857;0;0
Estatisticas Fluminense - Principal;2024030216;7;6;3;2;0;0
Estatisticas Fluminense - Principal;2024030217;7;7;4;14.857142857142858;0;0
Estatisticas Fluminense - Principal;2024030220;7;7;2;8.142857142857142;0;0
Estatisticas Fluminense - Principal;2024030300;7;7;5;11;0;0
Estatisticas Fluminense - Principal;2024030312;7;7;1;15.142857142857142;0;0
Estatisticas Fluminense - Principal;2024030319;7;7;3;19.428571428571427;0;0
Estatisticas Fluminense - Principal;2024022823;6;5;3;9.166666666666666;0;0
Estatisticas Fluminense - Principal;2024022909;6;6;3;7;0;0
Estatisticas Fluminense - Principal;2024022911;6;6;4;13.666666666666666;0;0
Estatisticas Fluminense - Principal;2024030116;6;6;2;14.666666666666666;0;0
Estatisticas Fluminense - Principal;2024030119;6;6;1;2.1666666666666665;0;0
Estatisticas Fluminense - Principal;2024030200;6;6;2;22.166666666666668;0;0
Estatisticas Fluminense - Principal;2024030214;6;6;3;13.833333333333334;0;0
Estatisticas Fluminense - Principal;2024030221;6;6;2;3.1666666666666665;0;0
Estatisticas Fluminense - Principal;2024030223;6;6;4;20.666666666666668;0;0
Estatisticas Fluminense - Principal;2024030313;6;6;3;21;0;0
Estatisticas Fluminense - Principal;2024030323;6;6;2;53.5;0;0
Adversarios;2024022711;5;5;0;18.4;0;0
Adversarios;2024022821;5;5;0;19.6;0;0
Consultas Especiais;2024030112;5;5;0;6.6;0;0
Consultas Especiais;2024030321;5;4;0;7.2;0;0
Estatisticas Fluminense - Principal;2024022611;5;5;2;14.8;0;0
Estatisticas Fluminense - Principal;2024022616;5;5;1;223.2;0;0
Estatisticas Fluminense - Principal;2024022709;5;4;0;129.8;0;0
Estatisticas Fluminense - Principal;2024022713;5;4;1;11.2;0;0
Estatisticas Fluminense - Principal;2024022717;5;4;0;11.2;0;0
Estatisticas Fluminense - Principal;2024022809;5;5;0;7.6;0;0
Estatisticas Fluminense - Principal;2024022811;5;4;1;82.8;0;0
Estatisticas Fluminense - Principal;2024022910;5;5;4;9.2;0;0
Estatisticas Fluminense - Principal;2024022917;5;5;5;20.2;0;0
Estatisticas Fluminense - Principal;2024030106;5;5;1;7.8;0;0
Estatisticas Fluminense - Principal;2024030111;5;5;2;14;0;0
Estatisticas Fluminense - Principal;2024030115;5;5;1;25.2;0;0
Estatisticas Fluminense - Principal;2024030117;5;4;0;19.4;0;0
Estatisticas Fluminense - Principal;2024030122;5;5;5;22.6;0;0
Estatisticas Fluminense - Principal;2024030213;5;5;2;18.6;0;0
Estatisticas Fluminense - Principal;2024030215;5;5;3;4.2;0;0
Estatisticas Fluminense - Principal;2024030303;5;5;4;11.6;0;0
Estatisticas Fluminense - Principal;2024030305;5;5;4;22.4;0;0
Estatisticas Fluminense - Principal;2024030308;5;5;3;15.6;0;0
Estatisticas Fluminense - Principal;2024030315;5;5;4;21;0;0
Estatisticas Fluminense - Principal;2024030316;5;5;0;15.4;0;0
Estatisticas Fluminense - Principal;2024030322;5;5;2;64.8;0;0
German Cano 2024;2024022922;5;5;5;9;0;0
Jogador;2024022716;5;5;0;94;0;0
Adversarios;2024022709;4;4;1;15.25;0;0
Adversarios;2024030110;4;4;0;12;0;0
Consultas Especiais;2024030100;4;4;0;5.75;0;0
Consultas Especiais;2024030317;4;4;0;7;0;0
Especiais Jogadores;2024030112;4;4;0;14.5;0;0
Especiais Jogadores;2024030317;4;4;0;23.75;0;0
Estatisticas Fluminense - Principal;2024022609;4;4;1;44;0;0
Estatisticas Fluminense - Principal;2024022612;4;4;1;12.25;0;0
Estatisticas Fluminense - Principal;2024022615;4;4;0;43.75;0;0
Estatisticas Fluminense - Principal;2024022715;4;4;1;1.5;0;0
Estatisticas Fluminense - Principal;2024022721;4;4;1;9.75;0;0
Estatisticas Fluminense - Principal;2024022813;4;4;0;65.5;0;0
Estatisticas Fluminense - Principal;2024022820;4;4;1;25.25;0;0
Estatisticas Fluminense - Principal;2024022822;4;4;2;20.5;0;0
Estatisticas Fluminense - Principal;2024022912;4;4;2;11.5;0;0
Estatisticas Fluminense - Principal;2024030108;4;3;1;11;0;0
Estatisticas Fluminense - Principal;2024030114;4;4;1;19.5;0;0
Estatisticas Fluminense - Principal;2024030201;4;4;1;9.25;0;0
Estatisticas Fluminense - Principal;2024030203;4;4;4;0;0;0
Estatisticas Fluminense - Principal;2024030204;4;4;3;10.25;0;0
Estatisticas Fluminense - Principal;2024030205;4;4;3;4.5;0;0
Estatisticas Fluminense - Principal;2024030206;4;4;3;22.25;0;0
Estatisticas Fluminense - Principal;2024030210;4;4;3;6.5;0;0
Estatisticas Fluminense - Principal;2024030212;4;4;3;6.5;0;0
Estatisticas Fluminense - Principal;2024030218;4;4;3;0.5;0;0
Estatisticas Fluminense - Principal;2024030301;4;4;2;1.25;0;0
Estatisticas Fluminense - Principal;2024030309;4;4;2;2.75;0;0
Estatisticas Fluminense - Principal;2024030310;4;4;2;26;0;0
Estatisticas Fluminense - Principal;2024030317;4;4;2;9.5;0;0
Jogador;2024030112;4;4;0;11;0;0
Jogador;2024030120;4;4;0;43;0;0
Jogador;2024030200;4;4;0;41.25;0;0
Adversarios;2024022810;3;3;0;47.333333333333336;0;0
Adversarios;2024022813;3;3;0;27.666666666666668;0;0
Adversarios;2024022823;3;3;1;52.666666666666664;0;0
Adversarios;2024030318;3;3;0;26.333333333333332;0;0
Adversarios;2024030319;3;3;0;6.333333333333333;0;0
Campeonatos;2024030313;3;3;0;64;0;0
Consultas Especiais;2024022613;3;3;0;56;0;0
Consultas Especiais;2024022914;3;3;0;8;0;0
Consultas Especiais;2024022921;3;3;1;8.666666666666666;0;0
Consultas Especiais;2024030204;3;3;0;14;0;0
Consultas Especiais;2024030214;3;3;0;5.666666666666667;0;0
Consultas Especiais;2024030217;3;3;0;7.333333333333333;0;0
Consultas Especiais;2024030222;3;3;0;2.6666666666666665;0;0
Consultas Especiais;2024030313;3;3;0;3.3333333333333335;0;0
Especiais Jogadores;2024030100;3;3;0;18;0;0
Especiais Jogadores;2024030102;3;3;0;18.666666666666668;0;0
Especiais Jogadores;2024030321;3;3;0;55;0;0
Especiais Tecnico;2024030100;3;3;0;32;0;0
Estatisticas Fluminense - Principal;2024022610;3;2;0;6;0;0
Estatisticas Fluminense - Principal;2024022618;3;3;0;9.333333333333334;0;0
Estatisticas Fluminense - Principal;2024022621;3;2;0;7.333333333333333;0;0
Estatisticas Fluminense - Principal;2024022623;3;3;1;10.666666666666666;0;0
Estatisticas Fluminense - Principal;2024022708;3;3;2;11.666666666666666;0;0
Estatisticas Fluminense - Principal;2024022710;3;3;0;135.66666666666666;0;0
Estatisticas Fluminense - Principal;2024022714;3;3;2;241.66666666666666;0;0
Estatisticas Fluminense - Principal;2024022716;3;3;0;38.333333333333336;0;0
Estatisticas Fluminense - Principal;2024022812;3;3;0;12;0;0
Estatisticas Fluminense - Principal;2024022816;3;3;1;40.666666666666664;0;0
Estatisticas Fluminense - Principal;2024022817;3;3;0;49;0;0
Estatisticas Fluminense - Principal;2024022819;3;3;1;44.333333333333336;0;0
Estatisticas Fluminense - Principal;2024022900;3;3;0;14.666666666666666;0;0
Estatisticas Fluminense - Principal;2024022902;3;3;1;42.333333333333336;0;0
Estatisticas Fluminense - Principal;2024022905;3;3;1;20;0;0
Estatisticas Fluminense - Principal;2024022907;3;3;2;16.666666666666668;0;0
Estatisticas Fluminense - Principal;2024022908;3;3;2;22.333333333333332;0;0
Estatisticas Fluminense - Principal;2024030101;3;3;0;12;0;0
Estatisticas Fluminense - Principal;2024030102;3;3;1;39.333333333333336;0;0
Estatisticas Fluminense - Principal;2024030103;3;3;1;17;0;0
Estatisticas Fluminense - Principal;2024030105;3;3;2;17.666666666666668;0;0
Estatisticas Fluminense - Principal;2024030207;3;3;3;0;0;0
Estatisticas Fluminense - Principal;2024030208;3;3;3;19;0;0
Estatisticas Fluminense - Principal;2024030209;3;3;2;1.6666666666666667;0;0
Estatisticas Fluminense - Principal;2024030211;3;3;3;0.3333333333333333;0;0
Estatisticas Fluminense - Principal;2024030302;3;3;3;0;0;0
Estatisticas Fluminense - Principal;2024030306;3;3;2;0;0;0
Estatisticas Fluminense - Principal;2024030307;3;3;2;0;0;0
Estatisticas Fluminense - Principal;2024030314;3;2;1;0;0;0
Estatisticas Fluminense - Principal;2024030320;3;3;1;13.333333333333334;0;0
Fluminense 0 X 0 CRB;2024022816;3;3;3;12.333333333333334;0;0
Fluminense 1 X 1 Flamengo;2024030122;3;2;0;4;0;0
Fluminense 2 X 0 LDU;2024030100;3;3;0;27.333333333333332;0;0
Fluminense 2 X 0 LDU;2024030101;3;3;0;40.666666666666664;0;0
Fluminense x Botafogo-RJ;2024030319;3;3;0;45.666666666666664;0;0
Fluminense x LDU-Equador;2024022821;3;3;0;19;0;0
Fluminense x LDU-Equador;2024030101;3;3;0;29.333333333333332;0;0
Fluminense x LDU-Equador;2024030110;3;3;0;40.333333333333336;0;0
Fluminense x LDU-Equador;2024030117;3;3;1;20.666666666666668;0;0
German Cano 2024;2024022923;3;3;1;2.3333333333333335;0;0
German Cano 2024;2024030220;3;3;2;6;0;0
Informacoes Gerais;2024030100;3;3;0;11.666666666666666;0;0
Jhon Arias 2024;2024030216;3;3;0;2.3333333333333335;0;0
Jogador;2024022708;3;2;0;5.666666666666667;0;0
Jogador;2024022709;3;1;0;7.666666666666667;0;0
Jogador;2024022721;3;2;0;46.333333333333336;0;0
Jogador;2024022913;3;3;0;14.666666666666666;0;0
Jogador;2024030100;3;3;0;9.333333333333334;0;0
Jogador;2024030108;3;2;0;11.666666666666666;0;0
Jogador;2024030214;3;3;0;12.666666666666666;0;0
Jogador;2024030216;3;3;0;17.333333333333332;0;0
Jogador;2024030220;3;3;0;118.66666666666667;0;0
Jogo;2024022709;3;3;0;40.666666666666664;0;0
Jogo;2024022813;3;3;0;69.33333333333333;0;0
Jogo;2024022914;3;3;0;21.666666666666668;0;0
Jogo;2024030323;3;3;0;35.333333333333336;0;0
Jogos Eliminatorios por Saldo no 1º jogo;2024022809;3;3;0;59;0;0
Treinador com mais jogos;2024030100;3;3;0;3.6666666666666665;0;0
(not set);2024022810;2;2;0;3;0;0
(not set);2024022914;2;2;0;2;0;0
(not set);2024030100;2;2;0;15.5;0;0
(not set);2024030204;2;2;0;8.5;0;0
Adversarios;2024022616;2;2;0;5.5;0;0
Adversarios;2024022617;2;2;0;81;0;0
Adversarios;2024022710;2;2;0;19;0;0
Adversarios;2024022713;2;2;0;67.5;0;0
Adversarios;2024022716;2;2;0;23.5;0;0
Adversarios;2024022912;2;2;0;9;0;0
Adversarios;2024022916;2;2;0;6;0;0
Adversarios;2024022921;2;2;0;17.5;0;0
Adversarios;2024030102;2;2;0;16;0;0
Adversarios;2024030115;2;2;0;13.5;0;0
Adversarios;2024030117;2;2;0;17.5;0;0
Adversarios;2024030118;2;2;0;16.5;0;0
Adversarios;2024030122;2;1;0;17;0;0
Adversarios;2024030212;2;2;0;99;0;0
Adversarios;2024030308;2;2;0;59;0;0
Adversarios;2024030310;2;2;0;81.5;0;0
Adversarios;2024030316;2;2;0;23.5;0;0
Adversarios Internacionais;2024022914;2;2;0;5;0;0
Ailton Cruz 1999;2024022714;2;2;2;58;0;0
Andre 2024;2024030108;2;1;0;0;0;0
Andre 2024;2024030117;2;2;0;2;0;0
Arouca 2008;2024022913;2;2;0;33.5;0;0
Artilheiros Estrangeiros;2024030100;2;2;0;10;0;0
Artilheiros no(a) Copa Sul Americana;2024030113;2;1;0;0;0;0
Brasileiro;2024030309;2;2;0;5;0;0
Brasileiro Serie B 1998;2024022612;2;2;2;34;0;0
Brasileiro Serie B 1998;2024022916;2;1;1;0;0;0
Camisa;2024022908;2;2;0;8;0;0
Camisa;2024022914;2;2;0;2.5;0;0
Campeonatos;2024022813;2;2;0;92;0;0
Campeonatos;2024030100;2;2;0;5;0;0
Campeonatos;2024030101;2;2;0;36;0;0
Campeonatos;2024030309;2;2;0;45;0;0
Campeonatos;2024030310;2;1;0;0.5;0;0
Campeonatos;2024030312;2;2;0;30.5;0;0
Campeonatos;2024030322;2;2;0;34;0;0
Consultas Especiais;2024022709;2;2;0;12;0;0
Consultas Especiais;2024022710;2;2;0;12.5;0;0
Consultas Especiais;2024022716;2;2;0;9;0;0
Consultas Especiais;2024022809;2;2;0;1.5;0;0
Consultas Especiais;2024022821;2;2;0;3;0;0
Consultas Especiais;2024022923;2;2;0;3.5;0;0
