# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240304
# Data de termino: 20240310
Titulo da pagina e nome da tela;Data;Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Conversoes;Receita total
Estatisticas Fluminense - Principal;20240309;81;69;41;41.39506172839506;0;0
Estatisticas Fluminense - Principal;20240304;71;57;15;25.323943661971832;0;0
Estatisticas Fluminense - Principal;20240306;54;44;15;20.555555555555557;0;0
Estatisticas Fluminense - Principal;20240307;50;38;11;17.38;0;0
Estatisticas Fluminense - Principal;20240305;41;32;10;43.65853658536585;0;0
Estatisticas Fluminense - Principal;20240308;41;34;13;14.195121951219512;0;0
Estatisticas Fluminense - Principal;20240310;40;31;12;17.3;0;0
Adversarios;20240304;25;23;0;31.08;0;0
Consultas Especiais;20240304;21;17;0;9.285714285714286;0;0
Jogo;20240304;19;15;0;26.36842105263158;0;0
German Cano 2024;20240309;17;16;13;16.764705882352942;0;0
Jogador;20240309;17;17;0;20.352941176470587;0;0
Jogador;20240304;15;15;0;32.666666666666664;0;0
Jogador;20240305;15;12;1;31;0;0
Adversarios;20240309;14;12;0;28.857142857142858;0;0
Jogador;20240307;14;12;0;21.357142857142858;0;0
Jogo;20240306;14;9;0;26.071428571428573;0;0
Flamengo 0 X 1 Fluminense;20240307;13;12;10;26.846153846153847;0;0
Fluminense x Botafogo-RJ;20240304;13;12;0;32.15384615384615;0;0
Jogador;20240306;13;13;0;40.30769230769231;0;0
Jogo;20240309;13;10;1;16.153846153846153;0;0
Especiais Jogadores;20240304;12;10;0;82.16666666666667;0;0
Adversarios;20240306;11;10;0;50.63636363636363;0;0
Adversarios;20240308;11;10;0;65.18181818181819;0;0
Informacoes Gerais;20240309;11;9;0;10.636363636363637;0;0
Jogador;20240310;11;10;0;21.272727272727273;0;0
Jogo;20240308;11;10;0;48.09090909090909;0;0
Curiosidades e Titulos;20240309;10;8;0;50.1;0;0
Especiais Adversarios;20240304;10;8;0;20.6;0;0
Arbitros;20240309;10;10;0;10.1;0;0
Adversarios;20240310;9;8;0;67.55555555555556;0;0
Especiais Tecnico;20240306;9;5;0;13;0;0
Fluminense 2 X 4 Botafogo;20240304;9;7;0;11;0;0
German Cano 2024;20240310;9;9;8;38.333333333333336;0;0
