# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240506
# Data de termino: 20240512
Titulo da pagina e nome da tela;Data;Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Eventos principais;Receita total
Estatisticas Fluminense - Principal;20240509;93;79;42;23.93548387096774;0;0
Estatisticas Fluminense - Principal;20240510;92;72;23;15.445652173913043;0;0
Estatisticas Fluminense - Principal;20240511;53;41;17;12.49056603773585;0;0
Estatisticas Fluminense - Principal;20240512;50;40;20;23.7;0;0
Estatisticas Fluminense - Principal;20240508;49;43;12;54.285714285714285;0;0
Estatisticas Fluminense - Principal;20240506;44;34;11;13.909090909090908;0;0
Estatisticas Fluminense - Principal;20240507;39;34;9;17.58974358974359;0;0
Jogador;20240511;34;24;0;14.235294117647058;0;0
Jogador;20240510;32;22;1;22.8125;0;0
Jogador;20240509;29;19;2;22.275862068965516;0;0
Jogador;20240507;23;20;0;28.304347826086957;0;0
Jogo;20240508;21;12;0;84.47619047619048;0;0
Adversarios;20240509;18;12;0;71.38888888888889;0;0
Campeonatos;20240510;17;15;0;18.41176470588235;0;0
Jogo;20240512;17;9;0;93.76470588235294;0;0
Especiais Jogadores;20240510;16;12;0;47.8125;0;0
Jogador;20240508;16;11;1;16;0;0
Jogador;20240512;16;13;1;77.6875;0;0
Jogo;20240509;16;10;1;119.875;0;0
Adversarios;20240506;15;11;0;92.86666666666666;0;0
Adversarios;20240510;15;14;0;33.13333333333333;0;0
Especiais Jogadores;20240509;15;11;0;26.466666666666665;0;0
Jogador;20240506;15;14;1;25.466666666666665;0;0
Jogo;20240510;15;14;0;42.2;0;0
Libertadores da America;20240510;15;10;0;41.13333333333333;0;0
Fluminense x Colo Colo-Chile;20240510;14;14;0;34.785714285714285;0;0
Fluminense x Sao Paulo-SP;20240512;14;13;0;40.5;0;0
Adversarios;20240512;13;13;0;67.84615384615384;0;0
Fluminense x Colo Colo-Chile;20240508;13;10;0;51.07692307692308;0;0
Jogo;20240511;13;9;0;163;0;0
Especiais Jogadores;20240507;12;9;1;14.25;0;0
Jogo;20240507;12;9;0;23.166666666666668;0;0
Colo Colo 0 X 1 Fluminense;20240510;11;9;0;32.45454545454545;0;0
Especiais Jogadores;20240511;11;9;0;75.0909090909091;0;0
Jogo;20240506;11;8;0;24.363636363636363;0;0
Thiago Silva 2008;20240507;11;11;0;31.09090909090909;0;0
Fluminense x Colo Colo-Chile;20240509;10;9;0;46.5;0;0
German Cano 2024;20240506;10;8;2;30.1;0;0
German Cano 2024;20240509;10;10;6;52.1;0;0
Campeonatos;20240506;9;6;0;27.333333333333332;0;0
Campeonatos;20240509;9;8;0;17.666666666666668;0;0
Especiais Campeonatos;20240510;9;8;0;15;0;0
Especiais Jogadores;20240506;9;6;0;21.555555555555557;0;0
Manoel 2024;20240510;9;9;0;34.22222222222222;0;0
Arbitros;20240509;9;7;0;29.444444444444443;0;0
Adversarios;20240508;8;7;0;16.75;0;0
Campeonatos;20240507;8;6;0;26.125;0;0
German Cano 2024;20240510;8;8;4;35.75;0;0
Arbitros;20240512;8;8;0;40.25;0;0
Anderson Daronco;20240512;7;7;0;39.57142857142857;0;0
Botafogo SP 1 X 1 Fluminense;20240506;7;7;7;40.714285714285715;0;0
Campeonatos;20240511;7;6;0;15.285714285714286;0;0
Especiais Adversarios;20240510;7;7;0;14.428571428571429;0;0
Felipe Melo 2024;20240509;7;5;0;163.57142857142858;0;0
Fluminense x Universidad Catolica-Chile;20240509;7;6;3;16.285714285714285;0;0
Marcelo 2024;20240510;7;6;0;7.857142857142857;0;0
Martinelli 2024;20240510;7;6;0;15.285714285714286;0;0
Tec - Fernando Diniz;20240510;7;7;0;53.857142857142854;0;0
Especiais Adversarios;20240509;6;4;0;36;0;0
Especiais Adversarios;20240512;6;6;0;10.833333333333334;0;0
Especiais Jogos;20240508;6;6;0;12.5;0;0
German Cano 2024;20240508;6;5;2;26.666666666666668;0;0
Informacoes Gerais;20240510;6;6;0;26.666666666666668;0;0
Morumbi;20240512;6;5;0;52.166666666666664;0;0
Tecnico;20240510;6;6;0;16.166666666666668;0;0
(not set);20240510;5;5;0;13.6;0;0
Adversario do mesmo pais;20240509;5;4;0;5.6;0;0
Adversarios;20240507;5;4;0;3;0;0
Adversarios;20240511;5;3;0;71.2;0;0
Adversarios da Chile;20240509;5;4;0;27;0;0
Campeonatos;20240508;5;4;0;25.4;0;0
Campeonatos;20240512;5;5;0;11.4;0;0
Especiais Adversarios;20240508;5;5;0;14.8;0;0
Especiais Jogadores;20240512;5;4;0;11.4;0;0
Especiais Jogos;20240511;5;5;0;7.6;0;0
Especiais Tecnico;20240509;5;5;0;5;0;0
Especiais Tecnico;20240510;5;4;0;27.2;0;0
Estadios;20240512;5;5;0;4.4;0;0
Evanilson 2020;20240510;5;3;0;34.8;0;0
Informacoes Gerais;20240506;5;5;0;17.6;0;0
Informacoes Gerais;20240509;5;5;0;11.6;0;0
Maiores Artilheiros;20240506;5;4;0;17.6;0;0
Mais jogos no elenco atual;20240509;5;4;0;24;0;0
Paulo Henrique Ganso 2024;20240511;5;4;0;16.8;0;0
Tecnico;20240509;5;4;0;9.4;0;0
Wilmar Roldan;20240509;5;5;0;13;0;0
Arbitros;20240510;5;5;0;39.4;0;0
40 Maiores idolos;20240510;4;4;0;187;0;0
40 Maiores idolos;20240511;4;4;0;140.75;0;0
Colo Colo 0 X 1 Fluminense;20240511;4;4;0;8.75;0;0
Consulta Placar;20240509;4;3;0;26.5;0;0
Douglas Costa 2024;20240510;4;4;0;10;0;0
Especiais Campeonatos;20240509;4;4;0;16.25;0;0
Especiais Estadios;20240510;4;4;0;7.25;0;0
Especiais Historicos;20240508;4;4;0;14;0;0
Especiais Jogadores;20240508;4;4;0;26.75;0;0
Especiais Jogos;20240510;4;2;0;12;0;0
Estadios;20240510;4;3;0;9.5;0;0
Fluminense 1 X 0 Flamengo;20240511;4;2;0;75.5;0;0
Fluminense 2 X 1 Flamengo;20240509;4;2;0;15.5;0;0
Football & Athletic 0 X 11 Fluminense;20240508;4;2;0;26.25;0;0
German Cano 2024;20240511;4;4;2;43;0;0
German Cano 2024;20240512;4;4;2;28.5;0;0
Goleiros com mais jogos;20240509;4;3;0;14;0;0
Informacoes Gerais;20240508;4;3;0;6.25;0;0
Joueur;20240511;4;1;0;61.25;0;0
Maiores Artilheiros;20240510;4;4;0;101.25;0;0
Mais jogos no(a) Libertadores da America;20240509;4;2;0;22.75;0;0
Mais jogos no(a) Libertadores da America;20240510;4;3;0;38.5;0;0
Manoel 2024;20240509;4;4;0;14.75;0;0
Marcelo 2024;20240511;4;4;1;9;0;0
Martinelli 2024;20240509;4;4;0;7.5;0;0
Sequencias - Libertadores da America;20240510;4;3;0;22.75;0;0
Tec - Fernando Diniz;20240511;4;4;0;66.25;0;0
Todos os jogos em campeonato;20240510;4;4;0;15.5;0;0
Todos os jogos no(a) Libertadores da America;20240510;4;4;0;27;0;0
Treinador com mais jogos;20240510;4;4;0;45.25;0;0
Tecnico;20240511;4;4;0;3.75;0;0
Arbitros;20240508;4;4;0;5;0;0
(not set);20240509;3;3;0;16;0;0
Adversarios Chile;20240509;3;3;0;15.666666666666666;0;0
