Titulo da pagina e nome da tela;Data;Sessoes;Usuarios;Novos usuarios
Estatisticas Fluminense - Principal;20230921;105;81;27
Estatisticas Fluminense - Principal;20230919;94;76;31
Estatisticas Fluminense - Principal;20230920;85;68;28
Estatisticas Fluminense - Principal;20230918;70;58;26
Estatisticas Fluminense - Principal;20230923;62;46;23
Estatisticas Fluminense - Principal;20230922;57;50;17
Adversarios;20230919;46;39;1
Adversarios;20230921;40;36;1
Adversarios;20230920;36;30;0
Jogador;20230921;35;22;0
Estatisticas Fluminense - Principal;20230924;34;25;14
Fluminense x Cruzeiro-MG;20230921;30;27;0
Consultas Especiais;20230921;29;19;0
Jogo;20230921;26;23;1
Fluminense x Cruzeiro-MG;20230920;25;22;0
Jogador;20230923;24;20;0
Jogador;20230919;22;21;0
Dario Herrera;20230922;21;18;0
Fluminense x Cruzeiro-MG;20230919;21;17;0
Adversarios;20230918;20;18;0
Consultas Especiais;20230919;19;17;0
Arbitros;20230922;19;19;0
Jogo;20230918;18;17;0
Jogo;20230923;17;13;0
Especiais Jogadores;20230921;16;10;0
Jogador;20230920;16;14;0
Jogo;20230919;16;13;1
Jogador;20230922;15;12;0
Jogo;20230920;14;13;0
Jogo;20230922;14;12;0
Consultas Especiais;20230920;13;12;0
Adversarios;20230922;12;12;0
Adversarios;20230923;12;7;0
Jogador;20230918;12;11;0
Consultas Especiais;20230918;11;10;0
Consultas Especiais;20230922;11;7;0
Consultas Especiais;20230923;11;10;0
Estadios;20230919;11;11;0
Informacoes Gerais;20230921;11;9;0
Arbitros;20230918;11;11;1
Arbitros;20230919;11;10;1
Especiais Jogadores;20230923;10;9;0
Especiais Jogos;20230921;10;7;0
Fluminense x Internacional-RS;20230921;10;9;0
Adversarios;20230924;9;9;0
Especiais Jogadores;20230919;9;8;0
Consultas Especiais;20230924;8;6;0
Especiais Adversarios;20230919;8;6;0
Especiais Jogadores;20230922;8;5;0
Fluminense x Cruzeiro-MG;20230918;8;8;0
Todos os Jogos contra Cruzeiro-MG;20230919;8;5;0
Arbitros;20230920;8;5;0
Especiais Gerais;20230921;7;6;0
Especiais Jogadores;20230918;7;6;0
Especiais Jogos;20230920;7;6;0
Informacoes Gerais;20230920;7;5;0
Jogador;20230924;7;7;0
Campeonatos;20230920;6;6;0
Cruzador Pelosus 1 X 3 Fluminense;20230922;6;3;0
Especiais Adversarios;20230921;6;6;0
Especiais Tecnico;20230921;6;6;0
Fluminense x Internacional-RS;20230919;6;5;0
Informacoes Gerais;20230919;6;5;0
Camisa;20230919;5;5;0
Campeonatos;20230918;5;4;0
Campeonatos;20230924;5;3;0
Especiais Campeonatos;20230921;5;5;0
Estadios;20230918;5;4;0
Fluminense 1 X 0 Cruzeiro;20230921;5;5;0
Fluminense x Flamengo-RJ;20230919;5;5;0
Informacoes Gerais;20230918;5;3;0
Jogo;20230924;5;4;0
Leo Fernandez 2023;20230921;5;4;0
Todos os Jogos contra Cruzeiro-MG;20230921;5;5;0
Treinador com mais jogos;20230921;5;5;0
Adversario x Estadio;20230919;4;4;0
