# ----------------------------------------;;;;;;;
# Exportacao do CSV de relatorio;;;;;;;
# Conta: Rodrigo_fluzao;;;;;;;
# Propriedade: RodrigoFlu;;;;;;;
# ----------------------------------------;;;;;;;
# ;;;;;;;
# Todos os usuarios;;;;;;;
# Data de inicio: 20240429;;;;;;;
# Data de termino: 20240505;;;;;;;
Titulo da pagina e nome da tela;Data;Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Eventos principais;Receita total
Estatisticas Fluminense - Principal;20240504;118;104;58;21.872.881.355.932.200;0;0
Estatisticas Fluminense - Principal;20240501;90;72;33;18.044.444.444.444.400;0;0
Estatisticas Fluminense - Principal;20240429;82;61;26;23.146.341.463.414.600;0;0
Estatisticas Fluminense - Principal;20240502;77;58;13;1.709.090.909.090.900;0;0
Estatisticas Fluminense - Principal;20240503;72;54;18;19.819.444.444.444.400;0;0
Estatisticas Fluminense - Principal;20240430;68;56;19;21.235.294.117.647.000;0;0
Arbitros;20240504;34;30;0;27.441.176.470.588.200;0;0
Estatisticas Fluminense - Principal;20240505;33;25;9;11.909.090.909.090.900;0;0
Raphael Claus;20240504;32;27;0;1.690.625;0;0
Jogador;20240504;30;28;2;31.9;0;0
Jogador;20240501;29;24;1;25.344.827.586.206.800;0;0
Jogador;20240429;22;16;0;2.959.090.909.090.900;0;0
Jogador;20240503;22;17;0;24.954.545.454.545.400;0;0
Adversarios;20240503;19;17;0;18.789.473.684.210.500;0;0
Jogador;20240502;19;16;0;28.105.263.157.894.700;0;0
Fluminense x Atletico MG-MG;20240504;18;16;0;32.333.333.333.333.300;0;0
Fluminense x Sampaio Correa-MA;20240501;18;18;0;6.577.777.777.777.770;0;0
German Cano 2024;20240504;18;18;10;33;0;0
Jogo;20240504;18;16;1;7.066.666.666.666.660;0;0
Adversarios;20240429;17;12;0;5.623.529.411.764.700;0;0
Adversarios;20240501;17;15;0;27.235.294.117.647.000;0;0
Especiais Jogadores;20240501;17;14;0;21.352.941.176.470.500;0;0
Fluminense x Atletico MG-MG;20240503;16;13;0;389.375;0;0
Jogador;20240430;16;15;1;279.375;0;0
Adversarios;20240430;15;14;0;9.626.666.666.666.660;0;0
Adversarios;20240504;15;11;0;72.6;0;0
Jogo;20240429;15;14;0;7.766.666.666.666.660;0;0
Adversarios;20240502;14;13;0;16.785.714.285.714.200;0;0
Fluminense x Sampaio Correa-MA;20240430;14;12;0;22.142.857.142.857.100;0;0
German Cano 2024;20240505;14;11;9;31.857.142.857.142.800;0;0
Jogo;20240501;14;11;0;9.678.571.428.571.420;0;0
Especiais Jogadores;20240503;13;4;0;3.569.230.769.230.760;0;0
Especiais Jogadores;20240504;13;13;0;4.453.846.153.846.150;0;0
