# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
#  
# Data de inicio: 20240617
# Data de termino: 20240623
Nº dia;Novos usuarios
0000;36
0001;38
0002;47
0003;70
0004;47
0005;33
0006;55

# Data de inicio: 20240617
# Data de termino: 20240623
Nº dia;Usuarios recorrentes
0000;38
0001;41
0002;51
0003;29
0004;38
0005;36
0006;34

#  
# Data de inicio: 20240617
# Data de termino: 20240623
Coorte;Dia 1;Dia 7
0;0.027777777777777776;0
1;0.02631578947368421;0
2;0.0425531914893617;0
3;0.028985507246376812;0
4;0.02127659574468085;0
5;0;0
6;0;0

#  
# Data de inicio: 20240617
# Data de termino: 20240623
Coorte;Dia 1;Dia 7
0;83;0
1;227;0
2;1597;0
3;40.5;0
4;58;0
5;0;0
6;0;0

#  
# Data de inicio: 20240513
# Data de termino: 20240623
Coorte;Usuarios
0000;1
0001;0.026384083044982697
0002;0.01491882404563405
0003;0.010240427426536063
0004;0.010459299681673489
0005;0.009389671361502348
0006;0.007681228996639462
0007;0.011246943765281174
0008;0.006968641114982578
0009;0.00816326530612245
0010;0.004248539564524694
0011;0.003791982665222102
0012;0.00555247084952804
0013;0.006857142857142857
0014;0.007272727272727273
0015;0.0049813200498132005
0016;0.007033248081841432
0017;0.003973509933774834
0018;0.004095563139931741
0019;0.004922644163150493
0020;0.002175489485134155
0021;0.006046863189720333
0022;0.001579778830963665
0023;0.004152823920265781
0024;0.005263157894736842
0025;0.0073059360730593605
0026;0.002904162633107454
0027;0.0031380753138075313
0028;0.0066298342541436465
0029;0.0035545023696682463
0030;0.0025673940949935813
0031;0
0032;0
0033;0
0034;0.0018552875695732839
0035;0
0036;0
0037;0
0038;0.003067484662576687
0039;0.003676470588235294
0040;0
0041;0

#  
# Data de inicio: 20240513
# Data de termino: 20240623
Coorte;Tempo medio de engajamento
0000;89.33461931746444
0001;187.81666666666666
0002;98.6910569105691
0003;78.75
0004;163.01282051282053
0005;123.25
0006;64.9054054054054
0007;99.52083333333333
0008;91.11428571428571
0009;66.04411764705883
0010;62.25757575757576
0011;62.015625
0012;32.29032258064516
0013;72.05
0014;98.22413793103448
0015;58.107142857142854
0016;103.38888888888889
0017;51.5
0018;52.56
0019;35.04861111111111
0020;12.043478260869565
0021;40.57575757575758
0022;8.380952380952381
0023;76.55
0024;31.31578947368421
0025;27.77777777777778
0026;2.6470588235294117
0027;28.1875
0028;98.46666666666667
0029;19.071428571428573
0030;10.461538461538462
0031;0
0032;0
0033;0
0034;65.88888888888889
0035;0
0036;0
0037;0
0038;15.2
0039;17.5
0040;0
0041;0

#  
# Data de inicio: 20240225
# Data de termino: 20240623
Coorte;LTV
0000;0
0001;0
0002;0
0003;0
0004;0
0005;0
0006;0
0007;0
0008;0
0009;0
0010;0
0011;0
0012;0
0013;0
0014;0
0015;0
0016;0
0017;0
0018;0
0019;0
0020;0
0021;0
0022;0
0023;0
0024;0
0025;0
0026;0
0027;0
0028;0
0029;0
0030;0
0031;0
0032;0
0033;0
0034;0
0035;0
0036;0
0037;0
0038;0
0039;0
0040;0
0041;0
0042;0
0043;0
0044;0
0045;0
0046;0
0047;0
0048;0
0049;0
0050;0
0051;0
0052;0
0053;0
0054;0
0055;0
0056;0
0057;0
0058;0
0059;0
0060;0
0061;0
0062;0
0063;0
0064;0
0065;0
0066;0
0067;0
0068;0
0069;0
0070;0
0071;0
0072;0
0073;0
0074;0
0075;0
0076;0
0077;0
0078;0
0079;0
0080;0
0081;0
0082;0
0083;0
0084;0
0085;0
0086;0
0087;0
0088;0
0089;0
0090;0
0091;0
0092;0
0093;0
0094;0
0095;0
0096;0
0097;0
0098;0
0099;0
0100;0
0101;0
0102;0
0103;0
0104;0
0105;0
0106;0
0107;0
0108;0
0109;0
0110;0
0111;0
0112;0
0113;0
0114;0
0115;0
0116;0
0117;0
0118;0
0119;0
