# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20230803
# Data de termino: 20240314
Caminho da pagina e classe da tela;Data;Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Conversoes;Receita total
/adversario;20230803;11;9;0;96;27272727272727;0;0
/adversario;20230804;21;20;1;36;285714285714285;0;0
/adversario;20230805;17;17;0;32;588235294117645;0;0
/adversario;20230806;21;21;0;47;38095238095238;0;0
/adversario;20230807;32;29;0;24;65625;0;0
/adversario;20230808;28;24;0;79;82142857142857;0;0
/adversario;20230809;26;23;0;23;692307692307693;0;0
/adversario;20230810;31;27;0;20;93548387096774;0;0
/adversario;20230811;39;37;2;18;17948717948718;0;0
/adversario;20230812;22;22;2;49;13636363636363;0;0
/adversario;20230813;22;19;0;51;0;0
/adversario;20230814;2;2;1;7;5;0;0
/adversario;20230815;8;7;0;26;0;0
/adversario;20230816;7;7;0;10;714285714285714;0;0
/adversario;20230817;10;8;0;11;8;0;0
/adversario;20230818;15;14;0;15;266666666666667;0;0
/adversario;20230819;27;23;1;19;296296296296298;0;0
/adversario;20230820;10;10;0;16;8;0;0
/adversario;20230821;19;19;0;18;36842105263158;0;0
/adversario;20230822;20;19;1;25;45;0;0
/adversario;20230823;17;17;0;21;0;0
/adversario;20230824;31;29;0;19;774193548387096;0;0
/adversario;20230825;35;29;0;29;257142857142856;0;0
/adversario;20230826;28;25;0;37;32142857142857;0;0
/adversario;20230827;27;26;2;13;296296296296296;0;0
/adversario;20230828;18;17;0;49;388888888888886;0;0
/adversario_turno;20230828;1;1;0;35;0;0
/adversario;20230829;17;16;0;84;3529411764706;0;0
/adversario;20230830;22;21;0;22;681818181818183;0;0
/adversario;20230831;29;25;1;16;413793103448278;0;0
/adversario;20230901;36;34;0;22;75;0;0
/adversario;20230902;22;21;1;19;90909090909091;0;0
/adversario;20230903;28;23;2;21;392857142857142;0;0
/adversario;20230904;12;11;1;37;166666666666664;0;0
/adversario;20230905;23;19;2;58;21739130434783;0;0
/adversario;20230906;13;12;2;54;69230769230769;0;0
/adversario;20230907;10;7;2;59;9;0;0
/adversario;20230908;12;11;1;18;333333333333332;0;0
/adversario;20230909;13;7;0;32;30769230769231;0;0
/adversario;20230910;11;9;0;39;36363636363637;0;0
/adversario;20230911;16;13;1;42;375;0;0
/adversario;20230912;14;13;0;113;71428571428571;0;0
/adversario;20230913;17;13;0;87;0;0
/adversario;20230914;24;20;3;50;5;0;0
/adversario;20230915;41;36;0;28;463414634146343;0;0
/adversario_turno;20230915;1;1;0;2;0;0
/adversario;20230916;36;33;2;27;11111111111111;0;0
/adversario;20230917;10;9;0;18;1;0;0
/adversario;20230918;20;18;0;37;0;0
/adversario;20230919;46;39;1;41;97826086956522;0;0
/adversario;20230920;36;30;0;33;75;0;0
/adversario_turno;20230920;1;1;0;13;0;0
/adversario;20230921;40;36;1;46;875;0;0
/adversario;20230922;12;12;0;23;0;0
/adversario;20230923;12;7;0;20;083333333333332;0;0
/adversario;20230924;9;9;0;144;77777777777777;0;0
/adversario;20230925;19;17;1;29;36842105263158;0;0
/adversario;20230926;28;24;0;31;642857142857142;0;0
/adversario;20230927;28;28;1;20;785714285714285;0;0
/adversario;20230928;22;21;0;17;59090909090909;0;0
/adversario;20230929;19;19;0;44;8421052631579;0;0
/adversario;20230930;17;16;0;11;117647058823529;0;0
/adversario;20231001;9;9;0;32;111111111111114;0;0
/adversario;20231002;11;9;0;59;36363636363637;0;0
/adversario;20231003;12;11;0;75;25;0;0
/adversario;20231004;18;16;0;46;666666666666664;0;0
/adversario;20231005;51;47;1;30;392156862745097;0;0
/adversario;20231006;45;37;0;18;866666666666667;0;0
/adversario;20231007;18;17;1;23;666666666666668;0;0
/adversario;20231008;34;31;0;14;705882352941176;0;0
/adversario;20231009;23;21;0;39;0;0
/adversario;20231010;8;8;0;61;125;0;0
/adversario;20231011;10;9;0;48;3;0;0
/adversario;20231012;6;6;0;22;166666666666668;0;0
/adversario;20231013;4;4;0;6;5;0;0
/adversario;20231014;7;6;0;20;428571428571427;0;0
/adversario;20231015;5;5;0;14;6;0;0
/adversario;20231016;15;15;0;28;933333333333334;0;0
/adversario;20231017;15;15;0;11;2;0;0
