# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20230803
# Data de termino: 20240314
Caminho da pagina e classe da tela;Data;Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Conversoes;Receita total
/campeonato;20230803;10;10;1;21;8;0;0
/campeonato;20230804;5;5;0;45;6;0;0
/campeonato;20230805;2;2;0;13;0;0
/campeonato;20230806;8;7;0;76;125;0;0
/campeonato;20230807;12;11;0;20;833333333333332;0;0
/campeonato;20230808;8;8;0;12;375;0;0
/campeonato;20230809;12;11;0;34;583333333333336;0;0
/campeonato;20230810;7;7;1;28;0;0
/campeonato;20230811;6;6;0;14;166666666666666;0;0
/campeonato;20230812;7;4;0;23;0;0
/campeonato;20230813;5;4;0;17;4;0;0
/campeonato;20230814;11;6;1;37;09090909090909;0;0
/campeonato_cartao;20230814;2;2;0;25;0;0
/campeonato;20230815;6;5;0;13;0;0
/campeonato;20230816;4;3;0;20;75;0;0
/campeonato;20230817;6;4;0;11;666666666666666;0;0
/campeonato;20230818;2;2;0;25;0;0
/campeonato;20230820;9;9;0;9;444444444444445;0;0
/campeonato;20230821;7;6;0;24;857142857142858;0;0
/campeonato;20230822;4;4;0;22;0;0
/campeonato;20230823;6;6;0;57;666666666666664;0;0
/campeonato;20230824;13;12;0;21;615384615384617;0;0
/campeonato;20230825;14;13;0;48;5;0;0
/campeonato;20230826;10;9;0;56;9;0;0
/campeonato;20230827;14;14;0;17;428571428571427;0;0
/campeonato;20230828;6;5;0;28;333333333333332;0;0
/campeonato;20230829;10;10;0;58;0;0
/campeonato;20230830;10;10;0;54;1;0;0
/campeonato;20230831;13;13;0;19;0;0
/campeonato;20230901;14;14;0;38;57142857142857;0;0
/campeonato;20230902;6;5;0;12;666666666666666;0;0
/campeonato;20230903;5;5;0;18;4;0;0
/campeonato;20230904;7;7;0;13;428571428571429;0;0
/campeonato;20230905;7;5;0;9;428571428571429;0;0
/campeonato;20230906;12;7;0;14;583333333333334;0;0
/campeonato;20230907;7;5;0;8;285714285714286;0;0
/campeonato;20230908;5;4;0;9;4;0;0
/campeonato;20230909;3;2;0;36;666666666666664;0;0
/campeonato;20230910;1;1;0;16;0;0
/campeonato;20230911;9;8;0;31;22222222222222;0;0
/campeonato;20230912;3;3;0;20;666666666666668;0;0
/campeonato;20230913;2;2;1;6;0;0
/campeonato;20230914;5;4;0;17;0;0
/campeonato;20230915;5;5;0;7;8;0;0
/campeonato;20230916;7;7;0;20;714285714285715;0;0
/campeonato;20230917;3;3;0;20;0;0
/campeonato;20230918;5;4;0;38;0;0
/campeonato;20230919;4;4;0;21;0;0
/campeonato;20230920;6;6;0;6;833333333333333;0;0
/campeonato;20230921;3;3;0;18;666666666666668;0;0
/campeonato;20230922;4;4;0;18;5;0;0
/campeonato;20230923;4;4;0;34;0;0
/campeonato;20230924;5;3;0;79;2;0;0
/campeonato;20230925;11;11;0;13;636363636363637;0;0
/campeonato;20230926;11;11;0;22;363636363636363;0;0
/campeonato;20230927;10;10;0;11;9;0;0
/campeonato;20230928;13;12;0;20;076923076923077;0;0
/campeonato;20230929;9;9;0;79;55555555555556;0;0
/campeonato;20230930;3;3;0;42;666666666666664;0;0
/campeonato;20231001;6;6;0;32;5;0;0
/campeonato;20231002;4;4;0;18;0;0
/campeonato;20231003;10;9;0;18;3;0;0
/campeonato;20231004;5;4;0;32;8;0;0
/campeonato;20231005;17;17;0;11;588235294117647;0;0
/campeonato;20231006;14;12;0;17;142857142857142;0;0
/campeonato;20231007;8;7;0;17;25;0;0
/campeonato;20231008;7;7;0;10;0;0
/campeonato;20231009;3;2;0;8;0;0
/campeonato;20231010;6;5;0;11;666666666666666;0;0
/campeonato;20231011;4;4;0;5;5;0;0
/campeonato;20231012;6;5;0;17;0;0
/campeonato;20231013;6;6;0;202;83333333333334;0;0
/campeonato;20231014;5;5;0;78;4;0;0
/campeonato;20231015;3;3;0;4;0;0
/campeonato;20231016;3;2;0;15;666666666666666;0;0
/campeonato;20231017;4;4;0;196;75;0;0
/campeonato;20231018;4;4;0;61;25;0;0
/campeonato;20231019;8;8;0;23;375;0;0
/campeonato;20231020;2;2;0;2;0;0
/campeonato;20231021;2;2;0;13;5;0;0
/campeonato;20231022;4;4;0;19;25;0;0
/campeonato;20231023;6;6;0;22;833333333333332;0;0
/campeonato;20231024;1;1;0;48;0;0
/campeonato;20231025;6;5;0;10;833333333333334;0;0
/campeonato;20231026;10;8;0;14;5;0;0
/campeonato;20231027;3;3;1;27;0;0
/campeonato;20231028;7;6;0;23;571428571428573;0;0
/campeonato;20231029;8;7;0;43;625;0;0
/campeonato;20231030;6;6;0;13;666666666666666;0;0
/campeonato;20231031;4;4;0;10;25;0;0
/campeonato;20231101;7;6;0;27;0;0
/campeonato;20231102;6;6;0;14;5;0;0
/campeonato;20231103;9;8;0;18;666666666666668;0;0
/campeonato;20231104;19;19;0;27;68421052631579;0;0
/campeonato;20231105;17;16;0;19;88235294117647;0;0
/campeonato;20231106;11;11;0;17;454545454545453;0;0
/campeonato;20231107;22;18;0;25;772727272727273;0;0
/campeonato;20231108;12;10;0;13;083333333333334;0;0
/campeonato;20231109;11;10;0;20;727272727272727;0;0
/campeonato;20231110;16;14;0;19;75;0;0
/campeonato_arbestado;20231110;1;1;0;4;0;0
/campeonato;20231111;7;7;0;28;285714285714285;0;0
/campeonato;20231112;6;6;0;13;5;0;0
/campeonato;20231113;10;9;0;20;8;0;0
/campeonato;20231114;8;8;0;9;75;0;0
/campeonato;20231115;16;14;0;38;25;0;0
/campeonato;20231116;9;9;0;25;22222222222222;0;0
/campeonato;20231117;10;10;1;35;1;0;0
/campeonato;20231118;9;9;0;30;444444444444443;0;0
/campeonato;20231119;8;7;0;7;5;0;0
/campeonato;20231120;9;9;0;33;888888888888886;0;0
/campeonato;20231121;9;8;0;13;88888888888889;0;0
/campeonato;20231122;6;6;0;9;333333333333334;0;0
/campeonato;20231123;11;10;0;26;727272727272727;0;0
/campeonato;20231124;10;9;0;13;8;0;0
/campeonato_cartao;20231124;1;1;0;39;0;0
/campeonato;20231125;12;10;0;53;416666666666664;0;0
/campeonato;20231126;9;7;0;8;222222222222221;0;0
/campeonato;20231127;13;13;0;21;692307692307693;0;0
/campeonato;20231128;8;7;0;19;125;0;0
/campeonato;20231129;11;11;1;20;09090909090909;0;0
/campeonato;20231130;10;10;0;19;6;0;0
/campeonato;20231201;6;6;0;8;833333333333334;0;0
/campeonato;20231202;7;6;0;13;0;0
/campeonato;20231203;5;5;0;10;4;0;0
/campeonato;20231204;9;7;0;11;444444444444445;0;0
/campeonato;20231205;18;18;1;11;166666666666666;0;0
/campeonato;20231206;9;8;0;8;88888888888889;0;0
/campeonato;20231207;15;14;0;19;4;0;0
/campeonato;20231208;9;8;0;12;88888888888889;0;0
/campeonato;20231209;7;7;0;11;0;0
/campeonato;20231210;16;15;2;25;0625;0;0
/campeonato;20231211;8;8;0;8;875;0;0
/campeonato;20231212;3;3;0;68;0;0
/campeonato;20231213;9;9;0;17;666666666666668;0;0
/campeonato;20231214;3;3;0;37;666666666666664;0;0
/campeonato;20231215;6;6;0;38;833333333333336;0;0
/campeonato;20231216;5;5;0;13;2;0;0
/campeonato;20231217;10;10;0;55;2;0;0
/campeonato;20231218;12;12;0;60;083333333333336;0;0
/campeonato;20231219;12;9;0;49;666666666666664;0;0
/campeonato;20231220;6;6;0;13;833333333333334;0;0
/campeonato;20231221;5;4;0;17;6;0;0
/campeonato_cartao;20231221;1;1;0;4;0;0
/campeonato;20231222;12;11;0;14;833333333333334;0;0
/campeonato;20231223;4;4;0;127;0;0
/campeonato;20231224;4;3;0;22;5;0;0
/campeonato;20231225;5;5;0;17;4;0;0
/campeonato;20231226;8;8;0;23;625;0;0
/campeonato_cartao;20231226;1;1;0;1;0;0
/campeonato;20231227;4;4;0;33;5;0;0
/campeonato;20231228;3;3;0;24;333333333333332;0;0
/campeonato;20231229;2;2;0;9;0;0
/campeonato;20231230;3;3;0;6;666666666666667;0;0
/campeonato;20231231;1;1;0;9;0;0
/campeonato;20240101;2;2;0;12;5;0;0
/campeonato;20240102;1;1;0;4;0;0
/campeonato;20240103;7;3;0;30;428571428571427;0;0
/campeonato;20240104;7;7;0;14;285714285714286;0;0
