# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20230803
# Data de termino: 20240314
Caminho da pagina e classe da tela;Data;Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Conversoes;Receita total
/jogador;20230803;20;15;0;27;8;0;0
/jogador;20230804;19;17;0;30;105263157894736;0;0
/jogador;20230805;16;15;0;44;3125;0;0
/jogador;20230806;25;20;0;26;92;0;0
/jogador;20230807;28;23;2;23;821428571428573;0;0
/jogador;20230808;19;17;0;26;789473684210527;0;0
/jogador_cartao/671240000000;20230808;1;1;0;4;0;0
/jogador;20230809;24;24;0;25;041666666666668;0;0
/jogador;20230810;24;20;2;27;625;0;0
/jogador;20230811;14;13;0;25;928571428571427;0;0
/jogador;20230812;13;13;0;14;23076923076923;0;0
/jogador;20230813;16;13;1;47;6875;0;0
/jogador;20230814;19;17;0;32;578947368421055;0;0
/jogador;20230815;15;13;0;18;4;0;0
/jogador;20230816;10;9;0;25;0;0
/jogador;20230817;26;22;0;25;307692307692307;0;0
/jogador;20230818;19;18;0;21;842105263157894;0;0
/jogador;20230819;26;23;1;16;96153846153846;0;0
/jogador;20230820;31;25;2;20;032258064516128;0;0
/jogador;20230821;31;27;1;17;225806451612904;0;0
/jogador;20230822;12;10;0;67;25;0;0
/jogador;20230823;21;18;1;21;428571428571427;0;0
/jogador;20230824;24;24;0;36;833333333333336;0;0
/jogador;20230825;31;27;1;25;677419354838708;0;0
/jogador;20230826;22;19;0;31;954545454545453;0;0
/jogador;20230827;27;27;0;40;74074074074074;0;0
/jogador;20230828;18;16;0;184;83333333333334;0;0
/jogador;20230829;14;12;0;109;85714285714286;0;0
/jogador;20230830;23;18;0;36;73913043478261;0;0
/jogador;20230831;28;25;0;50;32142857142857;0;0
/jogador;20230901;43;38;1;21;697674418604652;0;0
/jogador;20230902;20;15;1;16;3;0;0
/jogador;20230903;26;21;1;16;653846153846153;0;0
/jogador;20230904;15;11;0;14;133333333333333;0;0
/jogador;20230905;20;15;0;25;2;0;0
/jogador;20230906;24;24;1;65;08333333333333;0;0
/jogador;20230907;27;22;2;83;18518518518519;0;0
/jogador;20230908;25;21;0;25;56;0;0
/jogador;20230909;17;14;0;16;764705882352942;0;0
/jogador;20230910;14;13;0;18;214285714285715;0;0
/jogador;20230911;24;21;1;25;5;0;0
/jogador;20230912;24;21;1;22;75;0;0
/jogador;20230913;20;19;0;32;15;0;0
/jogador;20230914;28;25;0;18;75;0;0
/jogador;20230915;46;36;0;32;108695652173914;0;0
/jogador;20230916;30;24;1;44;13333333333333;0;0
/jogador;20230917;13;12;2;58;0;0
/jogador;20230918;11;11;0;166;36363636363637;0;0
/jogador;20230919;21;20;0;20;61904761904762;0;0
/jogador;20230920;16;14;0;35;3125;0;0
/jogador;20230921;32;21;0;63;40625;0;0
/jogador;20230922;14;11;0;29;285714285714285;0;0
/jogador;20230923;21;18;0;37;42857142857143;0;0
/jogador;20230924;7;7;0;13;285714285714286;0;0
