Título;Extenso;Sessões;Usuários;Novos usuários;Data
Estatisticas Fluminense - Principal;20230809;104;85;44;09/08/2023
Estatisticas Fluminense - Principal;20230808;88;71;46;08/08/2023
Estatisticas Fluminense - Principal;20230807;87;71;39;07/08/2023
Estatisticas Fluminense - Principal;20230810;86;61;30;10/08/2023
Estatisticas Fluminense - Principal;20230811;79;66;34;11/08/2023
Estatisticas Fluminense - Principal;20230806;76;60;39;06/08/2023
Estatisticas Fluminense - Principal;20230804;63;54;39;04/08/2023
Estatisticas Fluminense - Principal;20230805;57;53;42;05/08/2023
Estatisticas Fluminense - Principal;20230812;54;40;20;12/08/2023
Estatisticas Fluminense - Principal;20230803;48;42;34;03/08/2023
Nelio 1970;20230810;41;37;36;10/08/2023
Adversarios;20230811;39;37;2;11/08/2023
Fluminense x Olimpia-Paraguai;20230811;38;32;0;11/08/2023
Consultas Especiais;20230810;33;24;0;10/08/2023
Adversarios;20230807;32;29;0;07/08/2023
Adversarios;20230810;31;27;0;10/08/2023
Consultas Especiais;20230809;31;24;0;09/08/2023
Adversarios;20230808;28;24;0;08/08/2023
Jogador;20230807;28;23;2;07/08/2023
Jogador;20230806;27;22;0;06/08/2023
Jogador;20230809;27;26;1;09/08/2023
Adversarios;20230809;26;23;0;09/08/2023
Consultas Especiais;20230806;26;18;0;06/08/2023
Fluminense x Argentino Juniors-Argentina;20230808;26;23;0;08/08/2023
Consultas Especiais;20230807;24;21;0;07/08/2023
Consultas Especiais;20230808;24;20;0;08/08/2023
Consultas Especiais;20230811;24;19;0;11/08/2023
Jogador;20230810;24;20;2;10/08/2023
Adversarios;20230812;22;22;2;12/08/2023
Jogador;20230803;22;17;0;03/08/2023
Adversarios;20230804;21;20;1;04/08/2023
Adversarios;20230806;21;21;0;06/08/2023
Jogador;20230808;21;19;0;08/08/2023
Jogo;20230807;20;18;0;07/08/2023
Consultas Especiais;20230803;19;13;0;03/08/2023
Jogador;20230804;19;17;0;04/08/2023
Jogo;20230809;19;19;1;09/08/2023
Fluminense x Palmeiras-SP;20230805;18;16;1;05/08/2023
Adversarios;20230805;17;17;0;05/08/2023
Consultas Especiais;20230804;16;14;0;04/08/2023
Fluminense x Palmeiras-SP;20230804;16;14;0;04/08/2023
Fluminense x Palmeiras-SP;20230806;16;15;0;06/08/2023
Jogador;20230805;16;15;0;05/08/2023
Jogo;20230806;16;15;0;06/08/2023
Especiais Jogadores;20230806;15;11;0;06/08/2023
Especiais Jogadores;20230810;15;11;0;10/08/2023
Jogo;20230804;15;11;0;04/08/2023
Consultas Especiais;20230812;14;9;0;12/08/2023
Especiais Jogadores;20230808;14;13;0;08/08/2023
Fluminense x Olimpia-Paraguai;20230810;14;14;0;10/08/2023
Informacoes Gerais;20230809;14;13;1;09/08/2023
Jogador;20230811;14;13;0;11/08/2023
Jogo;20230811;14;13;0;11/08/2023
Fluminense 2 X 1 Palmeiras;20230806;13;11;0;06/08/2023
Jogador;20230812;13;13;0;12/08/2023
Jogo;20230803;13;11;2;03/08/2023
Campeonatos;20230807;12;11;0;07/08/2023
Campeonatos;20230809;12;11;0;09/08/2023
Consultas Especiais;20230805;12;10;0;05/08/2023
Especiais Jogadores;20230809;12;10;0;09/08/2023
Fluminense 0 X 1 Argentino Juniors;20230808;12;12;10;08/08/2023
Informacoes Gerais;20230808;12;11;0;08/08/2023
Jogo;20230810;12;12;3;10/08/2023
Arbitros;20230805;12;10;1;05/08/2023
Adversarios;20230803;11;9;0;03/08/2023
Fluminense x Guarani Paraguai-Paraguai;20230809;11;10;9;09/08/2023
Jogo;20230808;11;10;1;08/08/2023
Arbitros;20230803;11;10;2;03/08/2023
Campeonatos;20230803;10;10;1;03/08/2023
Estadios;20230811;10;10;0;11/08/2023
Fluminense 3 X 1 Olimpia;20230811;10;9;0;11/08/2023
Fluminense x Gremio-RS;20230812;10;9;0;12/08/2023
John Kennedy 2023;20230809;10;8;0;09/08/2023
Clinamute Vieira Franca;20230804;9;3;3;04/08/2023
Especiais Jogadores;20230807;9;9;0;07/08/2023
Fluminense x Argentino Juniors-Argentina;20230807;9;8;0;07/08/2023
Fluminense x San Lorenzo-Argentina;20230808;9;8;7;08/08/2023
Informacoes Gerais;20230806;9;8;0;06/08/2023
Jogo;20230805;9;8;1;05/08/2023
John Kennedy 2023;20230806;9;8;0;06/08/2023
Olimpia 2 X 1 Fluminense;20230811;9;8;0;11/08/2023
Ramon Abatti Abel;20230803;9;7;0;03/08/2023
(not set);20230810;8;5;0;10/08/2023
Campeonatos;20230806;8;7;0;06/08/2023
Campeonatos;20230808;8;8;0;08/08/2023
Especiais Adversarios;20230810;8;8;0;10/08/2023
Especiais Jogos;20230811;8;5;0;11/08/2023
Fluminense x Botafogo-RJ;20230804;8;5;0;04/08/2023
Fluminense x Olimpia-Paraguai;20230812;8;5;0;12/08/2023
Fluminense x Palmeiras-SP;20230803;8;8;0;03/08/2023
Fluminense x Palmeiras-SP;20230807;8;8;0;07/08/2023
Olimpia 2 X 0 Fluminense;20230811;8;7;0;11/08/2023
Alexis Herrera;20230805;7;6;0;05/08/2023
Campeonatos;20230810;7;7;1;10/08/2023
Campeonatos;20230812;7;4;0;12/08/2023
Especiais Adversarios;20230803;7;4;0;03/08/2023
Especiais Adversarios;20230806;7;5;0;06/08/2023
Especiais Adversarios;20230809;7;7;0;09/08/2023
Especiais Estadios;20230807;7;5;0;07/08/2023
Especiais Jogadores;20230805;7;7;0;05/08/2023
Especiais Jogadores;20230811;7;7;0;11/08/2023
Especiais Jogadores;20230812;7;5;0;12/08/2023
Especiais Sequencias;20230810;7;3;0;10/08/2023
Estadios;20230809;7;5;0;09/08/2023
Fluminense 2 X 0 Argentino Juniors;20230809;7;6;0;09/08/2023
Fluminense x Argentino Juniors-Argentina;20230809;7;7;0;09/08/2023
Informacoes Gerais;20230810;7;7;0;10/08/2023
Jogo;20230812;7;6;0;12/08/2023
Samuel Xavier 2023;20230808;7;7;1;08/08/2023
Samuel Xavier 2023;20230809;7;7;1;09/08/2023
Tecnico;20230803;7;7;1;03/08/2023
Campeonatos;20230811;6;6;0;11/08/2023
Curiosidades e Titulos;20230804;6;6;0;04/08/2023
Curiosidades e Titulos;20230807;6;6;0;07/08/2023
