Cidade;Data;Usuarios;Novos usuarios;Total;DT
Rio de Janeiro;20230810;70;50;120;2023-08-10
Rio de Janeiro;20230915;69;30;99;2023-09-15
Rio de Janeiro;20230901;65;27;92;2023-09-01
Rio de Janeiro;20230809;60;38;98;2023-08-09
Rio de Janeiro;20230826;59;33;92;2023-08-26
Rio de Janeiro;20230808;50;34;84;2023-08-08
Rio de Janeiro;20230823;50;25;75;2023-08-23
Rio de Janeiro;20230825;50;21;71;2023-08-25
Rio de Janeiro;20230807;49;30;79;2023-08-07
Rio de Janeiro;20230820;46;23;69;2023-08-20
Rio de Janeiro;20230830;46;22;68;2023-08-30
Rio de Janeiro;20230831;46;23;69;2023-08-31
Rio de Janeiro;20230813;45;29;74;2023-08-13
Rio de Janeiro;20230806;44;30;74;2023-08-06
Rio de Janeiro;20230914;44;15;59;2023-09-14
Rio de Janeiro;20230819;43;21;64;2023-08-19
Rio de Janeiro;20230916;43;28;71;2023-09-16
Rio de Janeiro;20230824;41;24;65;2023-08-24
Rio de Janeiro;20230811;40;19;59;2023-08-11
Rio de Janeiro;20230827;39;19;58;2023-08-27
Rio de Janeiro;20230918;38;19;57;2023-09-18
Rio de Janeiro;20230805;37;31;68;2023-08-05
Rio de Janeiro;20230903;37;17;54;2023-09-03
Rio de Janeiro;20230913;37;17;54;2023-09-13
Rio de Janeiro;20230804;36;25;61;2023-08-04
Rio de Janeiro;20230905;36;16;52;2023-09-05
Rio de Janeiro;20230906;36;21;57;2023-09-06
Rio de Janeiro;20230812;35;18;53;2023-08-12
Rio de Janeiro;20230828;35;14;49;2023-08-28
Rio de Janeiro;20230912;35;19;54;2023-09-12
Rio de Janeiro;20230814;34;13;47;2023-08-14
Rio de Janeiro;20230821;34;13;47;2023-08-21
Rio de Janeiro;20230907;34;18;52;2023-09-07
Rio de Janeiro;20230822;33;17;50;2023-08-22
Rio de Janeiro;20230818;32;10;42;2023-08-18
Rio de Janeiro;20230902;31;11;42;2023-09-02
Rio de Janeiro;20230815;30;17;47;2023-08-15
Rio de Janeiro;20230817;30;13;43;2023-08-17
Rio de Janeiro;20230829;30;13;43;2023-08-29
Rio de Janeiro;20230904;30;14;44;2023-09-04
