Regiao;Data;Usuario;Primeira Visita;Total;Usuarios;DT
Rio de Janeiro;20230915;52;48;99;97;2023-09-15
Rio de Janeiro;20230901;47;34;80;76;2023-09-01
Rio de Janeiro;20230825;40;32;72;71;2023-08-25
Rio de Janeiro;20230827;37;29;60;58;2023-08-27
Rio de Janeiro;20230826;36;42;73;73;2023-08-26
Rio de Janeiro;20230914;36;19;56;54;2023-09-14
Rio de Janeiro;20230831;35;30;61;60;2023-08-31
Rio de Janeiro;20230916;34;42;74;69;2023-09-16
Rio de Janeiro;20230819;33;29;59;56;2023-08-19
Rio de Janeiro;20230818;31;15;46;44;2023-08-18
Rio de Janeiro;20230820;31;33;66;62;2023-08-20
Rio de Janeiro;20230823;31;31;62;61;2023-08-23
Rio de Janeiro;20230830;31;31;61;60;2023-08-30
Rio de Janeiro;20230903;31;27;58;56;2023-09-03
Rio de Janeiro;20230810;30;58;83;82;2023-08-10
Rio de Janeiro;20230902;29;19;50;46;2023-09-02
Rio de Janeiro;20230807;28;33;60;57;2023-08-07
Rio de Janeiro;20230809;28;49;76;75;2023-08-09
Rio de Janeiro;20230811;28;29;58;54;2023-08-11
Rio de Janeiro;20230814;28;21;46;45;2023-08-14
Rio de Janeiro;20230821;28;23;49;46;2023-08-21
Rio de Janeiro;20230824;28;29;56;54;2023-08-24
Rio de Janeiro;20230913;28;20;48;48;2023-09-13
Rio de Janeiro;20230808;27;44;67;62;2023-08-08
Rio de Janeiro;20230813;27;45;67;67;2023-08-13
Rio de Janeiro;20230905;27;20;47;44;2023-09-05
Rio de Janeiro;20230918;27;23;51;49;2023-09-18
Rio de Janeiro;20230904;26;18;42;41;2023-09-04
Rio de Janeiro;20230911;26;9;36;34;2023-09-11
Rio de Janeiro;20230828;25;20;47;43;2023-08-28
Rio de Janeiro;20230804;23;35;49;48;2023-08-04
Rio de Janeiro;20230812;23;20;44;39;2023-08-12
Rio de Janeiro;20230817;23;18;39;38;2023-08-17
Rio de Janeiro;20230829;23;20;43;41;2023-08-29
Rio de Janeiro;20230908;23;22;45;43;2023-09-08
Rio de Janeiro;20230906;22;27;53;49;2023-09-06
Rio de Janeiro;20230806;21;36;55;53;2023-08-06
Rio de Janeiro;20230815;21;23;41;39;2023-08-15
Rio de Janeiro;20230822;21;25;45;44;2023-08-22
Rio de Janeiro;20230907;20;22;45;41;2023-09-07
Rio de Janeiro;20230910;20;14;30;30;2023-09-10
Rio de Janeiro;20230917;20;15;34;33;2023-09-17
Rio de Janeiro;20230912;19;28;50;45;2023-09-12
Rio de Janeiro;20230816;15;19;35;34;2023-08-16
Rio de Janeiro;20230805;14;41;50;49;2023-08-05
Rio de Janeiro;20230803;13;27;35;34;2023-08-03
Rio de Janeiro;20230909;11;11;24;22;2023-09-09
Sao Paulo;20230825;9;8;20;18;2023-08-25
Sao Paulo;20230811;8;15;19;19;2023-08-11
Sao Paulo;20230810;7;7;16;16;2023-08-10
Sao Paulo;20230827;7;2;9;8;2023-08-27
Sao Paulo;20230903;7;16;22;21;2023-09-03
Federal District;20230828;6;3;9;9;2023-08-28
