,Perguntas,Consulta,Grupo,Subgrupo,Codigo,Pagina,Pagina2,Visualizacao,Usuario
0,0,Inicial,Inicial,Inicial,NAO,Inicial,,0,0
1,0,Especial,Especial,Especial,NAO,especial,,1302,1006
2,2,Adversário,Adversario,Adversario,NAO,adversario,mostra_adversario,2893,2494
3,3,Árbitro,Arbitro,Arbitro,NAO,arbitro,mostra_arbitro,643,569
4,4,Estádio,Estadio,Estadio,NAO,estadio,mostra_estadio,544,502
5,5,Campeonato,Campeonato,Campeonato,NAO,campeonato,mostra_campeonato,919,815
6,6,Jogador,Jogador,Jogador,NAO,jogador,mostra_jogador,2829,2341
7,7,Técnico,Tecnico,Tecnico,NAO,tecnico,mostra_tecnico,436,404
8,8,Jogo,Jogo,Jogo,NAO,jogo,mostra_jogo,1693,1352
9,9,Geral,Geral,Geral,NAO,geral,,358,327
10,10,Curiosidades,Curiosidades,Curiosidades,NAO,curiosidade,,199,188
11,11,Contato,Contato,Contato,NAO,contato,fale_conosco,23,22
12,12,Créditos,Creditos,Creditos,NAO,credito,,28,26
13,14,Camisa,Camisa,Camisa,NAO,camisa,,149,145
14,15,Todas as Camisas,Camisa,Camisa,400000000,todas_camisas,mostra_camisa,107,102
15,16,Camisa ano a ano,Camisa,Camisa,400001000,consulta_camisa,mostra_camisa,83,83
16,17,Camisa em Clássico,Camisa,Adversario,400345000,consulta_camisa,mostra_camisa,8,8
17,18,Camisa em campeonato,Camisa,Campeonato,400103000,consulta_camisa,mostra_camisa,5,5
18,19,Camisa em estádio,Camisa,Estadio,400102000,consulta_camisa,mostra_camisa,1,1
19,20,Camisa contra adversário,Camisa,Adversario,400100000,consulta_camisa,mostra_camisa,4,4
20,21,Camisa por ano,Camisa,Camisa,400106000,consulta_camisa,mostra_camisa,9,9
21,22,Camisa e jogador,Camisa,Jogador,400104000,consulta_camisa,mostra_camisa,11,11
22,23,Sequência de camisa,Camisa,Sequência,400300000,consulta_camisa,mostra_sequencia2,40,39
23,24,Frequência de placar por camisa,Camisa,Frequência,400500000,consulta_camisa,resultado_camisa,14,13
24,25,Aproveitamento de pontos por camisa,Camisa,Camisa,400600000,mostra_camisa2,,10,10
25,26,Camisa por tipo,Camisa,Camisa,400201000,consulta_camisa,mostra_camisa,5,5
26,27,Camisa por fornecedor,Camisa,Camisa,400125000,consulta_fornecedor,mostra_fornecedor,16,16
27,28,Patrocínio,Camisa,Camisa,400130000,consulta_patrocinio,mostra.patrocinio,7,7
28,29,Grafico,Gráfico,Gráfico,NAO,consulta_grafico,,0,0
29,30,Artilheiros,,,NAO,,,0,0
30,31,Maiores Artilheiros,Gráfico,Artilheiros,500,grafico_artilheiro,,258,248
31,32,Maiores Artilheiros contra adversário,Gráfico,Artilheiros,200,grafico_adversario,,33,30
32,33,Maiores Artilheiros em estádio,Gráfico,Artilheiros,202,grafico_estadio,,22,22
33,34,Maiores Artilheiros em campeonato,Gráfico,Artilheiros,203,grafico_campeonato,,65,56
34,35,Maiores Artilheiros por ano,Gráfico,Artilheiros,515,grafico_artilheiro,,16,15
35,36,Maiores Artilheiros anuais,Gráfico,Artilheiros,510,grafico_artilheiro,,8,8
36,37,Principais Artilheiros ano a ano,Gráfico,Artilheiros,512,grafico_artilheiro,,13,13
37,38,Mais vezes Artilheiros anuais,Gráfico,Artilheiros,511,grafico_artilheiro,,9,9
38,39,Maior Artilheiro em 1 campeonato,Gráfico,Artilheiros,517,grafico_campeonato,,13,12
39,40,Artilheiro - adversario - campeonato - estádio,Gráfico,Artilheiros,169,grafico_adversario,,1,1
40,41,Artilheiro contra adversario em campeonato,Gráfico,Artilheiros,160,grafico_adversario,,2,1
41,42,Artilheiro em estádio em campeonato,Gráfico,Artilheiros,162,grafico_estadio,,3,3
42,43,Artilheiros Século XX,Gráfico,Artilheiros,561,grafico_artilheiro,,8,8
43,44,Artilheiros Século XXI,Gráfico,Artilheiros,562,grafico_artilheiro,,23,22
44,45,Artilheiros Jogos Oficiais,Gráfico,Artilheiros,563,grafico_artilheiro,,13,13
45,46,Artilharia Média,Gráfico,Artilheiros,606,grafico_artilheiro,,8,8
46,47,Wordcloud Artilheiros,Gráfico,Artilheiros,607,grafico_artilheiro,,0,0
47,48,Multilinha Artilheiros por ano,Gráfico,Artilheiros,608,grafico_artilheiro,,6,6
48,49,Multilinha Combinado de artilheiros por ano,Gráfico,Artilheiros,628,grafico_artilheiro,,0,0
49,51,Assistências Relações,Gráfico,Assistencia,598,grafico_assistencia,,46,45
50,52,Assistências Conexões,Gráfico,Assistencia,599,grafico_assistencia,,4,4
51,53,Melhores Duplas,Gráfico,Assistencia,601,grafico_assistencia,,8,8
52,54,Melhores Duplas - Bubbles,Gráfico,Assistencia,623,grafico_assistencia,,4,4
53,55,Melhores Assistentes,Gráfico,Assistencia,624,grafico_assistencia,,9,8
54,57,Quem mais jogou,Gráfico,Presença,501,grafico_artilheiro,,11,11
55,58,Mais jogos contra adversário,Gráfico,Presença,300,grafico_adversario,,0,0
56,59,Mais jogos em campeonato,Gráfico,Presença,303,grafico_campeonato,,9,8
57,60,Mais jogos em estádio,Gráfico,Presença,302,grafico_estadio,,1,1
58,61,Mais jogos contra adversário em campeonato,Gráfico,Presença,170,grafico_adversario,,0,0
59,62,Mais jogou em estádio em campeonato,Gráfico,Presença,172,grafico_estadio,,2,2
60,63,Estrangeiros que mais atuaram,Gráfico,Presença,420,grafico_artilheiro,,7,7
61,64,Substituição por ano,Gráfico,Presença,630,grafico_artilheiro,,0,0
62,65,Substituição por jogador,Gráfico,Presença,631,grafico_jogador,,22,21
63,66,Minutagem por ano,Gráfico,Presença,632,grafico_artilheiro,,0,0
64,67,Minutagem por passagem de técnico,Gráfico,Presença,633,grafico_tecpart,,2,2
65,68,Minutagem por campeonato,Gráfico,Presença,634,grafico_campeonato,,0,0
66,70,Distribuição de Gols,Gráfico,Gols,120,grafico_jogador,,5,5
67,71,Gols de jogadores por ano,Gráfico,Gols,154,grafico_jogador,,1,1
68,72,Gols de jogadores nos campeonatos,Gráfico,Gols,164,grafico_jogador,,5,4
69,73,Gols de jogadores nos estádios,Gráfico,Gols,174,grafico_jogador,,2,2
70,74,Gols de jogadores por adversário,Gráfico,Gols,184,grafico_jogador,,0,0
71,75,Distribuição Tipo de gol por ano,Gráfico,Gols,609,grafico_artilheiro,,2,2
72,76,Mais jogos sem sofrer gols,Gráfico,Gols,950,grafico_artilheiro,,0,0
73,77,Melhores média de gols sofridos,Gráfico,Gols,951,grafico_artilheiro,,0,0
74,78,Gols sofridos nos campeonatos,Gráfico,Gols,903,grafico_goleiro,,3,3
75,79,Gols sofridos nos estádios,Gráfico,Gols,902,grafico_goleiro,,1,1
76,80,Gols sofridos por adversário,Gráfico,Gols,900,grafico_goleiro,,0,0
77,81,Gols sofridos por ano,Gráfico,Gols,954,grafico_goleiro,,1,1
