Data;Visualizações;Usuários;Novos Usuarios;Endereço;Página;Código
09/08/2023;104;85;44;inicial;inicial;#VALOR!
08/08/2023;88;71;46;inicial;inicial;#VALOR!
07/08/2023;87;71;39;inicial;inicial;#VALOR!
10/08/2023;86;61;30;inicial;inicial;#VALOR!
11/08/2023;79;66;34;inicial;inicial;#VALOR!
06/08/2023;76;60;39;inicial;inicial;#VALOR!
13/08/2023;64;53;26;inicial;inicial;#VALOR!
04/08/2023;63;54;39;inicial;inicial;#VALOR!
14/08/2023;60;44;20;inicial;inicial;#VALOR!
05/08/2023;57;53;42;inicial;inicial;#VALOR!
12/08/2023;54;40;20;inicial;inicial;#VALOR!
18/08/2023;53;43;17;inicial;inicial;#VALOR!
15/08/2023;51;42;22;inicial;inicial;#VALOR!
17/08/2023;50;40;17;inicial;inicial;#VALOR!
11/08/2023;49;38;0;mostra_adversario;mostra_adversario;#N/D
03/08/2023;48;42;34;inicial;inicial;#VALOR!
10/08/2023;41;37;36;link_jogador/628;link_jogador;628
11/08/2023;39;37;2;adversario;adversario;#N/D
16/08/2023;37;29;9;inicial;inicial;#VALOR!
10/08/2023;33;24;0;especial;especial;#N/D
07/08/2023;32;29;0;adversario;adversario;#N/D
10/08/2023;31;27;0;adversario;adversario;#N/D
09/08/2023;31;24;0;especial;especial;#N/D
07/08/2023;30;26;0;mostra_adversario;mostra_adversario;#N/D
06/08/2023;30;21;0;mostra_jogador;mostra_jogador;#N/D
07/08/2023;30;22;0;mostra_jogador;mostra_jogador;#N/D
08/08/2023;28;24;0;adversario;adversario;#N/D
07/08/2023;28;23;2;jogador;jogador;#N/D
08/08/2023;28;21;0;mostra_adversario;mostra_adversario;#N/D
10/08/2023;27;21;0;mostra_adversario;mostra_adversario;#N/D
13/08/2023;27;20;1;mostra_adversario;mostra_adversario;#N/D
17/08/2023;27;21;0;mostra_jogador;mostra_jogador;#N/D
09/08/2023;26;23;0;adversario;adversario;#N/D
06/08/2023;26;18;0;especial;especial;#N/D
17/08/2023;26;22;0;jogador;jogador;#N/D
04/08/2023;26;20;0;mostra_adversario;mostra_adversario;#N/D
14/08/2023;25;15;0;especial;especial;#N/D
06/08/2023;25;20;0;jogador;jogador;#N/D
07/08/2023;24;21;0;especial;especial;#N/D
08/08/2023;24;20;0;especial;especial;#N/D
11/08/2023;24;19;0;especial;especial;#N/D
09/08/2023;24;24;0;jogador;jogador;#N/D
10/08/2023;24;20;2;jogador;jogador;#N/D
06/08/2023;23;21;0;mostra_adversario;mostra_adversario;#N/D
12/08/2023;22;22;2;adversario;adversario;#N/D
13/08/2023;22;19;0;adversario;adversario;#N/D
09/08/2023;22;19;0;mostra_adversario;mostra_adversario;#N/D
04/08/2023;21;20;1;adversario;adversario;#N/D
06/08/2023;21;21;0;adversario;adversario;#N/D
12/08/2023;21;17;0;mostra_adversario;mostra_adversario;#N/D
09/08/2023;21;19;0;mostra_jogador;mostra_jogador;#N/D
15/08/2023;20;15;0;especial;especial;#N/D
03/08/2023;20;15;0;jogador;jogador;#N/D
07/08/2023;20;18;0;jogo;jogo;#N/D
03/08/2023;19;13;0;especial;especial;#N/D
13/08/2023;19;13;0;especial;especial;#N/D
04/08/2023;19;17;0;jogador;jogador;#N/D
08/08/2023;19;17;0;jogador;jogador;#N/D
14/08/2023;19;17;0;jogador;jogador;#N/D
18/08/2023;19;18;0;jogador;jogador;#N/D
09/08/2023;19;19;1;jogo;jogo;#N/D
05/08/2023;19;17;1;mostra_adversario;mostra_adversario;#N/D
03/08/2023;19;14;0;mostra_jogador;mostra_jogador;#N/D
04/08/2023;19;15;1;mostra_jogador;mostra_jogador;#N/D
10/08/2023;19;16;0;mostra_jogador;mostra_jogador;#N/D
05/08/2023;17;17;0;adversario;adversario;#N/D
08/08/2023;17;15;0;mostra_jogador;mostra_jogador;#N/D
14/08/2023;17;15;0;mostra_jogador;mostra_jogador;#N/D
04/08/2023;16;14;0;especial;especial;#N/D
05/08/2023;16;15;0;jogador;jogador;#N/D
13/08/2023;16;13;1;jogador;jogador;#N/D
06/08/2023;16;15;0;jogo;jogo;#N/D
05/08/2023;16;14;0;mostra_jogador;mostra_jogador;#N/D
18/08/2023;15;14;0;adversario;adversario;#N/D
06/08/2023;15;11;0;consulta_especial_jogador;consulta_especial_jogador;#N/D
10/08/2023;15;11;0;consulta_especial_jogador;consulta_especial_jogador;#N/D
15/08/2023;15;13;0;jogador;jogador;#N/D
04/08/2023;15;11;0;jogo;jogo;#N/D
14/08/2023;15;12;0;jogo;jogo;#N/D
18/08/2023;15;12;0;mostra_adversario;mostra_adversario;#N/D
08/08/2023;14;13;0;consulta_especial_jogador;consulta_especial_jogador;#N/D
14/08/2023;14;12;0;consulta_especial_jogador;consulta_especial_jogador;#N/D
12/08/2023;14;9;0;especial;especial;#N/D
09/08/2023;14;13;1;geral;geral;#N/D
11/08/2023;14;13;0;jogador;jogador;#N/D
11/08/2023;14;13;0;jogo;jogo;#N/D
18/08/2023;14;12;0;mostra_jogador;mostra_jogador;#N/D
12/08/2023;13;13;0;jogador;jogador;#N/D
03/08/2023;13;11;2;jogo;jogo;#N/D
15/08/2023;13;8;0;jogo;jogo;#N/D
18/08/2023;13;9;0;jogo;jogo;#N/D
05/08/2023;13;10;0;mostra_arbitro;mostra_arbitro;#N/D
10/08/2023;13;7;0;mostra_especial/;mostra_especial;
13/08/2023;13;12;0;mostra_jogador;mostra_jogador;#N/D
15/08/2023;13;9;0;mostra_jogador;mostra_jogador;#N/D
16/08/2023;13;8;0;mostra_jogo;mostra_jogo;#N/D
05/08/2023;12;10;1;arbitro;arbitro;#N/D
07/08/2023;12;11;0;campeonato;campeonato;#N/D
09/08/2023;12;11;0;campeonato;campeonato;#N/D
09/08/2023;12;10;0;consulta_especial_jogador;consulta_especial_jogador;#N/D
05/08/2023;12;10;0;especial;especial;#N/D
17/08/2023;12;9;0;especial;especial;#N/D
18/08/2023;12;9;0;especial;especial;#N/D
08/08/2023;12;11;0;geral;geral;#N/D
10/08/2023;12;12;3;jogo;jogo;#N/D
13/08/2023;12;10;0;jogo;jogo;#N/D
16/08/2023;12;9;0;jogo;jogo;#N/D
08/08/2023;12;12;10;link_jogo/7137;link_jogo;7137
07/08/2023;12;10;0;mostra_campeonato;mostra_campeonato;#N/D
11/08/2023;12;10;0;mostra_jogador;mostra_jogador;#N/D
07/08/2023;12;9;0;mostra_jogo;mostra_jogo;#N/D
13/08/2023;12;8;0;mostra_jogo;mostra_jogo;#N/D
15/08/2023;12;6;0;mostra_jogo;mostra_jogo;#N/D
18/08/2023;12;6;0;mostra_jogo;mostra_jogo;#N/D
03/08/2023;11;9;0;adversario;adversario;#N/D
03/08/2023;11;10;2;arbitro;arbitro;#N/D
14/08/2023;11;6;1;campeonato;campeonato;#N/D
13/08/2023;11;9;0;consulta_especial_jogador;consulta_especial_jogador;#N/D
16/08/2023;11;9;0;especial;especial;#N/D
13/08/2023;11;9;0;geral;geral;#N/D
08/08/2023;11;10;1;jogo;jogo;#N/D
09/08/2023;11;10;9;link_adversario/656;link_adversario;656
03/08/2023;11;9;0;mostra_arbitro;mostra_arbitro;#N/D
09/08/2023;11;10;0;mostra_campeonato;mostra_campeonato;#N/D
12/08/2023;11;11;0;mostra_jogador;mostra_jogador;#N/D
15/08/2023;11;8;0;mostra_tecnico;mostra_tecnico;#N/D
17/08/2023;10;8;0;adversario;adversario;#N/D
03/08/2023;10;10;1;campeonato;campeonato;#N/D
11/08/2023;10;10;0;estadio;estadio;#N/D
16/08/2023;10;9;0;jogador;jogador;#N/D
17/08/2023;10;7;0;jogo;jogo;#N/D
11/08/2023;10;9;0;link_jogo/8488;link_jogo;8488
06/08/2023;10;8;0;link_jogo/8725;link_jogo;8725
03/08/2023;10;9;0;mostra_adversario;mostra_adversario;#N/D
11/08/2023;10;8;0;mostra_estadio;mostra_estadio;#N/D
04/08/2023;10;9;0;mostra_jogo;mostra_jogo;#N/D
06/08/2023;10;7;0;mostra_jogo;mostra_jogo;#N/D
17/08/2023;10;6;0;mostra_jogo;mostra_jogo;#N/D
