# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240701
# Data de termino: 20240707
Caminho da pagina e classe da tela;Data;Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Eventos principais;Receita total;Taxa de eventos principais da sessao
/;20240704;96;71;35;18.729166666666668;0;0;0
/;20240705;60;36;10;14.116666666666667;0;0;0
/;20240701;56;42;10;13.625;0;0;0
/;20240707;53;37;16;20.50943396226415;0;0;0
/;20240703;49;37;14;12.795918367346939;0;0;0
/;20240702;45;39;13;17.066666666666666;0;0;0
/;20240706;43;35;10;27.72093023255814;0;0;0
/mostra_adversario;20240704;26;21;0;28.423076923076923;0;0;0
/mostra_adversario;20240706;20;16;0;39.95;0;0;0
/jogador;20240705;19;16;0;17.94736842105263;0;0;0
/jogador;20240702;18;15;1;31.833333333333332;0;0;0
/mostra_jogador;20240702;17;15;0;46.76470588235294;0;0;0
/mostra_jogador;20240705;17;14;0;25.352941176470587;0;0;0
/jogador;20240707;16;9;0;17.625;0;0;0
/jogador;20240701;14;14;0;24.071428571428573;0;0;0
/jogador;20240706;14;12;0;25.428571428571427;0;0;0
/mostra_jogador;20240703;14;11;0;42.42857142857143;0;0;0
/mostra_jogador;20240706;14;12;0;25.071428571428573;0;0;0
/adversario;20240704;13;12;0;14.384615384615385;0;0;0
/jogador;20240703;13;12;0;12.23076923076923;0;0;0
/jogador;20240704;13;11;0;32.07692307692308;0;0;0
/mostra_adversario;20240707;13;11;0;21.076923076923077;0;0;0
/mostra_jogador;20240701;13;12;0;60.92307692307692;0;0;0
/mostra_jogador;20240707;13;7;0;58.53846153846154;0;0;0
/jogo;20240701;12;11;0;27.583333333333332;0;0;0
/jogo;20240703;12;8;0;169.25;0;0;0
/adversario;20240706;11;9;0;22.454545454545453;0;0;0
/mostra_adversario;20240703;11;8;0;32.54545454545455;0;0;0
/mostra_adversario;20240705;11;10;0;27;0;0;0
/mostra_arbitro;20240704;11;8;0;20.09090909090909;0;0;0
/mostra_jogo;20240706;11;8;0;382.09090909090907;0;0;0
/arbitro;20240704;10;9;0;7.6;0;0;0
/mostra_adversario;20240701;9;6;0;27.77777777777778;0;0;0
/adversario;20240702;8;8;0;14.25;0;0;0
/adversario;20240703;8;6;0;59.375;0;0;0
/consulta_especial_jogador;20240705;8;7;0;68.625;0;0;0
/mostra_adversario;20240702;8;6;0;69.875;0;0;0
/mostra_jogador;20240704;8;8;0;109.375;0;0;0
/mostra_jogo;20240701;8;6;0;45;0;0;0
/adversario;20240701;7;5;0;41.857142857142854;0;0;0
/adversario;20240705;7;7;0;9.714285714285714;0;0;0
/consulta_especial_jogador;20240707;7;4;0;23.142857142857142;0;0;0
/jogo;20240706;7;5;0;97.85714285714286;0;0;0
/mostra_jogo;20240703;7;5;0;146.85714285714286;0;0;0
/mostra_jogo;20240704;7;6;0;38.42857142857143;0;0;0
/jogo;20240705;6;5;0;8.833333333333334;0;0;0
/link_adversario/313;20240704;6;4;3;42;0;0;0
/mostra_jogo;20240705;6;6;0;30.166666666666668;0;0;0
/arbitro;20240703;5;4;0;8.2;0;0;0
/arbitro;20240707;5;4;0;9;0;0;0
/campeonato;20240703;5;4;0;76;0;0;0
/campeonato;20240704;5;5;0;20.4;0;0;0
/campeonato;20240706;5;4;0;51;0;0;0
/consulta_especial_adversario;20240704;5;4;0;8.6;0;0;0
/consulta_especial_sequencia;20240707;5;2;0;19;0;0;0
/geral;20240705;5;4;0;6.4;0;0;0
/jogo;20240702;5;5;0;50.2;0;0;0
/jogo;20240704;5;5;0;30.6;0;0;0
/link_campeonato/445;20240704;5;5;4;23.2;0;0;0
/link_campeonato/445;20240707;5;4;3;5.8;0;0;0
/link_gol/1195;20240701;5;1;0;0;0;0;0
/link_jogo/4990;20240703;5;5;4;26.2;0;0;0
/mostra_arbitro;20240703;5;4;0;27.2;0;0;0
/mostra_campeonato;20240704;5;5;0;47;0;0;0
/mostra_campeonato;20240706;5;5;0;41.4;0;0;0
/mostra_especial_jogo;20240702;5;2;0;21.8;0;0;0
/tecnico;20240702;5;5;0;27;0;0;0
/adversario;20240707;4;4;0;16.75;0;0;0
/arbitro;20240706;4;3;0;5.25;0;0;0
/campeonato;20240705;4;4;0;11.75;0;0;0
/consulta_especial_adversario;20240703;4;4;0;17;0;0;0
